date,50.0% LB,50.0% UB,mean,HLW,,,date,50.0% LB,50.0% UB,mean,,,,Date,With FG,WithoutFG
3/31/1960,2.087464429,2.087464429,2.087464429,,,,3/31/1960,2.06314978,2.06314978,2.06314978,,,,3/31/1960,2.06314978,2.087464429
6/30/1960,2.145085417,2.145085417,2.145085417,,,,6/30/1960,2.120564724,2.120564724,2.120564724,,,,6/30/1960,2.120564724,2.145085417
9/30/1960,2.047204329,2.047204329,2.047204329,,,,9/30/1960,2.022496714,2.022496714,2.022496714,,,,9/30/1960,2.022496714,2.047204329
12/31/1960,2.128722758,2.128722758,2.128722758,,,,12/31/1960,2.103849607,2.103849607,2.103849607,,,,12/31/1960,2.103849607,2.128722758
3/31/1961,2.184053979,2.184053979,2.184053979,5.440559541,,,3/31/1961,2.159038588,2.159038588,2.159038588,5.440559541,,,3/31/1961,2.159038588,2.184053979
6/30/1961,2.197463943,2.197463943,2.197463943,5.661637193,,,6/30/1961,2.172331481,2.172331481,2.172331481,5.661637193,,,6/30/1961,2.172331481,2.197463943
9/30/1961,2.287870169,2.287870169,2.287870169,5.568770016,,,9/30/1961,2.262647819,2.262647819,2.262647819,5.568770016,,,9/30/1961,2.262647819,2.287870169
12/31/1961,2.398546791,2.398546791,2.398546791,5.538169622,,,12/31/1961,2.373263995,2.373263995,2.373263995,5.538169622,,,12/31/1961,2.373263995,2.398546791
3/31/1962,2.516779372,2.516779372,2.516779372,5.352962149,,,3/31/1962,2.491468139,2.491468139,2.491468139,5.352962149,,,3/31/1962,2.491468139,2.516779372
6/30/1962,2.518654335,2.518654335,2.518654335,4.820632808,,,6/30/1962,2.493349601,2.493349601,2.493349601,4.820632808,,,6/30/1962,2.493349601,2.518654335
9/30/1962,2.605036573,2.605036573,2.605036573,4.70953426,,,9/30/1962,2.579776596,2.579776596,2.579776596,4.70953426,,,9/30/1962,2.579776596,2.605036573
12/31/1962,2.67598665,2.67598665,2.67598665,4.259064527,,,12/31/1962,2.650813434,2.650813434,2.650813434,4.259064527,,,12/31/1962,2.650813434,2.67598665
3/31/1963,2.783058974,2.783058974,2.783058974,4.244070707,,,3/31/1963,2.758018726,2.758018726,2.758018726,4.244070707,,,3/31/1963,2.758018726,2.783058974
6/30/1963,2.872999232,2.872999232,2.872999232,4.211510116,,,6/30/1963,2.848142837,2.848142837,2.848142837,4.211510116,,,6/30/1963,2.848142837,2.872999232
9/30/1963,2.945415489,2.945415489,2.945415489,4.538033137,,,9/30/1963,2.920799028,2.920799028,2.920799028,4.538033137,,,9/30/1963,2.920799028,2.945415489
12/31/1963,3.028323375,3.028323375,3.028323375,4.268989853,,,12/31/1963,3.004008469,3.004008469,3.004008469,4.268989853,,,12/31/1963,3.004008469,3.028323375
3/31/1964,3.122359584,3.122359584,3.122359584,4.572428623,,,3/31/1964,3.09840658,3.09840658,3.09840658,4.572428623,,,3/31/1964,3.09840658,3.122359584
6/30/1964,3.255533329,3.255533329,3.255533329,4.489336209,,,6/30/1964,3.231755756,3.231755756,3.231755756,4.489336209,,,6/30/1964,3.231755756,3.255533329
9/30/1964,3.265479241,3.265479241,3.265479241,4.588205923,,,9/30/1964,3.24184392,3.24184392,3.24184392,4.588205923,,,9/30/1964,3.24184392,3.265479241
12/31/1964,3.296258259,3.296258259,3.296258259,4.335021889,,,12/31/1964,3.272738294,3.272738294,3.272738294,4.335021889,,,12/31/1964,3.272738294,3.296258259
3/31/1965,3.34835604,3.34835604,3.34835604,4.713116137,,,3/31/1965,3.324929138,3.324929138,3.324929138,4.713116137,,,3/31/1965,3.324929138,3.34835604
6/30/1965,3.383403297,3.383403297,3.383403297,4.684444225,,,6/30/1965,3.36005063,3.36005063,3.36005063,4.684444225,,,6/30/1965,3.36005063,3.383403297
9/30/1965,3.378824064,3.378824064,3.378824064,4.937080294,,,9/30/1965,3.3555296,3.3555296,3.3555296,4.937080294,,,9/30/1965,3.3555296,3.378824064
12/31/1965,3.396895406,3.396895406,3.396895406,5.15383587,,,12/31/1965,3.373645446,3.373645446,3.373645446,5.15383587,,,12/31/1965,3.373645446,3.396895406
3/31/1966,3.354298823,3.354298823,3.354298823,5.382053441,,,3/31/1966,3.331081662,3.331081662,3.331081662,5.382053441,,,3/31/1966,3.331081662,3.354298823
6/30/1966,3.148425679,3.148425679,3.148425679,5.123738455,,,6/30/1966,3.12523133,3.12523133,3.12523133,5.123738455,,,6/30/1966,3.12523133,3.148425679
9/30/1966,3.035347835,3.035347835,3.035347835,5.108506216,,,9/30/1966,3.012167807,3.012167807,3.012167807,5.108506216,,,9/30/1966,3.012167807,3.035347835
12/31/1966,2.886870072,2.886870072,2.886870072,5.087386252,,,12/31/1966,2.863697183,2.863697183,2.863697183,5.087386252,,,12/31/1966,2.863697183,2.886870072
3/31/1967,2.87697654,2.87697654,2.87697654,5.053430901,,,3/31/1967,2.853804754,2.853804754,2.853804754,5.053430901,,,3/31/1967,2.853804754,2.87697654
6/30/1967,2.9168691,2.9168691,2.9168691,4.829953952,,,6/30/1967,2.893693391,2.893693391,2.893693391,4.829953952,,,6/30/1967,2.893693391,2.9168691
9/30/1967,2.825160565,2.825160565,2.825160565,4.851855825,,,9/30/1967,2.8019768,2.8019768,2.8019768,4.851855825,,,9/30/1967,2.8019768,2.825160565
12/31/1967,2.805610015,2.805610015,2.805610015,4.781767877,,,12/31/1967,2.782414849,2.782414849,2.782414849,4.781767877,,,12/31/1967,2.782414849,2.805610015
3/31/1968,2.604479379,2.604479379,2.604479379,5.003380147,,,3/31/1968,2.581270171,2.581270171,2.581270171,5.003380147,,,3/31/1968,2.581270171,2.604479379
6/30/1968,2.502559816,2.502559816,2.502559816,5.065400744,,,6/30/1968,2.479334553,2.479334553,2.479334553,5.065400744,,,6/30/1968,2.479334553,2.502559816
9/30/1968,2.413077597,2.413077597,2.413077597,4.93115372,,,9/30/1968,2.389834834,2.389834834,2.389834834,4.93115372,,,9/30/1968,2.389834834,2.413077597
12/31/1968,2.440221444,2.440221444,2.440221444,4.778357418,,,12/31/1968,2.416960254,2.416960254,2.416960254,4.778357418,,,12/31/1968,2.416960254,2.440221444
3/31/1969,2.464367454,2.464367454,2.464367454,4.90516803,,,3/31/1969,2.441087388,2.441087388,2.441087388,4.90516803,,,3/31/1969,2.441087388,2.464367454
6/30/1969,2.301384522,2.301384522,2.301384522,4.713956154,,,6/30/1969,2.278085584,2.278085584,2.278085584,4.713956154,,,6/30/1969,2.278085584,2.301384522
9/30/1969,2.225924748,2.225924748,2.225924748,4.668900356,,,9/30/1969,2.202607375,2.202607375,2.202607375,4.668900356,,,9/30/1969,2.202607375,2.225924748
12/31/1969,2.217638042,2.217638042,2.217638042,4.392134782,,,12/31/1969,2.194303108,2.194303108,2.194303108,4.392134782,,,12/31/1969,2.194303108,2.217638042
3/31/1970,1.913108239,1.913108239,1.913108239,4.250404705,,,3/31/1970,1.889757062,1.889757062,1.889757062,4.250404705,,,3/31/1970,1.889757062,1.913108239
6/30/1970,1.94116786,1.94116786,1.94116786,4.175804151,,,6/30/1970,1.91780223,1.91780223,1.91780223,4.175804151,,,6/30/1970,1.91780223,1.94116786
9/30/1970,1.560191908,1.560191908,1.560191908,4.237162389,,,9/30/1970,1.536814132,1.536814132,1.536814132,4.237162389,,,9/30/1970,1.536814132,1.560191908
12/31/1970,1.36560078,1.36560078,1.36560078,3.830859853,,,12/31/1970,1.342213746,1.342213746,1.342213746,3.830859853,,,12/31/1970,1.342213746,1.36560078
3/31/1971,1.476124913,1.476124913,1.476124913,4.295619029,,,3/31/1971,1.452732174,1.452732174,1.452732174,4.295619029,,,3/31/1971,1.452732174,1.476124913
6/30/1971,1.391168806,1.391168806,1.391168806,4.049652891,,,6/30/1971,1.36777466,1.36777466,1.36777466,4.049652891,,,6/30/1971,1.36777466,1.391168806
9/30/1971,1.342438157,1.342438157,1.342438157,3.907707618,,,9/30/1971,1.319047688,1.319047688,1.319047688,3.907707618,,,9/30/1971,1.319047688,1.342438157
12/31/1971,1.369099642,1.369099642,1.369099642,3.615304875,,,12/31/1971,1.345676902,1.345676902,1.345676902,3.615304875,,,12/31/1971,1.345676902,1.369099642
3/31/1972,1.54219724,1.54219724,1.54219724,3.836141178,,,3/31/1972,1.518745906,1.518745906,1.518745906,3.836141178,,,3/31/1972,1.518745906,1.54219724
6/30/1972,1.626515997,1.626515997,1.626515997,3.992283452,,,6/30/1972,1.603039624,1.603039624,1.603039624,3.992283452,,,6/30/1972,1.603039624,1.626515997
9/30/1972,1.615297282,1.615297282,1.615297282,3.861103569,,,9/30/1972,1.591799335,1.591799335,1.591799335,3.861103569,,,9/30/1972,1.591799335,1.615297282
12/31/1972,1.576689017,1.576689017,1.576689017,3.951912647,,,12/31/1972,1.553172941,1.553172941,1.553172941,3.951912647,,,12/31/1972,1.553172941,1.576689017
3/31/1973,2.143831315,2.143831315,2.143831315,4.228411469,,,3/31/1973,2.120300621,2.120300621,2.120300621,4.228411469,,,3/31/1973,2.120300621,2.143831315
6/30/1973,2.05673642,2.05673642,2.05673642,4.287654419,,,6/30/1973,2.033194767,2.033194767,2.033194767,4.287654419,,,6/30/1973,2.033194767,2.05673642
