date,obs_gdp,obs_hours,obs_wages,obs_gdpdeflator,obs_corepce,obs_nominalrate,obs_consumption,obs_investment,obs_BBBspread,obs_longinflation,obs_longrate,obs_tfp,obs_gdi,obs_AAAspread,obs_nominalrate1,obs_nominalrate2,obs_nominalrate3,obs_nominalrate4,obs_nominalrate5,obs_nominalrate6,ex_ante_real_rate,ex_post_real_rate,ex_post_real_rate_core,HLW r* (25Q3),DSGE r* wFG,Delta_Rstar_HLW,Delta_Rstar_DSGE,date,ex_ante_real_rate,actual_MP_stance
6/30/1970,1.87,NaN,2.62,1.81,NaN,1.99,0.58,5.67,NaN,NaN,2.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,0.72,,,,,,9/30/1959,,
9/30/1970,1.02,NaN,2.03,1.78,NaN,1.9,0.99,0.7,NaN,NaN,2.1,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,0.48,,,,,,12/31/1959,,
12/31/1970,1.04,NaN,2.26,1.17,NaN,1.81,1.75,-0.04,NaN,NaN,2.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,2.56,,,,,,3/31/1960,,
3/31/1971,-0.38,NaN,0.97,2.3,NaN,1.63,-0.11,-0.82,NaN,NaN,1.97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,-2.68,,,,,,6/30/1960,,
6/30/1971,0.98,NaN,0.84,1.13,NaN,1.48,1.18,2.83,NaN,NaN,1.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,1.4,,,,,,9/30/1960,,
9/30/1971,1.84,NaN,1.95,1.67,NaN,1.56,1.15,0.17,NaN,NaN,2.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,-0.44,,,,,,12/31/1960,,
12/31/1971,0.66,NaN,1.64,1.1,NaN,1.5,1.01,1.6,NaN,NaN,1.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,1.6,,,,,,3/31/1961,,
3/31/1972,1.25,NaN,1.97,2.16,NaN,1.26,0.92,0.36,NaN,NaN,1.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,-3.6,,3.361785423,,,,6/30/1961,,
6/30/1972,0.61,NaN,0.44,1.59,NaN,1.19,0.37,1.28,NaN,NaN,1.89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,-1.6,,2.472654314,3.391230718,,,9/30/1961,,
9/30/1972,1.12,NaN,0.92,1.57,NaN,1.21,2.07,0.57,NaN,NaN,1.9,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.0149957,-1.44,,2.57543487,3.581301597,,,12/31/1961,0.929895848,
12/31/1972,1.16,NaN,1.45,1.54,NaN,1.6,0.71,2.02,NaN,NaN,1.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.996205065,0.24,,2.743556037,3.911794175,,,3/31/1962,0.939338493,
3/31/1973,1.65,NaN,1.47,3.51,NaN,1.7,0.32,1.26,NaN,NaN,1.99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.382294022,-7.24,,3.355046994,3.981004917,,,6/30/1962,2.334463921,
6/30/1973,0.5,NaN,0.77,2.43,NaN,2.12,0.82,0.29,NaN,NaN,2.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.883329006,-1.24,,3.045146431,4.312235542,,,9/30/1962,1.856011664,
9/30/1973,1.19,NaN,1.51,2.38,NaN,2.55,0.35,1.21,NaN,NaN,2.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.711928539,0.68,,3.151222355,4.622620977,,,12/31/1962,3.671062141,
12/31/1973,0.84,NaN,1.68,2.32,NaN,2.77,1.67,0.85,NaN,NaN,2.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.465647209,1.8,,3.05812611,4.839507135,,,3/31/1963,5.407283036,
3/31/1974,0.87,NaN,0.97,3.16,NaN,2.81,0.42,1.1,NaN,NaN,2.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,6.296041207,-1.4,,3.036580593,4.94728479,,,6/30/1963,6.249293971,
6/30/1974,0.25,NaN,1.69,3.49,NaN,2.87,1.4,-1.62,NaN,NaN,2.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.936156073,-2.48,,2.777929719,5.147088477,,,9/30/1963,5.929315344,
9/30/1974,0.63,NaN,0.52,3.38,NaN,2.88,0.14,0.97,NaN,NaN,2.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.921928301,-2,,2.884195285,5.262207199,,,12/31/1963,5.901618948,
12/31/1974,-1.79,NaN,1.26,3.27,NaN,2.67,-0.78,-3.05,NaN,NaN,2.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.858780879,-2.4,,2.094344327,4.910985309,,,3/31/1964,5.858405998,
3/31/1975,-0.88,NaN,0.39,2.77,NaN,2.2,0.29,-1.95,NaN,NaN,2.47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.233664008,-2.28,,1.993766792,4.563596516,,,6/30/1964,5.185053521,
6/30/1975,0.81,NaN,1.68,2.32,NaN,1.76,1.68,-1.61,NaN,NaN,2.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.674749986,-2.24,,2.201963018,4.497257117,,,9/30/1964,3.627251557,
9/30/1975,1,NaN,1.16,2.26,NaN,1.6,1.3,-0.36,NaN,NaN,2.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.340736057,-2.64,,2.351315547,4.525293962,,,12/31/1964,2.268193907,
12/31/1975,0.81,NaN,1.28,1.85,NaN,1.65,1.45,1.6,NaN,NaN,2.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.815095095,-0.8,,2.418020284,4.655595445,,,3/31/1965,1.748681539,
3/31/1976,1.53,NaN,0.82,2.17,NaN,1.75,1.53,0.12,NaN,NaN,2.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.200379367,-1.68,,2.59723854,4.743666964,,,6/30/1965,2.140660695,
6/30/1976,1,NaN,0.67,3.87,NaN,2.14,-0.31,0.43,NaN,NaN,2.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.30213396,-6.92,,2.634956292,4.993405591,,,9/30/1965,2.307938068,
9/30/1976,0.62,NaN,1.13,3.06,NaN,2.34,0.2,-0.36,NaN,NaN,2.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.981630241,-2.88,,2.53836742,5.082615873,,,12/31/1965,3.005194971,
12/31/1976,1.48,NaN,1.26,2.31,NaN,2.3,1.32,2.72,NaN,NaN,2.61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.095478109,-0.04,,2.755685821,5.250171301,,,3/31/1966,4.073477313,
3/31/1977,0.27,NaN,0.13,2.58,NaN,2.55,0.07,0.87,NaN,NaN,2.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,4.369393536,-0.12,,2.592631613,5.194415221,,,6/30/1966,4.334039288,
