"DATE","TIME PERIOD","Gross domestic product at market prices (MNA.Q.Y.I9.W2.S1.S1.B.B1GQ._Z._Z._Z.EUR.LR.N) - Modified value (Year-to-year %-change)"
"1995-03-31","1995Q1"
"1995-06-30","1995Q2"
"1995-09-30","1995Q3"
"1995-12-31","1995Q4"
"1996-03-31","1996Q1","1.43"
"1996-06-30","1996Q2","1.44"
"1996-09-30","1996Q3","1.66"
"1996-12-31","1996Q4","2.00"
"1997-03-31","1997Q1","2.14"
"1997-06-30","1997Q2","2.55"
"1997-09-30","1997Q3","2.87"
"1997-12-31","1997Q4","3.37"
"1998-03-31","1998Q1","3.79"
"1998-06-30","1998Q2","2.98"
"1998-09-30","1998Q3","2.71"
"1998-12-31","1998Q4","1.95"
"1999-03-31","1999Q1","2.25"
"1999-06-30","1999Q2","2.33"
"1999-09-30","1999Q3","3.13"
"1999-12-31","1999Q4","3.90"
"2000-03-31","2000Q1","4.18"
"2000-06-30","2000Q2","4.63"
"2000-09-30","2000Q3","3.97"
"2000-12-31","2000Q4","3.38"
"2001-03-31","2001Q1","3.19"
"2001-06-30","2001Q2","2.31"
"2001-09-30","2001Q3","1.85"
"2001-12-31","2001Q4","1.31"
"2002-03-31","2002Q1","0.43"
"2002-06-30","2002Q2","0.84"
"2002-09-30","2002Q3","1.10"
"2002-12-31","2002Q4","1.34"
"2003-03-31","2003Q1","0.83"
"2003-06-30","2003Q2","0.44"
"2003-09-30","2003Q3","0.62"
"2003-12-31","2003Q4","1.06"
"2004-03-31","2004Q1","1.89"
"2004-06-30","2004Q2","2.45"
"2004-09-30","2004Q3","2.01"
"2004-12-31","2004Q4","1.83"
"2005-03-31","2005Q1","1.56"
"2005-06-30","2005Q2","1.57"
"2005-09-30","2005Q3","2.10"
"2005-12-31","2005Q4","2.35"
"2006-03-31","2006Q1","3.03"
"2006-06-30","2006Q2","3.53"
"2006-09-30","2006Q3","3.32"
"2006-12-31","2006Q4","3.81"
"2007-03-31","2007Q1","3.56"
"2007-06-30","2007Q2","3.12"
"2007-09-30","2007Q3","2.96"
"2007-12-31","2007Q4","2.29"
"2008-03-31","2008Q1","2.23"
"2008-06-30","2008Q2","1.04"
"2008-09-30","2008Q3","0.10"
"2008-12-31","2008Q4","-2.11"
"2009-03-31","2009Q1","-5.71"
"2009-06-30","2009Q2","-5.24"
"2009-09-30","2009Q3","-4.38"
"2009-12-31","2009Q4","-2.30"
"2010-03-31","2010Q1","1.20"
"2010-06-30","2010Q2","2.14"
"2010-09-30","2010Q3","2.22"
"2010-12-31","2010Q4","2.39"
"2011-03-31","2011Q1","2.94"
"2011-06-30","2011Q2","1.99"
"2011-09-30","2011Q3","1.57"
"2011-12-31","2011Q4","0.66"
"2012-03-31","2012Q1","-0.54"
"2012-06-30","2012Q2","-0.89"
"2012-09-30","2012Q3","-1.05"
"2012-12-31","2012Q4","-1.15"
"2013-03-31","2013Q1","-1.23"
"2013-06-30","2013Q2","-0.25"
"2013-09-30","2013Q3","0.18"
"2013-12-31","2013Q4","0.82"
"2014-03-31","2014Q1","1.63"
"2014-06-30","2014Q2","1.22"
"2014-09-30","2014Q3","1.41"
"2014-12-31","2014Q4","1.58"
"2015-03-31","2015Q1","1.87"
"2015-06-30","2015Q2","2.05"
"2015-09-30","2015Q3","1.99"
"2015-12-31","2015Q4","2.12"
"2016-03-31","2016Q1","1.84"
"2016-06-30","2016Q2","1.60"
"2016-09-30","2016Q3","1.66"
"2016-12-31","2016Q4","1.92"
"2017-03-31","2017Q1","2.26"
"2017-06-30","2017Q2","2.74"
"2017-09-30","2017Q3","3.00"
"2017-12-31","2017Q4","3.06"
"2018-03-31","2018Q1","2.27"
"2018-06-30","2018Q2","2.12"
"2018-09-30","2018Q3","1.45"
"2018-12-31","2018Q4","1.18"
"2019-03-31","2019Q1","1.86"
"2019-06-30","2019Q2","1.71"
"2019-09-30","2019Q3","1.83"
"2019-12-31","2019Q4","1.17"
"2020-03-31","2020Q1","-2.86"
"2020-06-30","2020Q2","-13.92"
"2020-09-30","2020Q3","-4.15"
"2020-12-31","2020Q4","-3.74"
"2021-03-31","2021Q1","0.34"
"2021-06-30","2021Q2","15.26"
"2021-09-30","2021Q3","5.14"
"2021-12-31","2021Q4","5.63"
"2022-03-31","2022Q1","5.56"
"2022-06-30","2022Q2","4.30"
"2022-09-30","2022Q3","2.93"
"2022-12-31","2022Q4","2.09"
"2023-03-31","2023Q1","1.30"
"2023-06-30","2023Q2","0.56"
"2023-09-30","2023Q3","0.06"
"2023-12-31","2023Q4","0.15"
"2024-03-31","2024Q1","0.49"
"2024-06-30","2024Q2","0.49"
"2024-09-30","2024Q3","0.94"
"2024-12-31","2024Q4","1.29"
"2025-03-31","2025Q1","1.58"
"2025-06-30","2025Q2","1.49"
