date,BBB_sh,AAA_sh,detrendedMean,g,b_liq,b_safe,FF,z,p-mkp,w-mkp,pol,fg1,fg2,fg3,fg4,fg5,fg6,pi-LR,mu,me,zp,dt
2007-03-31,0.0,0.0,0.8528734977862218,-0.06235567523511644,-3.4315914751479073,3.7434850935363615,-0.0821607934547993,-0.0002038597910814586,-1.7109066458921674e-14,4.521949836115729e-14,1.461909416933394e-13,0.0,0.0,0.0,0.0,0.0,0.0,1.996344812797768e-14,-0.0828176928211278,0.0,0.00023427286736213225,0.7682836278323373
2007-06-30,0.0,0.0,1.2772231030978691,-0.05301481704347854,-3.769469935662906,4.4866564133425655,-0.0689895026689511,-0.00032655972072107194,-1.7142098137767297e-14,4.576631979826587e-14,1.48529066079265e-13,0.0,0.0,0.0,0.0,0.0,0.0,2.021339121469916e-14,-0.07775948512589584,0.0,-0.00014774980065673603,0.7602747397777218
2007-09-30,0.0,0.0,1.36680089713205,-0.05577790674517546,-4.0378117898348656,4.797487911288313,-0.05361180606781904,-0.0002210432984246008,-1.5729533534091566e-14,4.344617204034965e-14,1.4691645245274083e-13,0.0,0.0,0.0,0.0,0.0,0.0,2.050097971623928e-14,-0.034901631329607476,0.0,-0.0007102407600607611,0.7523474038795006
2007-12-31,0.0,0.0,1.3869672781954652,-0.047726616321862814,-4.233308164798563,4.993150783685078,-0.062118515714245974,-0.00012753789280382845,-1.676455151346486e-14,4.3191012878331765e-14,1.488098073766993e-13,0.0,0.0,0.0,0.0,0.0,0.0,2.0715166488454353e-14,-0.0067142678010365855,0.0,-0.0006891863694937715,0.7445007834082015
2008-03-31,0.0,0.0,1.3352894014436085,-0.04902505101043684,-4.305713037546241,4.901615780724712,0.006556599908870704,-0.0007305465911502188,-1.5399799610111708e-14,3.860514953205302e-14,1.5184526182603518e-13,0.0,0.0,0.0,0.0,0.0,0.0,2.1012497258109815e-14,0.04658494288497599,0.0,-0.0007333375796807993,0.7367340506523679
2008-06-30,0.0,0.0,1.4092370187272083,-0.04603194386872004,-4.466565969230235,5.159529185430789,0.008414526119977457,-0.0006890597551622533,-1.637391364702906e-14,4.1415733073940425e-14,1.4881099010095813e-13,0.0,0.0,0.0,0.0,0.0,0.0,2.1251593687916416e-14,0.02700936009290026,0.0,-0.0014754668669286505,0.7290463868043919
2008-09-30,0.0,0.0,1.5038592467023264,-0.03581535552592482,-4.547845836228636,5.238251684167684,0.04219684363565471,-0.0004707098839079036,-1.516665858808294e-14,3.243079226456326e-14,1.4812037585036065e-13,0.0,0.0,0.0,0.0,0.0,0.0,2.1580900557510103e-14,0.08738771013333217,0.0,-0.0012820714445358696,0.7214369818484699
2008-12-31,0.0,0.0,0.3961835487544676,-0.05334157887574443,-4.92324456773974,4.165972791020983,0.1527886417935289,0.0005921017162047194,-1.4283319053862557e-14,3.108603967274637e-14,1.462759739509285e-13,6.5659329529341224e-15,9.41006676403977e-17,-2.6864109525347004e-16,-4.916347640850069e-16,-5.54726779825412e-16,-7.942448404081505e-16,2.1883455844806687e-14,0.3401029571648713,0.0,-0.0005918307764411228,0.7139050344506115
2009-03-31,0.0,0.0,-0.10116766322752124,-0.0577965920529051,-4.714577690473588,3.471104747607348,0.19826140697599934,0.0009701789179305561,-1.4975249715721322e-14,3.0599643271128355e-14,1.4662630557609573e-13,2.1427998526726687e-15,-8.971134833365397e-16,-1.1084079384598226e-15,-1.3339264107130096e-15,-1.4522892477491248e-15,-2.0394630497141827e-15,2.213907342452331e-14,0.2926057923966934,0.0,0.0018147415501743834,0.7064497518506506
2009-06-30,0.0,0.0,-0.24157782800087352,-0.05775058897212275,-4.287605231335295,3.0543292462509544,0.1627194399488293,-2.2770724637224686e-5,-1.4960520900255775e-14,2.4650734185552314e-14,1.5237253032103571e-13,-7.3486836940383e-16,-1.7680996866058283e-15,-1.7292557353752716e-15,-2.0011674068613932e-15,-2.2054894107400513e-15,-2.9991893018995316e-15,2.242163985799504e-14,0.18390214681047257,0.0,0.003779580264550732,0.6990703497562005
2009-09-30,0.0,0.0,-0.2198276503294332,-0.057053604299517925,-3.5842551322322866,2.5883336432362425,0.11515816978266824,-0.00016185726958623813,-1.3733702205707968e-14,1.823551701028837e-14,1.5744130772442776e-13,-5.171536898836497e-15,-2.5107166608517597e-15,-2.3046877123411786e-15,-2.6486982737935794e-15,-2.8498954579112226e-15,-3.778139267847324e-15,2.273555323546244e-14,0.02316102278661226,0.0,0.003224055427775273,0.6917660522384963
2009-12-31,0.0,0.0,-0.3054802289203792,-0.04737205014272121,-3.2280902502896045,2.261816853399914,0.08924011356931913,0.00011336754506899386,-1.4806981727025434e-14,1.85512648115758e-14,1.6442560971880146e-13,-6.630128211659699e-15,-3.15291520587303e-15,-2.890966715501086e-15,-3.2481997549018285e-15,-3.4417617878488546e-15,-4.621361264422886e-15,2.299072961921145e-14,-0.06851310899946579,0.0,0.002788754366879315,0.6845360916300647
2010-03-31,0.0,0.0,-0.17532937721459319,-0.043096190646486635,-3.014107575612988,2.2195134398202487,0.08178669963159811,-4.878154290018654e-5,-1.4747162903121147e-14,2.1687381517406523e-14,1.7186926590007712e-13,-7.909067092988565e-15,-3.787104767275993e-15,-3.3559815733226477e-15,-3.692143413661999e-15,-3.942810169647914e-15,-5.2049339081773724e-15,2.3288751512593036e-14,-0.09970435495914047,0.0,0.002947677670722244,0.6773797084241808
2010-06-30,0.0,0.0,-0.36890181994791205,-0.037071986394625535,-2.850829555969385,1.88504691236453,0.04882400935499973,0.00031110198491266335,-1.461938667416092e-14,1.9856393169397826e-14,1.7808736549500463e-13,-9.461601090570692e-15,-4.20590910207623e-15,-3.6565257191831585e-15,-4.06490524368227e-15,-4.284849634956709e-15,-5.524766910041112e-15,2.358625360224462e-14,-0.08834692174338067,0.0,0.0028684692788237,0.67029615117604
2010-09-30,0.0,0.0,-0.48393408028810286,-0.03591362259985474,-2.751176077227614,1.6655647598024406,0.0799027784882984,0.00028761390022928477,-1.3046716373105288e-14,2.2847516158559793e-14,1.8280804121013106e-13,-1.0656612352919296e-14,-4.5478571243022015e-15,-3.996464308943197e-15,-4.366766689896857e-15,-4.485708750751283e-15,-5.724533899785226e-15,2.3921344643468465e-14,-0.10913150200477235,0.0,0.003247292947379624,0.6632846764056165
