date,obs_gdp,obs_hours,obs_wages,obs_gdpdeflator,obs_corepce,obs_nominalrate,obs_consumption,obs_investment,obs_BBBspread,obs_longinflation,obs_longrate,obs_tfp,obs_gdi,obs_AAAspread,obs_nominalrate1,obs_nominalrate2,obs_nominalrate3,obs_nominalrate4,obs_nominalrate5,obs_nominalrate6,ex_ante_real_rate,ex_post_real_rate,ex_post_real_rate_core,HLW r* (25Q3),HLW r* (22Q4),HLW r* (23Q4),HLW r* (24Q4),DSGE r* wFG,Delta_Rstar_HLW,Delta_Rstar_DSGE,date,ex_ante_real_rate,actual_MP_stance
9/30/1959,-0.304084114,,0.188480274,0.38618932,0.664539187,0.8925,0.876132512,0.607288541,0.23,,,-0.991019238,-1.199680163,0.0675,NaN,NaN,NaN,NaN,NaN,NaN,,2.02524272,0.911843252,,,,,,,,9/30/1959,,
12/31/1959,-0.085396239,,0.564406333,0.391211296,0.571538992,0.9975,-0.07863711,-1.750069869,0.2575,,,-0.344092485,0.310821636,0.0825,NaN,NaN,NaN,NaN,NaN,NaN,,2.425154816,1.703844032,,,,,,,,12/31/1959,,
3/31/1960,1.856929924,,1.713646194,0.396168727,0.316115835,0.9825,0.312138747,2.659951772,0.2575,,,2.968407515,1.83431124,0.0675,NaN,NaN,NaN,NaN,NaN,NaN,1.936369163,2.345325092,2.66553666,,,,,1.941518853,,,3/31/1960,1.936369163,
6/30/1960,-0.910342509,,0.406216845,0.252468171,0.378024644,0.925,1.140386604,-2.281093591,0.2725,,,-3.042004188,-0.38679743,0.0725,NaN,NaN,NaN,NaN,NaN,NaN,1.80920731,2.690127316,2.187901424,,,,,2.214350557,,,6/30/1960,1.80920731,
9/30/1960,0.12315845,,0.238149986,0.34207927,0.395393869,0.735,-0.739577995,-2.897241057,0.3075,,,-0.516641869,-0.361344994,0.11,NaN,NaN,NaN,NaN,NaN,NaN,1.106617296,1.57168292,1.358424524,,,,,2.099922648,,,9/30/1960,1.106617296,
12/31/1960,-1.658468811,,0.118554987,0.295953378,0.325183202,0.575,-0.092027348,-1.006769238,0.2925,,,-1.784757811,-0.910946543,0.0975,NaN,NaN,NaN,NaN,NaN,NaN,0.563764874,1.116186488,0.999267192,,,,,2.162664488,,,12/31/1960,0.563764874,
3/31/1961,0.304224266,,0.664301873,0.218186572,0.168428972,0.4975,-0.434680455,-1.627910771,0.3025,,,0.273213203,-0.16524744,0.105,NaN,NaN,NaN,NaN,NaN,NaN,0.52763922,1.117253712,1.316284112,5.1236,5.095632701,5.166395725,5.097450322,2.250756001,,,3/31/1961,0.52763922,
6/30/1961,1.316554185,,1.165476842,0.230503368,0.329797132,0.4325,0.887181702,1.106509221,0.3025,,,3.284082769,1.307347984,0.1175,NaN,NaN,NaN,NaN,NaN,NaN,0.171304198,0.807986528,0.410811472,5.3428,5.267194137,5.381853935,5.319237494,2.266866506,,,6/30/1961,0.171304198,
9/30/1961,1.536075555,,0.492604048,0.255493241,0.43392084,0.42,0.228637233,1.713430008,0.2775,,,1.229436927,1.233675088,0.11,NaN,NaN,NaN,NaN,NaN,NaN,-0.012398289,0.658027036,-0.05568336,5.2921,5.247490567,5.346090687,5.284015122,2.331767975,,,9/30/1961,-0.012398289,
12/31/1961,1.575841549,,0.416222312,0.312092225,0.240941642,0.6,1.401538975,2.444697871,0.27,,,1.288260456,1.975461368,0.095,NaN,NaN,NaN,NaN,NaN,NaN,0.879117131,1.1516311,1.436233432,5.2723,5.262076064,5.337665853,5.2735054,2.491637965,,,12/31/1961,0.879117131,
