date,BBB_sh,AAA_sh,detrendedMean,g,b_liq,b_safe,FF,z,p-mkp,w-mkp,pol,fg1,fg2,fg3,fg4,fg5,fg6,pi-LR,mu,me,zp,dt
2007-03-31,0.0,0.0,0.3514761545479983,-0.1011649902980805,-0.14808542456621832,0.4999138750866547,-0.023433524675470073,0.13159806530743354,3.8359980442891415e-16,-3.6594233313568865e-15,1.4552564246693975e-14,0.0,0.0,0.0,0.0,0.0,0.0,1.622086764115041e-13,-0.04603898902096493,0.0,0.010149409321861202,0.028537733392609024
2007-06-30,0.0,0.0,0.2518685060200321,-0.09141560204889161,-0.16817797066353843,0.5518156349636205,-0.017256471294960912,0.11475643858321134,5.487943462705252e-16,-2.444035463206075e-15,1.3433652640616887e-14,0.0,0.0,0.0,0.0,0.0,0.0,1.6291258860518235e-13,-0.03901615699449719,0.0,-0.1270124822013998,0.028175115676313714
2007-09-30,0.0,0.0,0.0166159822567713,-0.09580761214791075,-0.3397927146163576,0.5600222608011676,-0.051006151755924024,0.1336200227322584,2.503701055459291e-16,-1.4001092115681907e-15,1.3980609481638319e-14,0.0,0.0,0.0,0.0,0.0,0.0,1.6359680119666584e-13,-0.05630591257697533,0.0,-0.16193125561330549,0.027817345433641796
2007-12-31,0.0,0.0,-0.15992205225271672,-0.0928572460411968,-0.4772159921423875,0.535551752194629,-0.08510143364259083,0.13642794815990597,-2.6306487630997886e-16,-7.983750595669507e-16,1.5589941740625877e-14,0.0,0.0,0.0,0.0,0.0,0.0,1.6323834237308393e-13,-0.06907773050086341,0.0,-0.1351137067903126,0.027464356509920976
2008-03-31,0.0,0.0,-0.49242687931189266,-0.09450357330248316,-0.6379393416102569,0.48092882731752673,-0.09859913988168718,0.147869821167034,1.471200795401848e-17,-1.4965976232606105e-16,1.6862544267830495e-14,0.0,0.0,0.0,0.0,0.0,0.0,1.6300713842700375e-13,-0.06290352981689117,0.0,-0.25439602678284173,0.02711608359752657
2008-06-30,0.0,0.0,-0.4753967858175774,-0.0974530304094084,-0.6017387222755992,0.5126501120310736,-0.10050310906554916,0.14329593049797035,1.2858784542219296e-16,9.407569334744916e-16,1.81643185624036e-14,0.0,0.0,0.0,0.0,0.0,0.0,1.629248387650068e-13,-0.06389200098123836,0.0,-0.2945284278428254,0.026772462227816568
2008-09-30,0.0,0.0,-0.6391880552990394,-0.08294948099365954,-0.7101219668031994,0.48282661355243645,-0.09981108038971456,0.14254020499302625,-4.384961998099653e-16,1.7607748634815626e-15,1.6133420551396704e-14,0.0,0.0,0.0,0.0,0.0,0.0,1.611246572357512e-13,-0.05588376883922425,0.0,-0.3422220055819409,0.02643342876305728
2008-12-31,0.0,0.0,-1.6704625677823233,-0.050147653008400614,-1.3069466116369177,0.18081284878985474,-0.17998263684848603,0.20167214643596293,1.6922842930974834e-15,2.309935815423479e-15,1.4070251779172714e-14,-1.723904189284268e-15,-1.3504512043663184e-15,-3.3305499018917215e-16,-9.913201293925665e-17,-6.583530857584968e-17,-1.5080702516991672e-16,1.6300676038367565e-13,0.005201778609895836,0.0,-0.5471713605127517,0.026098920388340663
2009-03-31,0.0,0.0,-1.5393324849843397,-0.03577316511430756,-1.0855520118558883,0.23032624202458102,-0.22841274408605663,0.18945894089971257,1.9281286187395074e-15,4.617467373704025e-15,1.0887621294228628e-14,-2.5280718879520845e-15,-2.273805703824568e-15,-1.1581985133686266e-15,-2.095689244102094e-16,-5.344648763239949e-16,-1.1975055416329727e-15,1.6519549449845716e-13,-0.07881243187297537,0.0,-0.5563361900830778,0.025768875103496097
2009-06-30,0.0,0.0,-1.208223073587987,-0.024089109529469844,-0.8763002686584691,0.24041405514629838,-0.15773268102824997,0.14864201812534736,1.7068415980213758e-15,4.470320097865702e-15,9.489450195856447e-15,-2.4944878407031496e-15,-2.274388213568091e-15,-1.8777779718426594e-15,-1.0436526786519663e-15,-4.606898812380612e-16,-2.810540113476771e-15,1.6062251391642998e-13,-0.10480332194179968,0.0,-0.4597969974168101,0.02544323171499928
2009-09-30,0.0,0.0,-1.1317976375635384,-0.03992557667751912,-0.6681574775113511,0.19466108133605087,-0.061837082560996535,0.12092164105382322,1.5949460666182639e-15,4.899521636469774e-15,9.569358012212909e-15,-1.469319220633099e-15,-1.3886740919089686e-15,-1.0959446328691238e-15,-7.35541234859007e-16,-2.095789974708373e-16,-4.141150568112128e-15,1.514030652382473e-13,-0.19046931482647225,0.0,-0.5121128382051127,0.02512192982788003
2009-12-31,0.0,0.0,-0.9711335213657407,-0.027038449102135,-0.5817855886615295,0.15426066736204974,0.0001943763929611261,0.06322110904233667,3.233976691855186e-16,5.509701977865001e-15,6.808784129158792e-15,-1.6704527438965099e-15,-1.3798323363857093e-15,-1.663345228475436e-15,-7.843880428015117e-16,-3.654094948484926e-16,-5.676571790772413e-15,1.4402764723143644e-13,-0.1823529989749905,0.0,-0.4224375472622123,0.024804909837632547
2010-03-31,0.0,0.0,-1.2301489533646712,-0.028494113734741675,-0.4862087555830869,0.09590101135154527,-0.022461200865772003,0.05077785802641649,4.2929694204190374e-16,7.012102018930841e-15,5.950845597879598e-15,-1.374307490090162e-15,-7.350514473459408e-16,-9.118238348514492e-16,-2.835802034855573e-16,2.4666828590363064e-16,-7.157084881102522e-15,1.4282600826113984e-13,-0.24381378230141007,0.0,-0.620342083179899,0.024492112922129217
2010-06-30,0.0,0.0,-1.7888089840072987,-0.028292200742666935,-0.6403839251709461,-0.15320738753542795,0.023921253168752248,0.04485609890745061,5.813018210659612e-16,7.68453706281777e-15,6.476152724776544e-15,-2.941286834663774e-16,2.5416654823068944e-16,5.423385389023854e-16,1.3746986054805383e-15,2.4406688924942043e-15,-7.045052744254148e-15,1.359716992374119e-13,-0.22687690642835556,0.0,-0.8330093972397956,0.02418348103354155
2010-09-30,0.0,0.0,-1.9157605408812273,-0.019280872158649088,-0.7021574403756541,-0.18872773973873935,-0.03271849276590079,0.014989641586036417,9.403441271369836e-16,8.477186114489126e-15,5.1772545155356605e-15,-6.3320226498486e-16,3.764807432159164e-17,5.297891317068673e-16,1.0864687565822953e-15,2.890696929818906e-15,-6.522510922375347e-15,1.3486389403336133e-13,-0.2534878247006724,0.0,-0.7582567696180659,0.023878956890269587
2010-12-31,0.0,0.0,-1.8084537213804353,-0.04130300453915964,-0.6784062521502453,-0.1713599314950101,0.011356093092805233,-0.0025747730866651584,2.994529817054153e-17,9.441029056261974e-15,4.137647005808267e-15,-5.612997866564157e-16,3.610950063286642e-17,4.460403087036241e-16,9.173482271486407e-16,2.1349316447767345e-15,-6.806909787593076e-15,1.3152426044135427e-13,-0.22157962997979982,0.0,-0.7281647071913864,0.02357848396888318
2011-03-31,0.0,0.0,-1.6000125577095456,-0.05876605390482181,-0.5132170324334712,-0.16770908393975292,-0.017824100309387025,0.009710751103777029,-2.6544696605558415e-16,9.620802843127149e-15,4.1057007469899595e-15,-7.197973176424755e-16,-2.1076330109875433e-16,-1.4572346475888237e-16,2.683713143476254e-16,1.9792750922214076e-15,-7.922125047596871e-15,1.290176224107287e-13,-0.25569831854710995,0.0,-0.6197907261749934,0.02328200649607627
2011-06-30,0.0,0.0,-2.084012247395411,-0.06420368410908785,-0.6637775584939496,-0.26294852069524544,0.03327369959855268,-0.007885313496552072,-1.3348807338965025e-15,1.1060741227392237e-14,3.533924363513468e-15,-2.482342493817692e-17,5.135385350734522e-16,9.55070830965387e-16,1.0181726223983476e-15,3.295398461593894e-15,-8.275568649104602e-15,1.2598598425707227e-13,-0.23838521145157815,0.0,-0.9030751281883268,0.02298946944063765
2011-09-30,0.0,0.0,-2.5673792508249758,-0.0869007999341836,-0.8509919543499492,-0.42649476645304507,0.06375131324703609,-0.006564248731943844,-1.5106428877564606e-15,1.1936811150279246e-14,2.9277483899132756e-15,3.9697482573465313e-16,1.1316796489185223e-15,1.6125131289118718e-15,1.822552784723725e-15,4.106236864191049e-15,-7.234295547097338e-15,1.2205374042370033e-13,-0.20070199106204883,0.0,-1.0821776220464194,0.022700818505439285
