date,vint_20Q1,vint_20Q2,vint_20Q3,vint_20Q4,vint_21Q1,vint_21Q2,vint_21Q3,vint_21Q4,vint_22Q1,vint_22Q2,vint_22Q3,vint_22Q4,vint_23Q1,vint_23Q2,vint_23Q3,vint_23Q4,vint_24Q1,vint_24Q2,vint_24Q3
1970-06-30,,,,,,,,,,,,,,,,,,,
1970-09-30,,,,,,,,,,,,,,,,,,,
1970-12-31,,,,,,,,,,,,,,,,,,,
1971-03-31,,,,,,,,,,,,,,,,,,,
1971-06-30,,,,,,,,,,,,,,,,,,,
1971-09-30,,,,,,,,,,,,,,,,,,,
1971-12-31,,,,,,,,,,,,,,,,,,,
1972-03-31,,,,,,,,,,,,,,,,,,,
1972-06-30,0.9582632664127313,0.9582979005907866,0.9581553832258479,0.9558448042994495,0.957097119389354,0.957767501487413,0.9567051615414874,0.9572494768875427,0.9585726617678401,0.959022382264684,0.9585313918303181,0.95912431616286,0.9606182427390464,0.9604579188187945,0.9599215407701817,0.9600083035078744,0.9597170996742297,0.95961976620534,0.9597163605775606
1972-09-30,0.9880980244952208,0.9881313966082736,0.987990192925534,0.9857113516011762,0.9869815371916069,0.9876451717425335,0.9865591718194942,0.9871085179246704,0.9884247227195062,0.9888485117969961,0.9883355434243607,0.9889251333553889,0.990434054334689,0.9902533563623893,0.989715134293285,0.9898144833275617,0.9895165653698714,0.9894269506663202,0.9895237591359551
1972-12-31,1.0582071107999176,1.0582393307432487,1.0580993774270062,1.0558493395350435,1.0571351363428392,1.057792771503363,1.0566859288436228,1.0572392782644098,1.0585483254308135,1.0589481043342448,1.058415327543543,1.0590016380991223,1.0605232931498243,1.0603241823525789,1.0597846069574388,1.0598952923701446,1.0595915719727325,1.0595089629985202,1.0596058375284383
1973-03-31,1.0818392112917357,1.0818703832426735,1.081731615484446,1.0795075864957973,1.0808069276646053,1.0814592724275391,1.0803341793376968,1.080890595738859,1.0821923638517914,1.0825699451322086,1.082019370645174,1.0826024775958722,1.0841348031009925,1.083919107729283,1.0833786194352135,1.0834994784322562,1.083190795557919,1.083114524941899,1.083211329985266
1973-06-30,1.1272829264103006,1.1273131497906652,1.1271755002205173,1.1249748042096122,1.1262858027875677,1.1269335308356234,1.1257925711966612,1.1263512059465783,1.1276456342648546,1.128002740013442,1.127436235226361,1.1280162380438274,1.1295573559001124,1.1293267858216132,1.1287857762242353,1.1289157244196564,1.1286028520590219,1.1285322928336166,1.128628904985193
1973-09-30,1.1931789989792543,1.1932083690375799,1.1930717671900077,1.1908918342628794,1.1922127738892085,1.1928565260079758,1.191701887074076,1.1922619762019495,1.1935490661785957,1.1938873390443039,1.1933066383551174,1.193883661454842,1.1954318703756714,1.1951880265581694,1.194646839911028,1.194784865580218,1.1944685132291812,1.1944030754752686,1.1944993831077118
1973-12-31,1.2369696921736368,1.2369983003472225,1.2368626724757,1.234701030991954,1.2360303578785783,1.236670743630674,1.2355044257146006,1.2360652867098443,1.2373451012949537,1.2376661112856226,1.2370728237477773,1.2376470165602411,1.2392007841662944,1.2389451654231411,1.238404100370472,1.2385492602537946,1.2382300768783963,1.238169205405796,1.238265108234628
1974-03-31,1.2785937778516812,1.2786217120015755,1.2784869811211417,1.2763412524989184,1.2776775677820247,1.2783151668669408,1.2771389922273544,1.277700020479697,1.2789726818529166,1.2792779306652116,1.278673546298989,1.279245082541419,1.2808030374625492,1.2805370457664804,1.2799963573598816,1.2801477732410687,1.2798263501071334,1.2797695226796773,1.279864931242148
1974-06-30,1.3314069958292731,1.3314343404032725,1.3313004264798662,1.3291683212257313,1.3305103732912755,1.331145736850727,1.3299613584026773,1.3305220232457537,1.331787709470098,1.3320786333809598,1.331464528843186,1.3320336052579067,1.3335945289635596,1.3333194740415548,1.3327793760085647,1.332936231649572,1.332613105188033,1.3325598310159612,1.3326546660693324
