date,vint_20Q1,vint_20Q2,vint_20Q3,vint_20Q4,vint_21Q1,vint_21Q2,vint_21Q3,vint_21Q4,vint_22Q1,vint_22Q2,vint_22Q3,vint_22Q4,vint_23Q1,vint_23Q2,vint_23Q3,vint_23Q4,vint_24Q1,vint_24Q2,vint_24Q3
1970-06-30,,,,,,,,,,,,,,,,,,,
1970-09-30,,,,,,,,,,,,,,,,,,,
1970-12-31,,,,,,,,,,,,,,,,,,,
1971-03-31,,,,,,,,,,,,,,,,,,,
1971-06-30,,,,,,,,,,,,,,,,,,,
1971-09-30,,,,,,,,,,,,,,,,,,,
1971-12-31,,,,,,,,,,,,,,,,,,,
1972-03-31,,,,,,,,,,,,,,,,,,,
1972-06-30,0.8956708553375188,0.8956954839236171,0.8955043616408886,0.8927562410156347,0.8942602993748201,0.8949587572369307,0.8939744194710385,0.8941560207269453,0.8951992687228206,0.8953911883832261,0.8947860141421575,0.8955078755112535,0.8971106584253679,0.8969125808416634,0.8964258863772694,0.8964771035180897,0.8965084656385685,0.8963760281824861,0.8963786665107928
1972-09-30,0.940408775158738,0.9404295460047293,0.9402431743431681,0.9375541902532496,0.9390749494710002,0.939760979931788,0.9387554343718202,0.9389409111896057,0.9399593066391064,0.940110611267684,0.9394776598944662,0.9401850163708969,0.9417822006834777,0.9415601448525945,0.9410756547063994,0.9411417584598398,0.9411689988518505,0.9410506474214467,0.9410541817215836
1972-12-31,1.010806883397377,1.0108240713788652,1.0106421683988558,1.0080058698698342,1.0095408568142108,1.0102163385688387,1.0091922663119894,1.009380552305339,1.0103752237637398,1.0104886341077077,1.0098303599443386,1.0105240297179447,1.012114804010965,1.0118708446790223,1.011388792415586,1.0114683755391014,1.0114921331839812,1.011386670726028,1.0113908503846767
1973-03-31,1.0316066057691797,1.031620469521403,1.0314427520458658,1.0288529566229503,1.030400050891516,1.0310667569509568,1.0300265209342214,1.0302166677818962,1.031188784913446,1.031266862605409,1.030585480862513,1.031266308236599,1.0328501017936689,1.0325861459838173,1.032106691513455,1.03219845981747,1.0322193214812754,1.0321256274357258,1.0321302232596739
1973-06-30,1.0966243314633088,1.096635114032754,1.0964613015361206,1.0939121120840833,1.095469486546988,1.0961290849802237,1.0950747769265838,1.0952659378214504,1.0962166854052842,1.0962618393097063,1.0955593564679407,1.096228195981546,1.0978046251189282,1.0975224298468576,1.0970456758678095,1.0971484372319606,1.0971669428240356,1.0970839689953402,1.0970887703443823
1973-09-30,1.1679453911534774,1.1679533206096107,1.1677831378623782,1.1652689478580172,1.1668350242360466,1.1674890811780836,1.1664225573859555,1.1666139739474182,1.1675445337172299,1.1675590256767139,1.1668372626573444,1.1674949679653257,1.1690637969178446,1.168764983013293,1.16829098702841,1.1684036425172872,1.168420289565602,1.1683470563087126,1.1683518688236625
1973-12-31,1.2250220200661122,1.225027310100728,1.2248604889265797,1.2223759797750804,1.2239493946733788,1.2245993788299077,1.2235222882066465,1.223713279845672,1.2246248178952626,1.224610768242616,1.2238713786433322,1.2245187947946474,1.2260799067760795,1.2257659700913732,1.2252947533245724,1.2254162897285688,1.2254315372334421,1.2253671298210311,1.2253717735660288
1974-03-31,1.2588426981830414,1.258845548710842,1.2586818291082413,1.256221961867816,1.2578015401264404,1.2584488282855941,1.2573626349577767,1.2575525899825635,1.2584462481435301,1.2584056411670417,1.2576501261043753,1.2582880842568942,1.2598414596753686,1.2595137805270158,1.2590453346554797,1.2591748180045115,1.2591890898547384,1.259132654945133,1.2591369628393703
1974-06-30,1.315237671486501,1.3152382692525129,1.3150774000587087,1.3126374032045547,1.3142221364169,1.3148680196500018,1.3137740217465421,1.3139623897111923,1.3148392797822805,1.3147739692281188,1.314003689819238,1.3146330037109368,1.3161787034581476,1.3158385548580345,1.315372847192956,1.3155094169420576,1.3155231050210574,1.3154738471811016,1.3154776636342915
