date,obs_gdp,obs_hours,obs_wages,obs_gdpdeflator,obs_corepce,obs_nominalrate,obs_consumption,obs_investment,obs_BBBspread,obs_longinflation,obs_longrate,obs_tfp,obs_gdi,obs_AAAspread,obs_nominalrate1,obs_nominalrate2,obs_nominalrate3,obs_nominalrate4,obs_nominalrate5,obs_nominalrate6
1970-06-30,1.868319282,NaN,2.617695823,1.812738459,NaN,1.98925,0.57886079,5.670108769,NaN,NaN,2.0636,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1970-09-30,1.016941132,NaN,2.031858257,1.780462463,NaN,1.9005,0.990879643,0.698203364,NaN,NaN,2.0962,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1970-12-31,1.043116043,NaN,2.260157101,1.169603976,NaN,1.8105,1.748777335,-0.039820886,NaN,NaN,2.085225,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1971-03-31,-0.378462029,NaN,0.966477511,2.298951823,NaN,1.62925,-0.106649003,-0.817461717,NaN,NaN,1.96515,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1971-06-30,0.984647232,NaN,0.837466934,1.129955525,NaN,1.48475,1.178257764,2.825207025,NaN,NaN,1.9827,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1971-09-30,1.840694186,NaN,1.94692125,1.671348097,NaN,1.5565,1.152532099,0.16846011,NaN,NaN,2.00675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1971-12-31,0.664890893,NaN,1.644265644,1.098912158,NaN,1.5015,1.013049416,1.604289516,NaN,NaN,1.9615,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1972-03-31,1.25048702,NaN,1.966466783,2.162246401,NaN,1.26175,0.922759642,0.364218844,NaN,NaN,1.8969,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1972-06-30,0.605189289,NaN,0.439582494,1.591545531,NaN,1.1885,0.372791228,1.279761905,NaN,NaN,1.887425,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1972-09-30,1.123031314,NaN,0.924361953,1.566611674,NaN,1.21425,2.069772217,0.571114971,NaN,NaN,1.8957,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1972-12-31,1.163640029,NaN,1.452060926,1.542447033,NaN,1.59875,0.707808319,2.02153445,NaN,NaN,1.953675,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1973-03-31,1.653955076,NaN,1.46557415,3.509131981,NaN,1.69775,0.319737931,1.26201532,NaN,NaN,1.993975,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1973-06-30,0.504064183,NaN,0.768086095,2.433210066,NaN,2.12125,0.822297855,0.289557923,NaN,NaN,2.0763,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1973-09-30,1.188359338,NaN,1.505358183,2.375408601,NaN,2.55275,0.350535226,1.212368618,NaN,NaN,2.150475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1973-12-31,0.836570279,NaN,1.684503225,2.320289708,NaN,2.77075,1.666735807,0.851998552,NaN,NaN,2.178975,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1974-03-31,0.874938912,NaN,0.97217145,3.160533942,NaN,2.80675,0.420609199,1.097920165,NaN,NaN,2.335075,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
