date,obs_gdp,obs_hours,obs_wages,obs_gdpdeflator,obs_corepce,obs_nominalrate,obs_consumption,obs_investment,obs_BBBspread,obs_longinflation,obs_longrate,obs_tfp,obs_gdi,obs_AAAspread,obs_nominalrate1,obs_nominalrate2,obs_nominalrate3,obs_nominalrate4,obs_nominalrate5,obs_nominalrate6,,
6/30/1970,1.87,NaN,2.62,1.81,NaN,1.99,0.58,5.67,NaN,NaN,2.06,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
9/30/1970,1.02,NaN,2.03,1.78,NaN,1.90,0.99,0.70,NaN,NaN,2.10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
12/31/1970,1.04,NaN,2.26,1.17,NaN,1.81,1.75,-0.04,NaN,NaN,2.09,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
3/31/1971,-0.38,NaN,0.97,2.30,NaN,1.63,-0.11,-0.82,NaN,NaN,1.97,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
6/30/1971,0.98,NaN,0.84,1.13,NaN,1.48,1.18,2.83,NaN,NaN,1.98,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
9/30/1971,1.84,NaN,1.95,1.67,NaN,1.56,1.15,0.17,NaN,NaN,2.01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
12/31/1971,0.66,NaN,1.64,1.10,NaN,1.50,1.01,1.60,NaN,NaN,1.96,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
3/31/1972,1.25,NaN,1.97,2.16,NaN,1.26,0.92,0.36,NaN,NaN,1.90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
6/30/1972,0.61,NaN,0.44,1.59,NaN,1.19,0.37,1.28,NaN,NaN,1.89,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
9/30/1972,1.12,NaN,0.92,1.57,NaN,1.21,2.07,0.57,NaN,NaN,1.90,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
12/31/1972,1.16,NaN,1.45,1.54,NaN,1.60,0.71,2.02,NaN,NaN,1.95,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
3/31/1973,1.65,NaN,1.47,3.51,NaN,1.70,0.32,1.26,NaN,NaN,1.99,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
6/30/1973,0.50,NaN,0.77,2.43,NaN,2.12,0.82,0.29,NaN,NaN,2.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
9/30/1973,1.19,NaN,1.51,2.38,NaN,2.55,0.35,1.21,NaN,NaN,2.15,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
12/31/1973,0.84,NaN,1.68,2.32,NaN,2.77,1.67,0.85,NaN,NaN,2.18,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
3/31/1974,0.87,NaN,0.97,3.16,NaN,2.81,0.42,1.10,NaN,NaN,2.34,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
6/30/1974,0.25,NaN,1.69,3.49,NaN,2.87,1.40,-1.62,NaN,NaN,2.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
9/30/1974,0.63,NaN,0.52,3.38,NaN,2.88,0.14,0.97,NaN,NaN,2.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
12/31/1974,-1.79,NaN,1.26,3.27,NaN,2.67,-0.78,-3.05,NaN,NaN,2.65,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
3/31/1975,-0.88,NaN,0.39,2.77,NaN,2.20,0.29,-1.95,NaN,NaN,2.47,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
6/30/1975,0.81,NaN,1.68,2.32,NaN,1.76,1.68,-1.61,NaN,NaN,2.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
9/30/1975,1.00,NaN,1.16,2.26,NaN,1.60,1.30,-0.36,NaN,NaN,2.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
12/31/1975,0.81,NaN,1.28,1.85,NaN,1.65,1.45,1.60,NaN,NaN,2.32,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
3/31/1976,1.53,NaN,0.82,2.17,NaN,1.75,1.53,0.12,NaN,NaN,2.36,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
6/30/1976,1.00,NaN,0.67,3.87,NaN,2.14,-0.31,0.43,NaN,NaN,2.53,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
9/30/1976,0.62,NaN,1.13,3.06,NaN,2.34,0.20,-0.36,NaN,NaN,2.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
12/31/1976,1.48,NaN,1.26,2.31,NaN,2.30,1.32,2.72,NaN,NaN,2.61,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
3/31/1977,0.27,NaN,0.13,2.58,NaN,2.55,0.07,0.87,NaN,NaN,2.58,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
6/30/1977,-0.04,NaN,1.25,2.83,NaN,2.34,0.79,-2.07,NaN,NaN,2.56,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
9/30/1977,0.19,NaN,0.56,2.14,NaN,2.25,1.20,0.78,NaN,NaN,2.52,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
12/31/1977,1.10,NaN,0.40,2.40,NaN,2.28,0.60,1.53,NaN,NaN,2.50,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
3/31/1978,0.49,NaN,0.80,2.34,NaN,2.01,-0.43,0.00,NaN,NaN,2.43,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
6/30/1978,0.93,NaN,0.21,2.29,NaN,1.98,0.61,0.45,NaN,NaN,2.39,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,
