DATE,A261RX1Q020SBEA
1947-01-01,2155.107
1947-04-01,2152.475
1947-07-01,2154.969
1947-10-01,2175.676
1948-01-01,2234.019
1948-04-01,2285.769
1948-07-01,2287.672
1948-10-01,2299.374
1949-01-01,2253.788
1949-04-01,2247.403
1949-07-01,2259.522
1949-10-01,2229.038
1950-01-01,2318.346
1950-04-01,2413.923
1950-07-01,2505.999
1950-10-01,2554.032
1951-01-01,2567.214
1951-04-01,2612.511
1951-07-01,2658.293
1951-10-01,2681.678
1952-01-01,2699.392
1952-04-01,2715.431
1952-07-01,2740.774
1952-10-01,2824.964
1953-01-01,2875.103
1953-04-01,2895.104
1953-07-01,2876.276
1953-10-01,2818.509
1954-01-01,2824.612
1954-04-01,2829.704
1954-07-01,2855.104
1954-10-01,2915.631
1955-01-01,2995.663
1955-04-01,3056.84
1955-07-01,3096.965
1955-10-01,3120.584
1956-01-01,3123.499
1956-04-01,3155.445
1956-07-01,3158.846
1956-10-01,3214.005
1957-01-01,3221.889
1957-04-01,3219.137
1957-07-01,3232.965
1957-10-01,3196.037
1958-01-01,3124.782
1958-04-01,3134.104
1958-07-01,3207.129
1958-10-01,3281.723
1959-01-01,3350.911
1959-04-01,3442.283
1959-07-01,3413.976
1959-10-01,3437.288
1960-01-01,3513.787
1960-04-01,3513.218
1960-07-01,3513.367
1960-10-01,3494.307
1961-01-01,3501.421
1961-04-01,3560.538
1961-07-01,3617.962
1961-10-01,3703.71
1962-01-01,3748.605
1962-04-01,3790.298
1962-07-01,3828.689
1962-10-01,3873.571
1963-01-01,3907.124
1963-04-01,3964.01
1963-07-01,4017.546
1963-10-01,4052.446
1964-01-01,4119.972
1964-04-01,4180.92
1964-07-01,4240.203
1964-10-01,4280.964
1965-01-01,4376.464
1965-04-01,4432.292
1965-07-01,4494.819
1965-10-01,4593.146
1966-01-01,4693.801
1966-04-01,4725.072
1966-07-01,4757.629
1966-10-01,4799.739
1967-01-01,4827.763
1967-04-01,4854.332
1967-07-01,4905.347
1967-10-01,4954.821
1968-01-01,5028.313
1968-04-01,5104.163
1968-07-01,5173.418
1968-10-01,5208.418
1969-01-01,5259.126
1969-04-01,5291.107
1969-07-01,5326.845
1969-10-01,5315.674
1970-01-01,5279.792
1970-04-01,5280.726
1970-07-01,5324.618
1970-10-01,5274.615
1971-01-01,5379.798
1971-04-01,5414.946
1971-07-01,5460.793
1971-10-01,5529.815
1972-01-01,5609.869
1972-04-01,5681.795
1972-07-01,5774.813
1972-10-01,5923.44
1973-01-01,6029.207
1973-04-01,6062.234
1973-07-01,6081.765
1973-10-01,6145.734
1974-01-01,6097.001
1974-04-01,6073.04
1974-07-01,6040.126
1974-10-01,5968.17
1975-01-01,5900.299
1975-04-01,5949.19
1975-07-01,6070.188
1975-10-01,6131.433
1976-01-01,6258.745
1976-04-01,6298.042
1976-07-01,6345.943
1976-10-01,6365.683
1977-01-01,6436.639
1977-04-01,6587.461
1977-07-01,6708.565
1977-10-01,6747.246
1978-01-01,6787.654
1978-04-01,6992.174
1978-07-01,7043.001
1978-10-01,7111.206
1979-01-01,7167.738
1979-04-01,7131.743
1979-07-01,7140.374
1979-10-01,7168.718
1980-01-01,7163.16
1980-04-01,7047.205
1980-07-01,7099.446
1980-10-01,7264.48
1981-01-01,7317.429
1981-04-01,7320.834
1981-07-01,7426.318
1981-10-01,7349.023
1982-01-01,7290.787
1982-04-01,7317.377
1982-07-01,7288.992
1982-10-01,7257.257
1983-01-01,7334.901
1983-04-01,7458.046
1983-07-01,7561.569
1983-10-01,7737.461
1984-01-01,7948.665
1984-04-01,8078.361
1984-07-01,8163.854
1984-10-01,8253.699
1985-01-01,8323.077
1985-04-01,8382.955
1985-07-01,8484.646
1985-10-01,8532.34
1986-01-01,8616.568
1986-04-01,8640.488
1986-07-01,8694.612
1986-10-01,8762.963
1987-01-01,8853.75
1987-04-01,8994.869
1987-07-01,9125.627
1987-10-01,9247.572
1988-01-01,9357.969
1988-04-01,9465.72
1988-07-01,9551.092
1988-10-01,9681.941
1989-01-01,9740.964
1989-04-01,9723.615
1989-07-01,9763.944
1989-10-01,9774.696
1990-01-01,9867.971
1990-04-01,9922.905
1990-07-01,9915.892
1990-10-01,9869.991
1991-01-01,9849.502
1991-04-01,9878.301
1991-07-01,9905.175
1991-10-01,9939.939
1992-01-01,10110.308
1992-04-01,10194.831
1992-07-01,10227.459
1992-10-01,10323.834
1993-01-01,10287.953
1993-04-01,10411.816
1993-07-01,10432.4
1993-10-01,10635.328
1994-01-01,10694.028
1994-04-01,10859.839
1994-07-01,10961.671
1994-10-01,11092.882
1995-01-01,11138.844
1995-04-01,11203.9
1995-07-01,11342.048
1995-10-01,11415.939
1996-01-01,11543.259
1996-04-01,11711.702
1996-07-01,11819.348
1996-10-01,11965.404
1997-01-01,12097.066
1997-04-01,12253.605
1997-07-01,12451.017
1997-10-01,12619.947
1998-01-01,12743.709
1998-04-01,12931.11
1998-07-01,13110.454
1998-10-01,13235.908
1999-01-01,13420.801
1999-04-01,13485.449
1999-07-01,13617.755
1999-10-01,13816.819
2000-01-01,14091.664
2000-04-01,14185.563
2000-07-01,14315.561
2000-10-01,14318.857
2001-01-01,14466.491
2001-04-01,14450.923
2001-07-01,14376.34
2001-10-01,14258.854
2002-01-01,14430.462
2002-04-01,14566.942
2002-07-01,14609.128
2002-10-01,14716.109
