DATE,COMPNFB
1947-01-01,3.336
1947-04-01,3.411
1947-07-01,3.512
1947-10-01,3.596
1948-01-01,3.681
1948-04-01,3.730
1948-07-01,3.807
1948-10-01,3.844
1949-01-01,3.867
1949-04-01,3.874
1949-07-01,3.883
1949-10-01,3.872
1950-01-01,3.971
1950-04-01,4.058
1950-07-01,4.139
1950-10-01,4.243
1951-01-01,4.345
1951-04-01,4.441
1951-07-01,4.491
1951-10-01,4.576
1952-01-01,4.625
1952-04-01,4.659
1952-07-01,4.717
1952-10-01,4.836
1953-01-01,4.892
1953-04-01,4.950
1953-07-01,5.002
1953-10-01,5.051
1954-01-01,5.093
1954-04-01,5.099
1954-07-01,5.139
1954-10-01,5.190
1955-01-01,5.226
1955-04-01,5.269
1955-07-01,5.363
1955-10-01,5.411
1956-01-01,5.495
1956-04-01,5.601
1956-07-01,5.687
1956-10-01,5.783
1957-01-01,5.866
1957-04-01,5.925
1957-07-01,6.003
1957-10-01,6.084
1958-01-01,6.084
1958-04-01,6.139
1958-07-01,6.281
1958-10-01,6.307
1959-01-01,6.369
1959-04-01,6.423
1959-07-01,6.460
1959-10-01,6.521
1960-01-01,6.661
1960-04-01,6.704
1960-07-01,6.744
1960-10-01,6.772
1961-01-01,6.832
1961-04-01,6.928
1961-07-01,6.980
1961-10-01,7.031
1962-01-01,7.143
1962-04-01,7.191
1962-07-01,7.242
1962-10-01,7.307
1963-01-01,7.380
1963-04-01,7.418
1963-07-01,7.494
1963-10-01,7.579
1964-01-01,7.555
1964-04-01,7.639
1964-07-01,7.740
1964-10-01,7.797
1965-01-01,7.829
1965-04-01,7.881
1965-07-01,7.965
1965-10-01,8.083
1966-01-01,8.224
1966-04-01,8.355
1966-07-01,8.475
1966-10-01,8.589
1967-01-01,8.704
1967-04-01,8.845
1967-07-01,8.964
1967-10-01,9.087
1968-01-01,9.330
1968-04-01,9.482
1968-07-01,9.637
1968-10-01,9.828
1969-01-01,9.962
1969-04-01,10.123
1969-07-01,10.303
1969-10-01,10.501
1970-01-01,10.690
1970-04-01,10.859
1970-07-01,11.034
1970-10-01,11.142
1971-01-01,11.372
1971-04-01,11.539
1971-07-01,11.697
1971-10-01,11.777
1972-01-01,12.105
1972-04-01,12.247
1972-07-01,12.410
1972-10-01,12.644
1973-01-01,12.977
1973-04-01,13.158
1973-07-01,13.386
1973-10-01,13.656
1974-01-01,13.966
1974-04-01,14.329
1974-07-01,14.753
1974-10-01,15.157
1975-01-01,15.608
1975-04-01,15.939
1975-07-01,16.222
1975-10-01,16.487
1976-01-01,16.805
1976-04-01,17.120
1976-07-01,17.479
1976-10-01,17.851
1977-01-01,18.190
1977-04-01,18.562
1977-07-01,18.922
1977-10-01,19.249
1978-01-01,19.760
1978-04-01,20.098
1978-07-01,20.481
1978-10-01,20.991
1979-01-01,21.530
1979-04-01,22.023
1979-07-01,22.512
1979-10-01,23.079
1980-01-01,23.726
1980-04-01,24.365
1980-07-01,24.983
1980-10-01,25.648
1981-01-01,26.291
1981-04-01,26.746
1981-07-01,27.341
1981-10-01,27.789
1982-01-01,28.518
1982-04-01,28.739
1982-07-01,29.186
1982-10-01,29.614
1983-01-01,29.915
1983-04-01,30.205
1983-07-01,30.368
1983-10-01,30.717
1984-01-01,31.070
1984-04-01,31.397
1984-07-01,31.856
1984-10-01,32.111
1985-01-01,32.517
1985-04-01,32.826
1985-07-01,33.311
1985-10-01,33.940
1986-01-01,34.425
1986-04-01,34.823
1986-07-01,35.258
1986-10-01,35.730
1987-01-01,35.887
1987-04-01,36.149
1987-07-01,36.518
1987-10-01,36.952
1988-01-01,37.596
1988-04-01,38.050
1988-07-01,38.521
1988-10-01,38.810
1989-01-01,38.919
1989-04-01,39.079
1989-07-01,39.429
1989-10-01,39.995
1990-01-01,40.764
1990-04-01,41.558
1990-07-01,42.105
1990-10-01,42.424
1991-01-01,42.671
1991-04-01,43.491
1991-07-01,44.010
1991-10-01,44.598
1992-01-01,45.760
1992-04-01,46.186
1992-07-01,46.711
1992-10-01,46.963
1993-01-01,46.616
1993-04-01,46.965
1993-07-01,46.981
1993-10-01,47.323
1994-01-01,47.050
1994-04-01,47.443
1994-07-01,47.429
1994-10-01,47.798
1995-01-01,48.080
1995-04-01,48.477
1995-07-01,48.740
1995-10-01,49.134
1996-01-01,49.666
1996-04-01,50.131
1996-07-01,50.514
1996-10-01,50.805
1997-01-01,51.386
1997-04-01,51.856
1997-07-01,52.375
1997-10-01,53.322
1998-01-01,54.221
1998-04-01,54.908
1998-07-01,55.793
1998-10-01,56.107
1999-01-01,57.099
1999-04-01,57.336
1999-07-01,57.838
1999-10-01,58.998
2000-01-01,61.080
2000-04-01,61.229
2000-07-01,62.419
2000-10-01,62.776
2001-01-01,64.181
2001-04-01,64.451
2001-07-01,64.512
2001-10-01,65.110
2002-01-01,65.395
2002-04-01,65.985
2002-07-01,66.330
2002-10-01,66.464
2003-01-01,66.869
2003-04-01,68.042
2003-07-01,69.066
2003-10-01,70.037
2004-01-01,69.891
2004-04-01,71.223
2004-07-01,72.553
2004-10-01,72.825
2005-01-01,73.278
2005-04-01,73.756
2005-07-01,74.745
2005-10-01,75.162
2006-01-01,76.585
2006-04-01,76.717
2006-07-01,76.922
2006-10-01,78.133
2007-01-01,79.921
2007-04-01,79.871
2007-07-01,80.235
2007-10-01,81.187
2008-01-01,81.960
2008-04-01,82.098
2008-07-01,82.951
2008-10-01,84.045
2009-01-01,81.786
2009-04-01,83.938
2009-07-01,84.604
2009-10-01,84.992
2010-01-01,84.169
2010-04-01,85.179
2010-07-01,85.677
2010-10-01,85.956
2011-01-01,87.596
2011-04-01,86.835
2011-07-01,87.515
2011-10-01,86.221
2012-01-01,88.287
2012-04-01,88.733
2012-07-01,88.730
2012-10-01,91.016
2013-01-01,89.628
2013-04-01,90.238
2013-07-01,90.042
2013-10-01,90.767
2014-01-01,92.490
2014-04-01,91.994
2014-07-01,92.483
2014-10-01,93.483
2015-01-01,94.568
2015-04-01,95.408
2015-07-01,95.997
2015-10-01,95.814
