DATE,FPI
1947-01-01,35.359
1947-04-01,35.744
1947-07-01,37.827
1947-10-01,41.794
1948-01-01,43.576
1948-04-01,44.477
1948-07-01,45.365
1948-10-01,45.337
1949-01-01,42.752
1949-04-01,41.389
1949-07-01,40.856
1949-10-01,42.167
1950-01-01,44.725
1950-04-01,49.458
1950-07-01,54.465
1950-10-01,54.397
1951-01-01,54.196
1951-04-01,52.591
1951-07-01,52.241
1951-10-01,52.365
1952-01-01,53.4
1952-04-01,54.528
1952-07-01,51.646
1952-10-01,55.463
1953-01-01,57.773
1953-04-01,58.538
1953-07-01,59.104
1953-10-01,58.452
1954-01-01,57.683
1954-04-01,58.827
1954-07-01,61.062
1954-10-01,62.455
1955-01-01,64.899
1955-04-01,68.068
1955-07-01,70.452
1955-10-01,71.65
1956-01-01,71.904
1956-04-01,73.435
1956-07-01,74.698
1956-10-01,74.902
1957-01-01,75.566
1957-04-01,75.25
1957-07-01,76.53
1957-10-01,75.563
1958-01-01,70.739
1958-04-01,69.3
1958-07-01,70.452
1958-10-01,74.766
1959-01-01,79.29
1959-04-01,82.093
1959-07-01,83.222
1959-10-01,82.404
1960-01-01,85.276
1960-04-01,83.872
1960-07-01,82.057
1960-10-01,81.775
1961-01-01,80.926
1961-04-01,82.316
1961-07-01,84.261
1961-10-01,86.935
1962-01-01,88.666
1962-04-01,91.262
1962-07-01,91.972
1962-10-01,91.604
1963-01-01,92.821
1963-04-01,96.814
1963-07-01,98.896
1963-10-01,102.125
1964-01-01,105.35
1964-04-01,106.062
1964-07-01,107.939
1964-10-01,109.968
1965-01-01,114.998
1965-04-01,118.484
1965-07-01,121.945
1965-10-01,126.168
1966-01-01,130.328
1966-04-01,131.185
1966-07-01,131.342
1966-10-01,129.351
1967-01-01,127.388
1967-04-01,131.154
1967-07-01,133.571
1967-10-01,139.22
1968-01-01,143.85
1968-04-01,144.862
1968-07-01,148.003
1968-10-01,154.754
1969-01-01,160.899
1969-04-01,163.499
1969-07-01,167.37
1969-10-01,165.787
1970-01-01,166.289
1970-04-01,166.374
1970-07-01,168.821
1970-10-01,170.738
1971-01-01,177.241
1971-04-01,186.455
1971-07-01,191.87
1971-10-01,198.706
1972-01-01,209.741
1972-04-01,214.8
1972-07-01,219.375
1972-10-01,232.224
1973-01-01,243.763
1973-04-01,249.99
1973-07-01,254.574
1973-10-01,255.865
1974-01-01,255.842
1974-04-01,259.975
1974-07-01,265.434
1974-10-01,260.893
1975-01-01,254.335
1975-04-01,257.235
1975-07-01,266.579
1975-10-01,275.888
1976-01-01,289.945
1976-04-01,299.855
1976-07-01,307.501
1976-10-01,327.132
1977-01-01,345.491
1977-04-01,370.233
1977-07-01,383.251
1977-10-01,398.179
1978-01-01,409.346
1978-04-01,446.328
1978-07-01,467.401
1978-10-01,487.269
1979-01-01,501.957
1979-04-01,511.892
1979-07-01,533.49
1979-10-01,539.323
1980-01-01,544.663
1980-04-01,511.544
1980-07-01,528.927
1980-10-01,560.59
1981-01-01,580.626
1981-04-01,598.129
1981-07-01,608.337
1981-10-01,618.589
1982-01-01,609.784
1982-04-01,597.786
1982-07-01,587.157
1982-10-01,589.062
1983-01-01,600.58
1983-04-01,621.454
1983-07-01,656.472
1983-10-01,694.564
1984-01-01,717.89
1984-04-01,749.573
1984-07-01,767.514
1984-10-01,783.762
1985-01-01,793.636
1985-04-01,805.394
1985-07-01,805.854
1985-10-01,826.426
1986-01-01,833.06
1986-04-01,839.574
1986-07-01,842.851
1986-10-01,854.822
1987-01-01,843.222
1987-04-01,858.064
1987-07-01,875.449
1987-10-01,883.376
