"Series Description","Market yield on U.S. Treasury securities at 20-year   constant maturity, quoted on investment basis,   inflation-indexed","Market yield on U.S. Treasury securities at 30-year^  constant maturity, quoted on investment basis,^  inflation-indexed","Treasury long-term average (over 10 years)","MOODY'S YIELD ON SEASONED CORPORATE BONDS - ALL INDUSTRIES, AAA","MOODY'S YIELD ON SEASONED CORPORATE BONDS - ALL INDUSTRIES, BAA"
"Unit:","Percent:_Per_Year","Percent:_Per_Year","Percent:_Per_Year","Percent:_Per_Year","Percent:_Per_Year"
"Multiplier:","1","1","1","1","1"
"Currency:","NA","NA","NA","NA","NA"
"Unique Identifier: ","H15/H15/RIFLGFCY20_XII_N.M","H15/H15/RIFLGFCY30_XII_N.M","H15/H15/RIFLGFL_XII_N.M","H15/discontinued/RIMLPAAAR_N.M","H15/discontinued/RIMLPBAAR_N.M"
"Time Period","RIFLGFCY20_XII_N.M","RIFLGFCY30_XII_N.M","RIFLGFL_XII_N.M","RIMLPAAAR_N.M","RIMLPBAAR_N.M"
1959-01,,,,4.12,4.87
1959-02,,,,4.14,4.89
1959-03,,,,4.13,4.85
1959-04,,,,4.23,4.86
1959-05,,,,4.37,4.96
1959-06,,,,4.46,5.04
1959-07,,,,4.47,5.08
1959-08,,,,4.43,5.09
1959-09,,,,4.52,5.18
1959-10,,,,4.57,5.28
1959-11,,,,4.56,5.26
1959-12,,,,4.58,5.28
1960-01,,,,4.61,5.34
1960-02,,,,4.56,5.34
1960-03,,,,4.49,5.25
1960-04,,,,4.45,5.20
1960-05,,,,4.46,5.28
1960-06,,,,4.45,5.26
1960-07,,,,4.41,5.22
1960-08,,,,4.28,5.08
1960-09,,,,4.25,5.01
1960-10,,,,4.30,5.11
1960-11,,,,4.31,5.08
1960-12,,,,4.35,5.10
1961-01,,,,4.32,5.10
1961-02,,,,4.27,5.07
1961-03,,,,4.22,5.02
1961-04,,,,4.25,5.01
1961-05,,,,4.27,5.01
1961-06,,,,4.33,5.03
1961-07,,,,4.41,5.09
1961-08,,,,4.45,5.11
1961-09,,,,4.45,5.12
1961-10,,,,4.42,5.13
1961-11,,,,4.39,5.11
1961-12,,,,4.42,5.10
1962-01,,,,4.42,5.08
1962-02,,,,4.42,5.07
1962-03,,,,4.39,5.04
1962-04,,,,4.33,5.02
1962-05,,,,4.28,5.00
1962-06,,,,4.28,5.02
1962-07,,,,4.34,5.05
1962-08,,,,4.35,5.06
1962-09,,,,4.32,5.03
1962-10,,,,4.28,4.99
1962-11,,,,4.25,4.96
1962-12,,,,4.24,4.92
1963-01,,,,4.21,4.91
1963-02,,,,4.19,4.89
1963-03,,,,4.19,4.88
1963-04,,,,4.21,4.87
1963-05,,,,4.22,4.85
1963-06,,,,4.23,4.84
1963-07,,,,4.26,4.84
1963-08,,,,4.29,4.83
1963-09,,,,4.31,4.84
1963-10,,,,4.32,4.83
1963-11,,,,4.33,4.84
1963-12,,,,4.35,4.85
1964-01,,,,4.39,4.83
1964-02,,,,4.36,4.83
1964-03,,,,4.38,4.83
1964-04,,,,4.40,4.85
1964-05,,,,4.41,4.85
1964-06,,,,4.41,4.85
1964-07,,,,4.40,4.83
1964-08,,,,4.41,4.82
1964-09,,,,4.42,4.82
1964-10,,,,4.42,4.81
1964-11,,,,4.43,4.81
1964-12,,,,4.44,4.81
1965-01,,,,4.43,4.80
1965-02,,,,4.41,4.78
1965-03,,,,4.42,4.78
1965-04,,,,4.43,4.80
1965-05,,,,4.44,4.81
1965-06,,,,4.46,4.85
1965-07,,,,4.48,4.88
1965-08,,,,4.49,4.88
1965-09,,,,4.52,4.91
1965-10,,,,4.56,4.93
