"This spreadsheet contains updated estimates of the baseline model described in ""Measuring the Natural Rate of Interest,"" by Thomas Laubach and John C. Williams,",,,,,,,,,,
"published in the Review of Economics and Statistics, November 2003.  The programs used for estimating the model are available at: https://www.newyorkfed.org/medialibrary/media/research/economists/williams/data/LW_2023_Replication_Code.zip .",,,,,,,,,,
"Estimates based on data available on August 28, 2025.  Final data point: 2025Q2",,,,,,,,,,
,,,,,,,,,,
,,One-Sided Estimates,,,,,Two-Sided Estimates,,,
Date,,rstar,g,z,Output gap,,rstar,g,z,Output gap
1/1/1961,,5.0582,4.8076,0.0026,-3.7450,,4.3642,4.2051,-0.0579,-3.3773
4/1/1961,,5.2730,5.0064,0.0083,-3.4416,,4.3498,4.1975,-0.0643,-2.9142
7/1/1961,,5.2408,4.9736,0.0106,-2.7269,,4.3318,4.1872,-0.0714,-2.1719
10/1/1961,,5.2343,4.9698,0.0081,-2.0387,,4.3113,4.1747,-0.0787,-1.3950
1/1/1962,,5.0893,4.8301,0.0100,-1.2424,,4.2912,4.1614,-0.0849,-0.7956
4/1/1962,,4.6002,4.3735,0.0010,-0.6515,,4.2802,4.1553,-0.0895,-0.6179
7/1/1962,,4.4893,4.2703,-0.0013,-0.2980,,4.2727,4.1506,-0.0920,-0.4870
10/1/1962,,4.0557,3.8742,-0.0184,-0.1302,,4.2781,4.1564,-0.0927,-0.6779
1/1/1963,,4.0427,3.8592,-0.0156,0.0424,,4.2849,4.1632,-0.0931,-0.6095
4/1/1963,,4.0096,3.8261,-0.0139,0.2986,,4.2928,4.1715,-0.0940,-0.3960
7/1/1963,,4.3142,4.1056,-0.0032,0.7042,,4.2915,4.1709,-0.0946,0.1777
10/1/1963,,4.0593,3.8627,-0.0027,1.1245,,4.2990,4.1786,-0.0952,0.2855
1/1/1964,,4.3414,4.1263,0.0023,1.3691,,4.2964,4.1770,-0.0961,0.7927
4/1/1964,,4.2611,4.0624,-0.0108,1.5900,,4.2973,4.1784,-0.0967,0.9878
7/1/1964,,4.3557,4.1558,-0.0144,1.7658,,4.2953,4.1762,-0.0964,1.2220
10/1/1964,,4.1177,3.9444,-0.0303,1.7707,,4.3025,4.1837,-0.0970,1.1195
1/1/1965,,4.4718,4.2651,-0.0134,1.9956,,4.2927,4.1768,-0.0996,1.7419
4/1/1965,,4.4418,4.2406,-0.0175,2.2660,,4.2820,4.1709,-0.1041,2.1420
7/1/1965,,4.6732,4.4571,-0.0138,2.5382,,4.2569,4.1545,-0.1120,2.8987
10/1/1965,,4.8726,4.6448,-0.0118,2.9319,,4.2184,4.1282,-0.1228,3.7425
1/1/1966,,5.0877,4.8263,0.0124,3.5054,,4.1677,4.0906,-0.1340,4.4531
4/1/1966,,4.8524,4.5726,0.0439,3.8392,,4.1277,4.0623,-0.1442,4.2696
7/1/1966,,4.8400,4.5367,0.0693,3.7882,,4.0868,4.0334,-0.1547,4.0778
10/1/1966,,4.8254,4.5078,0.0850,3.6538,,4.0448,4.0037,-0.1655,3.8614
1/1/1967,,4.7907,4.5337,0.0230,3.0731,,4.0019,3.9726,-0.1756,3.6108
