date,AWHNONAG,CE16OV,COMPNFB,PCEPILFE,DFF,PCE,FPI,BAA,BAMLC8A0C15PYEY,GS10,GDI,GDP,CNP16OV,GDPDEF
1959-03-31,,63940.0,13.5,15.515,2.58,310.4,72.3,4.87,,3.99,510.145,496.1,114714.0,22.01
1959-06-30,,64772.0,13.6,15.598,3.08,316.5,74.9,4.95,,4.26,524.882,509.2,115139.0,22.01
1959-09-30,,64875.0,13.7,15.702,3.57,321.7,76.1,5.12,,4.5,522.572,510.2,115551.0,22.06
1959-12-31,,64927.0,13.8,15.792,3.99,323.9,75.2,5.27,,4.58,528.21,514.2,115918.0,22.16
1960-03-31,,65213.0,14.1,15.842,3.93,327.4,77.9,5.31,,4.49,542.125,527.9,116708.0,22.26
1960-06-30,,66061.0,14.2,15.902,3.7,333.3,76.4,5.25,,4.26,543.396,527.1,117037.0,22.34
1960-09-30,,66024.0,14.3,15.965,2.94,333.3,74.4,5.1,,3.83,545.291,529.9,117411.0,22.42
1960-12-31,,65840.0,14.4,16.017,2.3,335.2,73.9,5.1,,3.89,543.938,524.6,117824.0,22.48
1961-03-31,,65738.0,14.5,16.044,1.99,335.7,72.9,5.06,,3.79,546.222,528.9,118254.0,22.54
1961-06-30,,65605.0,14.7,16.097,1.73,340.6,74.0,5.02,,3.79,556.721,539.9,118636.0,22.58
1961-09-30,,65667.0,14.8,16.167,1.68,343.5,75.7,5.11,,3.98,567.148,550.3,119001.0,22.64
1961-12-31,,65967.0,14.9,16.206,2.4,350.8,78.2,5.11,,3.97,582.407,563.4,119190.0,22.72
1962-03-31,,66380.0,15.2,16.266,2.46,356.0,80.0,5.06,,4.02,592.505,576.8,119379.0,22.86
1962-06-30,,66577.0,15.3,16.328,2.61,361.7,82.4,5.01,,3.87,600.073,583.9,119819.0,22.9
1962-09-30,,66881.0,15.4,16.382,2.85,365.6,83.1,5.05,,3.99,607.427,591.0,120368.0,22.95
1962-12-31,,66969.0,15.5,16.413,2.92,371.8,82.6,4.96,,3.9,615.802,594.4,121046.0,23.02
1963-03-31,,67149.0,15.7,16.467,2.97,375.4,83.6,4.89,,3.89,623.85,603.4,121640.0,23.1
1963-06-30,,67635.0,15.8,16.529,2.96,379.5,87.3,4.85,,3.96,634.043,612.1,122167.0,23.13
1963-09-30,,67996.0,15.9,16.593,3.33,386.5,89.3,4.84,,4.03,643.45,624.9,122670.0,23.17
1963-12-31,,68258.0,16.1,16.673,3.45,391.1,92.3,4.84,,4.12,654.309,634.3,123189.0,23.35
1964-03-31,38.6,68614.0,16.4,16.744,3.46,400.7,95.6,4.83,,4.18,667.299,650.4,123708.0,23.42
1964-06-30,38.7,69402.0,16.5,16.793,3.49,408.6,96.1,4.85,,4.2,678.727,659.6,124203.0,23.47
1964-09-30,38.6,69480.0,16.8,16.84,3.46,417.5,97.8,4.82,,4.19,691.1,671.2,124739.0,23.57
1964-12-31,38.8,69710.0,16.8,16.883,3.58,420.1,99.5,4.81,,4.17,700.907,676.3,125289.0,23.69
1965-03-31,38.9,70188.0,16.9,16.947,3.98,430.9,104.1,4.79,,4.2,720.152,696.5,125814.0,23.81
1965-06-30,38.8,70897.0,17.1,16.999,4.08,437.9,107.3,4.82,,4.21,732.681,709.0,126325.0,23.92
1965-09-30,38.6,71369.0,17.2,17.052,4.08,447.1,110.4,4.89,,4.25,745.903,726.2,126745.0,24.01
1965-12-31,38.7,71827.0,17.5,17.109,4.17,461.3,114.2,4.97,,4.47,767.46,748.7,127169.0,24.18
1966-03-31,38.8,72173.0,17.8,17.194,4.56,471.8,117.9,5.17,,4.77,789.329,772.3,127511.0,24.34
1966-06-30,38.6,72594.0,18.1,17.334,4.91,477.0,118.4,5.49,,4.78,801.086,781.5,127869.0,24.53
1966-09-30,38.6,73088.0,18.3,17.477,5.41,486.2,118.3,5.87,,5.14,814.396,794.8,128234.0,24.79
1966-12-31,38.4,73657.0,18.5,17.628,5.56,492.0,116.1,6.14,,5.0,828.503,808.6,128617.0,25.01
1967-03-31,38.2,73572.0,18.8,17.725,4.82,496.3,113.8,5.88,,4.58,836.797,819.3,129044.0,25.11
1967-06-30,38.0,74001.0,19.1,17.844,3.99,505.4,117.4,5.98,,4.82,845.681,823.9,129527.0,25.27
1967-09-30,38.0,74714.0,19.4,18.006,3.89,512.7,119.3,6.33,,5.25,862.763,838.7,130166.0,25.53
1967-12-31,37.9,75216.0,19.6,18.188,4.17,520.3,124.5,6.72,,5.64,881.145,854.4,130757.0,25.82
1968-03-31,37.8,75103.0,20.2,18.395,4.79,538.1,128.8,6.83,,5.61,904.129,881.4,131267.0,26.11
1968-06-30,37.8,75950.0,20.6,18.609,5.98,551.9,129.3,7.02,,5.74,927.463,905.7,131712.0,26.38
1968-09-30,37.9,76101.0,20.9,18.817,5.95,568.0,132.0,6.86,,5.46,949.276,920.9,132250.0,26.63
1968-12-31,37.7,76499.0,21.3,19.036,5.92,576.9,138.4,7.03,,5.77,969.185,937.8,132880.0,26.99
1969-03-31,37.7,77166.0,21.6,19.244,6.57,588.9,144.2,7.38,,6.18,988.736,961.9,133476.0,27.25
1969-06-30,37.7,77605.0,21.9,19.474,8.33,600.2,146.4,7.59,,6.35,1007.398,977.0,134020.0,27.61
1969-09-30,37.7,78153.0,22.3,19.699,8.98,610.5,150.2,7.92,,6.86,1028.459,997.2,134595.0,28.01
1969-12-31,37.6,78575.0,22.8,19.93,8.94,622.5,148.3,8.37,,7.3,1039.539,1005.3,135247.0,28.37
1970-03-31,37.4,78780.0,23.2,20.147,8.56,633.7,148.8,8.76,,7.37,1047.063,1018.2,135950.0,28.77
1970-06-30,37.2,78636.0,23.5,20.375,7.88,643.8,148.8,8.98,,7.71,1061.858,1034.4,136677.0,29.17
1970-09-30,37.0,78616.0,24.0,20.602,6.71,655.8,151.0,9.41,,7.46,1079.478,1051.9,137456.0,29.42
1970-12-31,36.9,78643.0,24.3,20.891,5.57,662.5,152.9,9.28,,6.85,1083.461,1054.2,138260.0,29.81
1971-03-31,36.9,78717.0,24.8,21.156,3.86,681.7,159.1,8.53,,6.02,1121.847,1099.9,139034.0,30.28
1971-06-30,36.9,78961.0,25.1,21.397,4.57,695.7,168.0,8.61,,6.25,1143.994,1120.6,139827.0,30.7
1971-09-30,36.7,79511.0,25.5,21.599,5.48,708.0,173.2,8.7,,6.48,1165.451,1140.8,140603.0,31.03
1971-12-31,37.0,80229.0,25.7,21.722,4.75,724.3,179.4,8.41,,5.89,1190.035,1153.1,141402.0,31.3
1972-03-31,37.0,81213.0,26.3,21.931,3.55,741.7,189.9,8.23,,6.03,1225.632,1192.5,143005.0,31.75
1972-06-30,37.0,81875.0,26.6,22.079,4.3,759.9,194.5,8.22,,6.14,1249.073,1227.5,143759.0,31.96
1972-09-30,36.9,82450.0,27.0,22.245,4.74,778.2,198.7,8.17,,6.29,1281.679,1252.0,144523.0,32.29
1972-12-31,37.0,83002.0,27.6,22.385,5.15,803.1,211.0,7.99,,6.37,1331.426,1289.7,145215.0,32.71
1973-03-31,37.0,83842.0,28.3,22.541,6.54,827.8,222.0,7.97,,6.6,1370.82,1338.4,145964.0,33.12
1973-06-30,37.0,84797.0,28.8,22.848,7.82,843.1,227.8,8.09,,6.81,1399.511,1374.4,146720.0,33.67
1973-09-30,36.9,85330.0,29.3,23.151,10.56,861.9,232.0,8.47,,7.21,1431.358,1394.1,147478.0,34.28
1973-12-31,36.9,86236.0,29.9,23.474,10.0,877.2,232.6,8.44,,6.75,1475.234,1435.3,148226.0,34.98
1974-03-31,36.7,86709.0,30.7,23.877,9.33,895.4,231.5,8.54,,7.05,1491.146,1450.0,148987.0,35.56
1974-06-30,36.6,86834.0,31.5,24.47,11.25,923.6,234.9,9.06,,7.54,1520.365,1487.6,149747.0,36.36
1974-09-30,36.6,87079.0,32.4,25.169,12.1,951.5,239.9,9.81,,7.96,1556.456,1514.8,150498.0,37.41
1974-12-31,36.2,86588.0,33.2,25.784,9.34,959.1,235.4,10.57,,7.67,1583.154,1551.6,151253.0,38.52
1975-03-31,35.9,85357.0,34.2,26.288,6.31,984.4,228.7,10.65,,7.54,1600.724,1567.2,151987.0,39.39
1975-06-30,35.9,85332.0,34.9,26.689,5.42,1013.7,230.7,10.63,,8.05,1637.971,1603.1,152708.0,39.95
1975-09-30,36.1,86136.0,35.5,27.089,6.16,1047.2,239.1,10.58,,8.3,1700.816,1659.9,153579.0,40.68
1975-12-31,36.2,86497.0,36.1,27.53,5.41,1076.1,247.3,10.58,,8.06,1746.705,1710.5,154336.0,41.42
1976-03-31,36.2,87686.0,37.0,27.949,4.83,1111.1,260.1,10.26,,7.75,1801.802,1770.3,155075.0,41.93
1976-06-30,36.2,88591.0,37.8,28.284,5.2,1131.1,269.1,9.9,,7.77,1831.4,1803.1,155774.0,42.39
1976-09-30,36.1,89163.0,38.7,28.727,5.28,1160.8,275.8,9.62,,7.73,1869.193,1837.0,156527.0,43.01
1976-12-31,36.0,89570.0,39.4,29.177,4.87,1196.1,294.5,9.21,,7.19,1908.639,1885.3,157222.0,43.81
1977-03-31,36.0,90359.0,40.1,29.668,4.66,1231.6,311.9,9.11,,7.35,1960.906,1939.1,157911.0,44.52
1977-06-30,36.0,91661.0,40.9,30.121,5.16,1260.3,335.6,9.0,,7.37,2035.208,2006.6,158652.0,45.26
1977-09-30,36.0,92409.0,41.7,30.622,5.82,1291.9,347.3,8.83,,7.36,2097.868,2067.5,159430.0,45.8
1977-12-31,35.9,93639.0,42.5,31.067,6.51,1329.9,361.3,8.94,,7.6,2155.534,2112.4,160140.0,46.73
1978-03-31,35.7,94553.0,43.7,31.552,6.76,1359.9,370.8,9.2,,8.01,2199.97,2150.4,160829.0,47.41
1978-06-30,35.9,95835.0,44.4,32.096,7.28,1419.0,405.0,9.47,,8.32,2309.587,2276.6,161525.0,48.3
1978-09-30,35.8,96397.0,45.4,32.647,8.09,1452.1,423.9,9.5,,8.49,2365.857,2338.5,162265.0,49.11
1978-12-31,35.8,97400.0,46.5,33.233,9.58,1490.6,441.2,9.79,,8.82,2437.684,2418.0,163024.0,50.08
1979-03-31,35.7,98252.0,47.7,33.687,10.07,1531.6,454.6,10.16,,9.11,2501.832,2470.9,163756.0,51.03
1979-06-30,35.6,98371.0,48.7,34.427,10.18,1566.9,463.5,10.39,,9.11,2550.227,2529.3,164447.0,52.17
1979-09-30,35.7,99041.0,49.8,35.063,10.94,1620.1,483.8,10.39,,9.1,2609.135,2601.5,165200.0,53.25
1979-12-31,35.6,99637.0,51.1,35.794,13.58,1666.5,488.7,11.82,,10.45,2668.123,2663.8,166055.0,54.3
1980-03-31,35.4,99862.0,52.5,36.67,15.07,1716.0,494.4,13.48,,11.99,2722.05,2732.9,166762.0,55.47
