date,GDP,CNP16OV,GDPDEF,AWHNONAG,CE16OV,COMPNFB,PCEPILFE,DFF,PCE,FPI,BAA,GS20,GS10,GS30,GDI,AAA,LTGOVTBD
1959-03-31,510.33,114714.0,15.224,,63940.0,6.369,15.515,2.58,309.5,79.29,4.87,3.97,3.99,,510.145,4.13,3.91
1959-06-30,522.653,115139.0,15.248,,64772.0,6.423,15.598,3.08,315.5,82.093,4.95,4.11,4.26,,524.882,4.35,4.06
1959-09-30,525.034,115551.0,15.307,,64875.0,6.46,15.702,3.57,320.7,83.222,5.12,4.2,4.5,,522.572,4.47,4.16
1959-12-31,528.6,115918.0,15.367,,64927.0,6.521,15.792,3.99,322.9,82.404,5.27,4.24,4.58,,528.21,4.57,4.17
1960-03-31,542.648,116708.0,15.428,,65213.0,6.661,15.842,3.93,326.4,85.276,5.31,4.28,4.49,,542.125,4.55,4.22
1960-06-30,541.08,117037.0,15.467,,66061.0,6.704,15.902,3.7,332.2,83.872,5.25,4.16,4.26,,543.396,4.45,4.11
1960-09-30,545.604,117411.0,15.52,,66024.0,6.744,15.965,2.94,332.1,82.057,5.1,3.87,3.83,,545.291,4.31,3.82
1960-12-31,540.197,117824.0,15.566,,65840.0,6.772,16.017,2.3,334.0,81.775,5.1,3.93,3.89,,543.938,4.32,3.91
1961-03-31,545.018,118254.0,15.6,,65738.0,6.832,16.044,1.99,334.5,80.926,5.06,3.85,3.79,,546.222,4.27,3.83
1961-06-30,555.545,118636.0,15.636,,65605.0,6.928,16.097,1.73,339.5,82.316,5.02,3.81,3.79,,556.721,4.28,3.8
1961-09-30,567.664,119001.0,15.676,,65667.0,6.98,16.167,1.68,342.4,84.261,5.11,4.0,3.98,,567.148,4.44,3.97
1961-12-31,580.612,119190.0,15.725,,65967.0,7.031,16.206,2.4,349.6,86.935,5.11,4.03,3.97,,582.407,4.41,4.01
1962-03-31,594.013,119379.0,15.806,,66380.0,7.143,16.266,2.46,354.9,88.666,5.06,4.09,4.02,,592.505,4.41,4.06
1962-06-30,600.366,119819.0,15.832,,66577.0,7.191,16.328,2.61,360.5,91.262,5.01,3.94,3.87,,600.073,4.3,3.89
1962-09-30,609.027,120368.0,15.865,,66881.0,7.242,16.382,2.85,364.4,91.972,5.05,4.02,3.99,,607.427,4.34,3.98
1962-12-31,612.28,121046.0,15.898,,66969.0,7.307,16.413,2.92,370.6,91.604,4.96,3.93,3.9,,615.802,4.26,3.88
1963-03-31,621.672,121640.0,15.967,,67149.0,7.38,16.467,2.97,374.3,92.821,4.89,3.96,3.89,,623.85,4.2,3.91
1963-06-30,629.752,122167.0,15.995,,67635.0,7.418,16.529,2.96,378.4,96.814,4.85,4.02,3.96,,634.043,4.22,3.98
1963-09-30,644.444,122670.0,16.016,,67996.0,7.494,16.593,3.33,385.4,98.896,4.84,4.06,4.03,,643.45,4.29,4.01
1963-12-31,653.938,123189.0,16.146,,68258.0,7.579,16.673,3.45,390.0,102.125,4.84,4.16,4.12,,654.309,4.33,4.1
1964-03-31,669.822,123708.0,16.197,38.4,68614.0,7.555,16.744,3.46,399.6,105.35,4.83,4.19,4.18,,667.299,4.38,4.16
1964-06-30,678.674,124203.0,16.234,38.6,69402.0,7.639,16.793,3.49,407.5,106.062,4.85,4.2,4.2,,678.727,4.41,4.16
1964-09-30,692.031,124739.0,16.299,38.5,69480.0,7.74,16.84,3.46,416.4,107.939,4.82,4.18,4.19,,691.1,4.41,4.14
1964-12-31,697.319,125289.0,16.373,38.6,69710.0,7.797,16.883,3.58,419.0,109.968,4.81,4.18,4.17,,700.907,4.43,4.14
1965-03-31,717.79,125814.0,16.455,38.7,70188.0,7.829,16.947,3.98,429.7,114.998,4.79,4.2,4.2,,720.152,4.42,4.15
1965-06-30,730.191,126325.0,16.531,38.7,70897.0,7.881,16.999,4.08,436.6,118.484,4.82,4.21,4.21,,732.681,4.44,4.14
1965-09-30,749.323,126745.0,16.595,38.6,71369.0,7.965,17.052,4.08,445.8,121.945,4.89,4.25,4.25,,745.903,4.5,4.2
1965-12-31,771.857,127169.0,16.709,38.6,71827.0,8.083,17.109,4.17,459.8,126.168,4.97,4.41,4.47,,767.46,4.61,4.35
1966-03-31,795.734,127511.0,16.816,38.7,72173.0,8.224,17.194,4.56,470.1,130.328,5.17,4.65,4.77,,789.329,4.81,4.56
1966-06-30,804.981,127869.0,16.954,38.6,72594.0,8.355,17.334,4.91,475.2,131.185,5.49,4.69,4.78,,801.086,5.0,4.58
1966-09-30,819.638,128234.0,17.118,38.4,73088.0,8.475,17.477,5.41,484.3,131.342,5.87,4.91,5.14,,814.396,5.32,4.78
1966-12-31,833.302,128617.0,17.261,38.3,73657.0,8.589,17.628,5.56,490.1,129.351,6.14,4.82,5.0,,828.503,5.38,4.7
1967-03-31,844.17,129044.0,17.333,38.0,73572.0,8.704,17.725,4.82,494.3,127.388,5.88,4.56,4.58,,836.797,5.12,4.44
1967-06-30,848.983,129527.0,17.421,37.8,74001.0,8.845,17.844,3.99,503.4,131.154,5.98,4.84,4.82,,845.681,5.26,4.71
1967-09-30,865.233,130166.0,17.588,37.8,74714.0,8.964,18.006,3.89,510.7,133.571,6.33,5.1,5.25,,862.763,5.62,4.93
1967-12-31,881.439,130757.0,17.784,37.8,75216.0,9.087,18.188,4.17,518.2,139.22,6.72,5.54,5.64,,881.145,6.03,5.33
1968-03-31,909.387,131267.0,17.981,37.7,75103.0,9.33,18.395,4.79,536.3,143.85,6.83,5.45,5.61,,904.129,6.13,5.24
1968-06-30,934.344,131712.0,18.171,37.7,75950.0,9.482,18.609,5.98,550.0,144.862,7.02,5.47,5.74,,927.463,6.25,5.3
1968-09-30,950.825,132250.0,18.349,37.7,76101.0,9.637,18.817,5.95,566.1,148.003,6.86,5.27,5.46,,949.276,6.08,5.07
1968-12-31,968.03,132880.0,18.608,37.6,76499.0,9.828,19.036,5.92,574.9,154.754,7.03,5.63,5.77,,969.185,6.24,5.42
1969-03-31,993.337,133476.0,18.8,37.6,77166.0,9.962,19.244,6.57,587.0,160.899,7.38,6.11,6.18,,988.736,6.7,5.88
1969-06-30,1009.02,134020.0,19.039,37.6,77605.0,10.123,19.474,8.33,598.4,163.499,7.59,6.14,6.35,,1007.398,6.89,5.92
1969-09-30,1029.956,134595.0,19.307,37.5,78153.0,10.303,19.699,8.98,608.6,167.37,7.92,6.35,6.86,,1028.459,7.06,6.14
1969-12-31,1038.147,135247.0,19.556,37.5,78575.0,10.501,19.93,8.94,620.6,165.787,8.37,6.71,7.3,,1039.539,7.47,6.53
1970-03-31,1051.2,135950.0,19.832,37.3,78780.0,10.69,20.147,8.56,631.7,166.289,8.76,6.77,7.37,,1047.063,7.89,6.56
1970-06-30,1067.375,136677.0,20.108,37.0,78636.0,10.859,20.375,7.88,641.6,166.374,8.98,7.14,7.71,,1061.858,8.14,6.82
1970-09-30,1086.059,137456.0,20.273,36.9,78616.0,11.034,20.602,6.71,653.5,168.821,9.41,6.96,7.46,,1079.478,8.22,6.65
1970-12-31,1088.608,138260.0,20.541,36.8,78643.0,11.142,20.891,5.57,660.2,170.738,9.28,6.58,6.85,,1083.461,7.91,6.27
1971-03-31,1135.156,139034.0,20.853,36.7,78717.0,11.372,21.156,3.86,679.2,177.241,8.53,6.09,6.02,,1121.847,7.22,5.82
1971-06-30,1156.271,139827.0,21.127,36.8,78961.0,11.539,21.397,4.57,693.2,186.455,8.61,6.23,6.25,,1143.994,7.47,5.88
1971-09-30,1177.675,140603.0,21.342,36.7,79511.0,11.697,21.599,5.48,705.6,191.87,8.7,6.23,6.48,,1165.451,7.56,5.75
1971-12-31,1190.297,141402.0,21.52,36.8,80229.0,11.777,21.722,4.75,721.7,198.706,8.41,5.93,5.89,,1190.035,7.3,5.51
1972-03-31,1230.609,143005.0,21.848,36.9,81213.0,12.105,21.931,3.55,739.0,209.741,8.23,6.04,6.03,,1225.632,7.23,5.65
1972-06-30,1266.369,143759.0,21.984,36.9,81875.0,12.247,22.079,4.3,757.4,214.8,8.22,6.08,6.14,,1249.073,7.28,5.66
1972-09-30,1290.566,144523.0,22.194,36.8,82450.0,12.41,22.245,4.74,775.8,219.375,8.17,6.0,6.29,,1281.679,7.21,5.6
1972-12-31,1328.904,145215.0,22.477,36.9,83002.0,12.644,22.385,5.15,800.5,232.224,7.99,5.92,6.37,,1331.426,7.14,5.61
1973-03-31,1377.49,145964.0,22.736,36.9,83842.0,12.977,22.541,6.54,825.0,243.763,7.97,6.86,6.6,,1370.82,7.22,6.09
1973-06-30,1413.887,146720.0,23.086,36.9,84797.0,13.158,22.848,7.82,840.5,249.99,8.09,6.97,6.81,,1399.511,7.31,6.22
1973-09-30,1433.838,147478.0,23.535,36.8,85330.0,13.386,23.151,10.56,858.9,254.574,8.47,7.38,7.21,,1431.358,7.59,6.59
1973-12-31,1476.289,148226.0,24.004,36.8,86236.0,13.656,23.474,10.0,873.9,255.865,8.44,7.26,6.75,,1475.234,7.65,6.31
1974-03-31,1491.209,148987.0,24.457,36.6,86709.0,13.966,23.877,9.33,891.9,255.842,8.54,7.56,7.05,,1491.146,7.9,6.64
1974-06-30,1530.056,149747.0,25.035,36.5,86834.0,14.329,24.47,11.25,920.4,259.975,9.06,8.08,7.54,,1520.365,8.36,7.05
1974-09-30,1560.026,150498.0,25.769,36.5,87079.0,14.753,25.169,12.1,949.3,265.434,9.81,8.49,7.96,,1556.456,8.99,7.27
1974-12-31,1599.679,151253.0,26.527,36.2,86588.0,15.157,25.784,9.34,959.1,260.893,10.57,8.09,7.67,,1583.154,9.02,6.98
1975-03-31,1616.116,151987.0,27.13,35.9,85357.0,15.608,26.288,6.31,985.2,254.335,10.65,7.86,7.54,,1600.724,8.71,6.67
1975-06-30,1651.853,152708.0,27.533,35.9,85332.0,15.939,26.689,5.42,1013.6,257.235,10.63,8.21,8.05,,1637.971,8.87,6.96
1975-09-30,1709.82,153579.0,28.019,36.0,86136.0,16.222,27.089,6.16,1047.2,266.579,10.58,8.41,8.3,,1700.816,8.91,7.08
1975-12-31,1761.831,154336.0,28.488,36.1,86497.0,16.487,27.53,5.41,1076.3,275.888,10.58,8.29,8.06,,1746.705,8.81,7.22
1976-03-31,1820.487,155075.0,28.789,36.2,87686.0,16.805,27.949,4.83,1109.9,289.945,10.26,8.0,7.75,,1801.802,8.56,6.91
1976-06-30,1852.332,155774.0,29.079,36.1,88591.0,17.12,28.284,5.2,1129.5,299.855,9.9,8.01,7.77,,1831.4,8.53,6.88
1976-09-30,1886.558,156527.0,29.455,36.1,89163.0,17.479,28.727,5.28,1158.8,307.501,9.62,7.9,7.73,,1869.193,8.46,6.78
