date,CNP16OV
1977-03-31,226007.3542
1977-06-30,226193.7251
1977-09-30,226380.2496
1977-12-31,226566.9279
1978-03-31,226753.7602
1978-06-30,226940.7465
1978-09-30,227127.8871
1978-12-31,227315.1819
1979-03-31,227502.6312
1979-06-30,227690.2351
1979-09-30,227877.9937
1979-12-31,228065.9071
1980-03-31,228253.9754
1980-06-30,228442.1989
1980-09-30,228630.5776
1980-12-31,228819.1116
1981-03-31,229007.801
1981-06-30,229196.6461
1981-09-30,229385.6469
1981-12-31,229574.8036
1982-03-31,229764.1162
1982-06-30,229953.585
1982-09-30,230143.2099
1982-12-31,230332.9913
1983-03-31,230523.1642
1983-06-30,230713.3372
1983-09-30,230903.5101
1983-12-31,231093.683
1984-03-31,231357.8599
1984-06-30,231622.0368
1984-09-30,231886.2137
1984-12-31,232150.3906
1985-03-31,232464.4771
1985-06-30,232778.5637
1985-09-30,233092.6502
1985-12-31,233406.7367
1986-03-31,234057.2831
1986-06-30,234707.8294
1986-09-30,235358.3758
1986-12-31,236008.9221
1987-03-31,236708.9479
1987-06-30,237408.9736
1987-09-30,238108.9994
1987-12-31,238809.0251
1988-03-31,239421.709
1988-06-30,240034.3928
1988-09-30,240647.0767
1988-12-31,241259.7605
1989-03-31,241925.7961
1989-06-30,242591.8316
1989-09-30,243257.8672
1989-12-31,243923.9027
1990-03-31,244964.6908
1990-06-30,246005.4789
1990-09-30,247046.267
1990-12-31,248087.0551
1991-03-31,248624.014
1991-06-30,249160.9729
1991-09-30,249697.9318
1991-12-31,250234.8907
1992-03-31,250161.7473
1992-06-30,250088.6039
1992-09-30,250015.4604
1992-12-31,249942.317
1993-03-31,250102.3721
1993-06-30,250262.4271
1993-09-30,250422.4822
1993-12-31,250582.5372
1994-03-31,250892.3212
1994-06-30,251202.1052
1994-09-30,251511.8891
1994-12-31,251821.6731
1995-03-31,252060.4649
1995-06-30,252299.2567
1995-09-30,252538.0485
1995-12-31,252776.8403
1996-03-31,253257.866
1996-06-30,253738.8917
1996-09-30,254219.9173
1996-12-31,254700.943
1997-03-31,255274.0434
1997-06-30,255847.1438
1997-09-30,256420.2441
1997-12-31,256993.3445
1998-03-31,257845.6807
1998-06-30,258698.0169
1998-09-30,259550.353
1998-12-31,260402.6892
1999-03-31,261144.88
1999-06-30,261887.0708
1999-09-30,262629.2615
1999-12-31,263371.4523
2000-03-31,264271.9771
2000-06-30,265172.5019
2000-09-30,266073.0267
2000-12-31,266973.5515
2001-03-31,267371.9681
2001-06-30,267770.3848
2001-09-30,268168.8014
2001-12-31,268567.218
2002-03-31,268934.9395
2002-06-30,269302.661
2002-09-30,269670.3825
2002-12-31,270038.104
2003-03-31,270535.815
2003-06-30,271033.526
2003-09-30,271531.237
2003-12-31,272028.948
2004-03-31,272526.4738
2004-06-30,273023.9995
2004-09-30,273521.5253
2004-12-31,274019.051
2005-03-31,274553.2248
2005-06-30,275087.3985
2005-09-30,275621.5723
2005-12-31,276155.746
2006-03-31,276613.0575
2006-06-30,277070.369
2006-09-30,277527.6805
2006-12-31,277984.992
2007-03-31,278434.2918
2007-06-30,278883.5915
2007-09-30,279332.8913
2007-12-31,279782.191
2008-03-31,280286.254
2008-06-30,280790.317
2008-09-30,281294.38
2008-12-31,281798.443
2009-03-31,282156.8433
2009-06-30,282515.2435
2009-09-30,282873.6438
2009-12-31,283232.044
2010-03-31,283448.7918
2010-06-30,283665.5395
2010-09-30,283882.2873
2010-12-31,284099.035
2011-03-31,283948.4038
2011-06-30,283797.7725
2011-09-30,283647.1413
2011-12-31,283496.51
2012-03-31,283710.4843
2012-06-30,283924.4585
2012-09-30,284138.4328
2012-12-31,284352.407
2013-03-31,284509.1038
2013-06-30,284665.8005
2013-09-30,284822.4973
2013-12-31,284979.194
2014-03-31,285134.472
2014-06-30,285289.75
2014-09-30,285445.028
2014-12-31,285600.306
2015-03-31,285793.884
2015-06-30,285987.462
2015-09-30,286181.04
2015-12-31,286374.618
2016-03-31,286662.009
2016-06-30,286949.4
2016-09-30,287236.791
2016-12-31,287524.182
2017-03-31,287725.8683
2017-06-30,287927.5545
2017-09-30,288129.2408
2017-12-31,288330.927
2018-03-31,288528.1653
2018-06-30,288725.4035
2018-09-30,288922.6418
2018-12-31,289119.88
2019-03-31,289384.3438
2019-06-30,289648.8075
2019-09-30,289913.2713
2019-12-31,290177.735
2020-03-31,290455.2648
2020-06-30,290732.7945
2020-09-30,291010.3243
2020-12-31,291287.854
2021-03-31,291371.0965
2021-06-30,291454.339
2021-09-30,291537.5815
2021-12-31,291620.824
2022-03-31,291764.1208
2022-06-30,291907.4175
2022-09-30,292050.7143
2022-12-31,292194.011
2023-03-31,292839.2803
2023-06-30,293484.5495
2023-09-30,294129.8188
2023-12-31,294775.088
2024-03-31,295423.9119
2024-06-30,296074.1639
2024-09-30,296725.8471
2024-12-31,297378.9648
2025-03-31,298033.52
2025-06-30,298689.516
2025-09-30,299346.9558
2025-12-31,300005.8427
