horizon,q16,q25,q50,q75,q84
1,-11.583569749132357,-9.01764463200388,-3.911044808553098,0.8316112122742754,3.43455646645025
2,-5.1489891802763506,-4.0508173315803155,-1.6562283533250368,0.5497850296691916,1.6211659082042327
3,-1.8778259402585809,-1.376680357197038,-0.45682822847069365,0.4954629952115067,0.9997888006846987
4,-0.7001014392410001,-0.43574004010652234,0.19136557897144124,0.7808989608113583,1.0161310631469613
5,-0.5416341004080781,-0.19423855794871508,0.47738961490021337,1.2128566065859794,1.4801349119596412
6,-0.5404190714114171,-0.13504650393109963,0.5649144343892543,1.3057384838907546,1.6651931858436757
7,-0.4897384724859761,-0.1334066618179778,0.5527288416950089,1.4374791426116138,1.738525512676756
8,-0.5292686077341063,-0.165679266852294,0.5517519648602189,1.379338930339427,1.7512045065475013
9,-0.6215127681810847,-0.2519660572938518,0.5213011968843857,1.3711002771993395,1.8287457049552316
10,-0.554329109592645,-0.23619995287445428,0.6167125172695184,1.4078603799170188,1.8688668030619697
11,-0.5524710658808157,-0.1730884572242743,0.5562310776086064,1.2391720130607775,1.554352157732524
12,-0.4773266468036125,-0.14595727161407557,0.5278775118511745,1.221927152436651,1.587953733648043
13,-0.4677320842991906,-0.15182204591489304,0.6003038211478926,1.2905436915920707,1.5986405346257933
14,-0.544710322584502,-0.19419901404914555,0.4922209169506197,1.2178267708748258,1.5429729513065575
15,-0.5294607940275109,-0.19565296640901336,0.4748005362403869,1.1935377073688078,1.4813400192579695
16,-0.5770801675030334,-0.21203064399617294,0.4939084816976885,1.068745391465661,1.4036981959199037
17,-0.4846997921600816,-0.17652758796270396,0.3924185046287019,1.1007781501833351,1.4414472158304301
18,-0.4590350659643926,-0.21303035582245566,0.4799802654543804,1.1356656471897801,1.4462698159009404
19,-0.5859942630494892,-0.26860682771277355,0.3241795416156088,1.083621104997023,1.4175062732194725
20,-0.47215943749917183,-0.17015481445847302,0.43231882339528144,1.1061553976140366,1.4122667288969024
21,-0.5250353440986366,-0.26011261078011216,0.387655958097892,0.9842892257156104,1.2829415599196767
22,-0.572959897735778,-0.31136020130159836,0.3103792047858878,0.9272296588209155,1.2616611249171492
23,-0.5177082520619498,-0.2294219323378339,0.36709902540705963,0.949412691863049,1.1925063905931632
