horizon,q16,q25,q50,q75,q84
1,-50.6458888107315,-47.93134644678942,-42.12596845517568,-36.97268844739662,-34.15748656288707
2,-49.72653542666007,-45.687008855721984,-33.926569873024974,-23.182671827023817,-16.613790474708185
3,-51.50733371147909,-43.991291025672616,-26.871706571687277,-9.302752157585184,-0.551470381302099
4,-58.48090652994176,-48.23703192006465,-26.949026714459464,-2.209767657382498,9.747051332027459
5,-74.83884601353593,-64.40345619710759,-35.44642483294949,-5.15925462497626,8.865817212370311
6,-85.56556546773072,-68.60681809454357,-34.98140349262928,-1.379710549770838,14.439982521661884
7,-101.55131927900197,-81.42924322123075,-43.45177904367311,-2.2551710813656562,13.62986399574075
8,-125.34181097630014,-104.60058372121652,-59.7929146762027,-15.061154581765688,3.7310059268644613
9,-142.04713097458782,-123.35764775488025,-72.55578383134626,-23.344286218877485,0.7822720514870662
10,-145.6533411887894,-127.55877950057818,-76.68112777088344,-27.6479109072279,-5.0611413818270465
11,-143.38247797590927,-127.03713677342206,-77.84651994455132,-31.227304604178208,-8.680109393663196
12,-138.15180696236172,-123.13232527058668,-76.49169607563098,-33.29539515491423,-11.824065779155301
13,-131.84826784767924,-117.82622803142712,-74.93406663354375,-34.634269494540234,-15.244677607892132
14,-124.57138903837699,-112.24687845504485,-73.1699076175332,-36.69233486658001,-18.40871168844545
15,-117.71683373903423,-106.55776521788508,-71.12146282584828,-38.04301281671453,-21.404721171421542
16,-111.19767816245846,-100.75934949160893,-69.1998709574936,-39.04814669335832,-24.023678205982346
17,-105.09099925209414,-95.78507112029254,-67.43498243967676,-40.10000491156276,-26.716524300571148
18,-99.29485764847567,-90.6445240289953,-66.29077431324671,-40.67703104990801,-29.01504469152264
19,-93.75276742853781,-85.95792191835079,-64.47445344793368,-41.20190906692087,-30.55578733890285
20,-89.01108110753432,-82.08563167220763,-62.84378871814782,-41.83413443863464,-32.5933359186165
21,-84.97872494578839,-78.34124242635225,-61.24735197465338,-43.127094610384454,-34.495984994821484
22,-80.8147379782387,-75.06755311936436,-59.88503247706983,-43.806117829647214,-36.309329020245514
23,-77.39047379720829,-71.42314278911662,-58.875907093542864,-44.015367630459565,-37.996721536549856
24,-73.9604202231551,-68.5992138936713,-57.47795487511882,-44.63919507841279,-39.26310694043291
25,-71.0582047939572,-66.53253252416664,-56.437998775989826,-44.95256979346231,-40.12011662788243
26,-68.94667528212581,-64.19295636334417,-55.61730658643758,-45.427495736757734,-41.188218238249306
27,-66.47660879619734,-62.24686171189807,-54.11376042662678,-45.49502975563455,-41.814491559899494
28,-64.3268455399677,-60.65444365759096,-53.65354942447723,-45.746463145101906,-42.15554980944649
29,-62.55895963023091,-59.04374165683321,-52.67633457962755,-45.97710069130861,-42.95961394387905
30,-60.75472096142299,-57.81686350128857,-52.08704857217576,-46.102794864917065,-43.57616621166751
31,-59.28642393647699,-56.66493222793238,-51.366314214476304,-46.280583498945084,-43.8161667941538
32,-58.22129677674835,-55.506154076797564,-50.98997248454349,-46.54190356964398,-44.093240184435565
33,-56.995623048909096,-54.81882697340418,-50.67786067312478,-46.4924465954358,-44.51396461757102
34,-55.84543467533451,-54.05639776650025,-50.27715718078913,-46.51158655105665,-44.77027511769013
