horizon,q16,q25,q50,q75,q84
1,-48.64665430601049,-48.20205110887514,-47.26055951714997,-46.39273433321171,-45.94851017559215
2,-50.242960891237104,-49.630905527205925,-48.2682888887535,-47.06684854392187,-46.364957664978355
3,-50.36260740454517,-49.828096440998166,-48.31630904372237,-46.90964857839042,-46.146516242055455
4,-49.899838336749795,-49.29895804538081,-47.81192011543163,-46.43695306207819,-45.66273229178089
5,-49.447602469267615,-48.84636902285872,-47.29617932760887,-45.838175760238485,-45.12636030000445
6,-49.14789017602748,-48.29929071877759,-46.75947206205143,-45.27203809038692,-44.527593834830434
7,-48.800265749332176,-48.02842782132436,-46.32989998488425,-44.862893968237756,-44.17919301479363
8,-48.50337395454958,-47.73059899047748,-46.01449407205414,-44.540743174646096,-43.80022813102881
9,-48.254354989065234,-47.54620814709459,-45.863912201421066,-44.18002215546416,-43.44553002258911
10,-47.9147201338363,-47.293942413363126,-45.65872453062693,-43.99716442686172,-43.10803284978238
11,-47.87229744620304,-47.04973074745369,-45.526990782548125,-43.786945312981274,-42.93020969779263
12,-47.873605136430186,-47.003494670935645,-45.34158836258346,-43.834160963179215,-42.932203924807744
13,-47.76294780410536,-46.91694183871519,-45.34724858616527,-43.75064635821477,-42.80087167653768
14,-48.03493250018253,-47.08565030063221,-45.41337361108028,-43.66310758449727,-42.88381539595767
15,-48.023458987132614,-47.13087475576896,-45.448053801939025,-43.660463243075526,-42.8179816309066
16,-48.08461717151268,-47.253679735924024,-45.499036368522795,-43.72635967146837,-42.918931646278615
17,-48.213929442992644,-47.378794959494805,-45.53088238275878,-43.73371384673822,-42.95825695095367
18,-48.359994287350524,-47.44945840035908,-45.764969557443315,-43.715205604758744,-42.814509102779226
19,-48.444050415551885,-47.6127298145466,-45.7107500233712,-43.817956273475154,-42.743423628212376
20,-48.53555756836359,-47.78799995101309,-45.90017632444709,-43.9005981937269,-42.8898021332684
21,-48.648091687584845,-47.75066686408862,-46.03936832409021,-43.930845528869625,-43.03703419230997
22,-48.9135435266889,-47.850631963474314,-46.19307901540884,-44.1768708266673,-43.15367298849009
23,-49.08921776922242,-48.11682406769186,-46.19484173590086,-44.38590964880909,-43.5156239803527
24,-49.25865569290838,-48.34665267265798,-46.27934852923091,-44.24979872383743,-43.3333205545357
25,-49.43250125591102,-48.35863834534929,-46.457465080506985,-44.40895060166881,-43.3812166839824
26,-49.269132764556346,-48.49607619014381,-46.45113712654209,-44.44112959084305,-43.41799617741144
27,-49.38143036655625,-48.5152241589463,-46.51926068347993,-44.48187903662836,-43.48121746079692
28,-49.48041091498207,-48.62681605262387,-46.45032615179362,-44.49977091218898,-43.57520617592346
29,-49.62091390724174,-48.6808185821033,-46.45300089233564,-44.572286381870754,-43.659702784136016
30,-49.63756109674722,-48.63791125849635,-46.40488249362183,-44.50089585274705,-43.63729742786039
31,-49.50207697076612,-48.61158165887503,-46.48153501868354,-44.59045966203205,-43.781670214528866
32,-49.64032921831846,-48.58710977850179,-46.5380642111712,-44.51402957269508,-43.685907553044956
33,-49.5989190961899,-48.70823369413542,-46.59562634437751,-44.6499842242991,-43.66764149253264
34,-49.70697715385718,-48.58095760740207,-46.60347125912905,-44.63843425273047,-43.74491654570939
35,-49.6340582017785,-48.59576834455426,-46.62875673844536,-44.577145713434,-43.72675755229702
36,-49.83071820394798,-48.686986235600415,-46.61889029975261,-44.65100287176725,-43.702030324743816
37,-49.77397016070455,-48.7790367300424,-46.68041363544691,-44.59534643327538,-43.63654914502204
38,-49.60247998973971,-48.76124181265845,-46.666309499365646,-44.55920781137844,-43.65951232528045
39,-49.67745816902624,-48.71570826457035,-46.733807324953645,-44.66042692934481,-43.72226142685226
40,-49.71950968962166,-48.76318070035802,-46.83388641761135,-44.760052038951635,-43.66607005435566
41,-49.64253685176259,-48.69295986763528,-46.8282403996053,-44.71190640961528,-43.81836515278063
42,-49.85429627235183,-48.929785126307785,-46.78783877622389,-44.860679175540476,-43.73590530102582
43,-49.87651909369577,-48.995240068159674,-46.91058872822629,-44.88807782120544,-43.77537931834614
44,-49.859381532859814,-49.00983556165078,-46.869341762613416,-44.90458638334641,-43.83986592542792
45,-49.838927561154634,-48.85126330950217,-46.87753740996657,-44.79971458531209,-43.776464190333925
46,-49.85866080999835,-48.944612078817485,-46.87327354356326,-44.77900060089488,-43.620624781229075
47,-49.784519900093244,-48.76382357034454,-46.80790134779858,-44.795174015155055,-43.70439241977244
48,-49.77252114919597,-48.790027044206596,-46.781062229363705,-44.80533904471338,-43.82617853454443
49,-49.77613940723252,-48.773673978617566,-46.6186360330503,-44.86252338066066,-43.8873632071181
50,-49.92049260911507,-48.80376238716903,-46.55943298286631,-44.79805995853506,-43.88559656875757
51,-49.96398280712965,-48.7301598150715,-46.62838010139507,-44.642649677321415,-43.6214559666576
52,-49.97493528124919,-48.79815086930335,-46.77759797364176,-44.62956848705146,-43.60562928798811
53,-50.01160964899269,-48.82564586377928,-46.75153327593547,-44.61436319297286,-43.61867269851312
54,-50.05214344221325,-48.82662702689068,-46.60476940357449,-44.73188661226696,-43.63701508568567
55,-50.049204452901904,-48.854711755273534,-46.586491115374955,-44.712666032366194,-43.703860628460085
56,-49.95237508767928,-48.987215844969214,-46.71281058552198,-44.6108545056192,-43.60001019498433
57,-49.9513293766344,-49.070052493707045,-46.7106401426372,-44.60364707865722,-43.57879990914155
58,-49.975707792664394,-48.915983956743695,-46.69367926492464,-44.604436428288224,-43.70609777604912
59,-49.729238258259855,-48.839560225046824,-46.614581109473605,-44.65263154043419,-43.77217617228934
60,-49.88828992364205,-48.810588245930596,-46.75695782819422,-44.78044899211942,-43.78237871632224
