horizon,q16,q25,q50,q75,q84
1,-0.7682160770694482,-0.588997728705616,-0.18056241266994238,0.24978395071901452,0.43257385194076164
2,-0.756057317282922,-0.587284338133649,-0.14726153058701846,0.23035779217652133,0.43635404364027336
3,-0.7738125266823488,-0.6033732019489844,-0.19552342592562122,0.1962600610826572,0.41218345846230264
4,-0.7605568941395825,-0.5771837299339039,-0.18697373315802035,0.22770593841809111,0.3961601805857114
5,-0.755482416687602,-0.5678547435649296,-0.16637863845834103,0.25291811621669597,0.4209271390639388
6,-0.7509717528574763,-0.5394932338977829,-0.15131583896219145,0.278597330738526,0.4505032294079214
7,-0.7370169159533323,-0.5456114170696735,-0.1627351345574418,0.23267272965475796,0.41357273920092785
8,-0.8185541893992428,-0.5857627626806692,-0.1748070477643457,0.23975396266914933,0.43204030811456756
9,-0.8312774448398591,-0.6411348499571461,-0.22496476803843146,0.2231779084195072,0.4790243111868737
10,-0.7446038374291901,-0.5219875092994607,-0.14848062431679332,0.2430059002750325,0.4427280603207025
11,-0.8387321980399051,-0.6550577446240576,-0.23464175317384672,0.22029544187118935,0.3948807580954896
12,-0.7867202093508571,-0.5438723369672854,-0.13824729521522808,0.23775289221575047,0.4299899971834715
13,-0.6970456793361028,-0.5541768293771865,-0.16830887805299746,0.27867508370968397,0.5096168140929646
14,-0.7866934072065707,-0.5812513080384178,-0.19621867082258332,0.2107145134147995,0.43259243624759375
15,-0.7292522653596009,-0.5622955568920485,-0.14976558824875855,0.2873152438944696,0.4776886041779221
16,-0.775967539660492,-0.5912418599119187,-0.16228333794459865,0.2634247544530505,0.4945003747429119
17,-0.7901122873822319,-0.5865609865605353,-0.1561112152632444,0.2141581713035867,0.38653895680372263
18,-0.7925108910634656,-0.5946716231833089,-0.15733544345607492,0.21481068529260888,0.48361122676944235
19,-0.787107747472921,-0.6060248489230083,-0.21170585841874454,0.25483707109889975,0.43147691097855523
20,-0.7318908660099666,-0.5261571630748729,-0.15473072757518108,0.2866645670950135,0.5029384673070684
21,-0.7929303924508081,-0.568269991635809,-0.15704337637959245,0.2928561394464604,0.4804844197883507
22,-0.7690033364399073,-0.5737113028427273,-0.1482998689715061,0.26186730531840186,0.41461113892238927
23,-0.7434560062454909,-0.5604845673584883,-0.13488099068455917,0.31069578997734637,0.48227122363765174
24,-0.7475633605547968,-0.5682829699235198,-0.18316216971120627,0.25053940917770484,0.40007025771011867
25,-0.7299978960150686,-0.526065258748892,-0.13649211930779442,0.3088506626057431,0.49125950143878366
26,-0.799339403616927,-0.5773137624010504,-0.18563651824056535,0.2733101242150383,0.49743678529606716
27,-0.7627960483354503,-0.5537139207638425,-0.14002425296644583,0.3168393123106126,0.5175456216622841
28,-0.7961254640109723,-0.5469052481582284,-0.1332598789590682,0.2667500110703718,0.4148453777427878
29,-0.7497616195109265,-0.5793630770259435,-0.14902913098112658,0.2847520245694934,0.4808819487059673
30,-0.7373713869015227,-0.5763913076421561,-0.11086548760099127,0.28668918938106397,0.4948102066228811
31,-0.6898638680212072,-0.531470650727274,-0.10761267348506195,0.2716539583612533,0.4426061890878638
32,-0.7754798047015333,-0.5594581087421261,-0.12543008169701125,0.2828371808047248,0.47211315753488237
33,-0.7674340367859335,-0.537799263112849,-0.11685845863817293,0.3081408868725646,0.5180635129126593
34,-0.8166425156885191,-0.5870103199763277,-0.1470186686784839,0.2720123193342635,0.4544470262256715
35,-0.8163606497449654,-0.5770218237178929,-0.14081802433243779,0.2995497987935389,0.46106562631207704
36,-0.7483868520911179,-0.5390827563220659,-0.12480770813509123,0.33310775155213207,0.5242784793765015
37,-0.7702618773985788,-0.5274151553937907,-0.09914720273016912,0.28876344296986395,0.5042297156228627
38,-0.7146463301982393,-0.5341310099843349,-0.08216032791443945,0.3767348939429743,0.6155728450364905
39,-0.6933334347452147,-0.5103013988253857,-0.10143048925322365,0.29377720421566283,0.48755416493506015
40,-0.6695253504798805,-0.4867601770127242,-0.07377007584486636,0.3287718045066353,0.5750500317702082
41,-0.7102501337053816,-0.4650404481393444,-0.0859926046418685,0.33912580408719506,0.5441197431164148
42,-0.7974136093350667,-0.5577396553156713,-0.16531723570139586,0.28232963389614113,0.48331338053156275
43,-0.7390869722989942,-0.5155407654035671,-0.11838839156380696,0.3309145977499379,0.5412337475359779
44,-0.7513485101510244,-0.5243434667584963,-0.060288492879777625,0.31109470269818695,0.5412665789863028
45,-0.7155635420400558,-0.5424271127908672,-0.11257122362878541,0.3047778141790964,0.5144032677029042
46,-0.762905645421794,-0.5498809886094653,-0.14804071144903536,0.30223605325970293,0.5025600880776051
47,-0.7595011713396899,-0.5279629306284055,-0.09952614990334543,0.33164035351094845,0.49491931483377416
48,-0.7092749983577125,-0.505586084531031,-0.10114312066574449,0.2846866536891504,0.473641198684924
49,-0.6720441118706254,-0.47121784764048036,-0.06148691991665713,0.3368940967310954,0.5584800717107086
50,-0.7074387403943498,-0.5108920949294307,-0.10254604044499528,0.326219908969287,0.5287012105147425
51,-0.7711532894179204,-0.5225416999164684,-0.1205761763352079,0.29175799628235377,0.5097997677704209
52,-0.7840676706261133,-0.5321746241892615,-0.1379855414179405,0.3211892663947038,0.5664765481583902
53,-0.7547318439272962,-0.5445722635547445,-0.1135306951380406,0.39011304446305967,0.6114712259875198
54,-0.7243884099697482,-0.5353961485732426,-0.050333573624539295,0.38669397706168107,0.6024039102693713
55,-0.7081366037241563,-0.5318069419843571,-0.07868449806861161,0.3541069149999685,0.5882415749036757
56,-0.722218115379326,-0.5098064668446242,-0.0774115287022196,0.30143123947124706,0.5268838144786017
57,-0.684766589814457,-0.5045751116484536,-0.10053673910813671,0.3164320408176098,0.5347894180661531
58,-0.7742273583746707,-0.5713537950447967,-0.13580812340760495,0.2841501754781735,0.4780296113341749
59,-0.6938213777696782,-0.49796641223731636,-0.08332061238084024,0.311424980513991,0.48539999718917987
60,-0.752779547950513,-0.5279507118910879,-0.03395900831738589,0.3708968592969759,0.5855306516262284
