horizon,q16,q25,q50,q75,q84
1,-0.3795224548015156,-0.1468053806714231,0.3497437684192029,0.8356916529144846,1.082189104767668
2,-0.4136138587377881,-0.19857324067925516,0.2760080648473555,0.8023414534331561,1.0418295436690155
3,-0.3980019861121435,-0.166020221926017,0.2921899842927199,0.7774507372040196,1.0184449526090327
4,-0.40682822056608076,-0.14573405993962574,0.37178036761474637,0.8630310395512394,1.0956477527528357
5,-0.4405152634667397,-0.14046731411080246,0.29602720297659696,0.7799295110487091,1.058342550328849
6,-0.37178375337504493,-0.1782620695148704,0.2949557307144687,0.7812391252382729,1.0099503200048565
7,-0.43038380171444834,-0.2603906102768861,0.2803242427146786,0.7878246046662449,1.039140185344574
8,-0.3791578456869024,-0.15013304371902783,0.36442009070552206,0.8289082412102107,1.0911903453276206
9,-0.4127101145480545,-0.18386729496227866,0.3660499909135133,0.8477195975849315,1.0824241816389644
10,-0.3338091740248025,-0.1412904411312229,0.3767828439403168,0.8769192617215171,1.1006178628195151
11,-0.40639498074089725,-0.15657486360020195,0.3344612859113514,0.8254520607243456,1.0579864081776955
12,-0.4468363853712414,-0.19402048756045578,0.3412586891571803,0.7708431545479275,1.0379231152024997
13,-0.3416892722994998,-0.1169132506529457,0.39416387078558823,0.8569031871884774,1.1008085943222032
14,-0.41806786256790524,-0.15927873143536025,0.34717613846062145,0.8292755964347046,1.1074010860968801
15,-0.38883915846745637,-0.1623133331664779,0.3187470499573277,0.8688971461599563,1.1368582364236712
16,-0.41242142361682177,-0.1450597392537227,0.3356728577203082,0.8527281061776126,1.0661993152646259
17,-0.420722833597485,-0.1623634018288542,0.3394356096014599,0.8382507199377001,1.0634323705830517
18,-0.45918438609194384,-0.22101166080933507,0.3284437475331725,0.7996914150406405,1.0387954522456
19,-0.35040818164259885,-0.11888181634476297,0.35870660401404153,0.9145518104938006,1.179351956210408
20,-0.34362166319134285,-0.13408321399086562,0.4002376663737483,0.9199211186720753,1.1561746483264956
21,-0.3308194648887542,-0.12595459027300318,0.3668567146474877,0.8333428721485753,1.058599273879963
22,-0.4256376494489641,-0.13734908539919832,0.3459686281024833,0.8437734534946698,1.1090491312367508
23,-0.4260583416450042,-0.1761249868413954,0.33310158210471885,0.8509604898898797,1.0698133463344959
24,-0.48998070007724426,-0.18556651303555233,0.40435879356839677,0.8510965465046841,1.0886074642979184
25,-0.3603627508688138,-0.15291127665851523,0.35804053710093164,0.8626516913967536,1.1357389812163527
26,-0.38475570355906236,-0.12671439931153092,0.37640457403973104,0.8721438730568498,1.1237372249095257
27,-0.41968641501442483,-0.14871757422210716,0.37158058876834243,0.8945414597174484,1.1132150201958428
28,-0.405602598439721,-0.15785971706061386,0.3161570710590944,0.8324154374410822,1.0555725251773762
29,-0.3945054317644,-0.14200805667568814,0.36463395303113766,0.8780740206860951,1.1017439240245475
30,-0.3855237320754064,-0.19450157495271833,0.3688894903665415,0.8378934875045408,1.0666770868839186
31,-0.4035189033919576,-0.1308724889326444,0.3908645998718384,0.953292234308436,1.1816064414909129
32,-0.453392571563499,-0.20578029577772244,0.33638240980185363,0.8866691122286607,1.1364594291712744
33,-0.32968627241482046,-0.12200296277222786,0.3934721189923812,0.9075069845417492,1.1228970262883964
34,-0.5043362420836816,-0.25625791792026903,0.2809002818803424,0.8223903834726816,1.0407465819362691
35,-0.4985587765729545,-0.21265603009509093,0.29698277668683304,0.7952200667864556,1.0725338886726845
36,-0.39669273849806247,-0.1271531608674353,0.35982952291450465,0.8423326237580446,1.0671705352355614
37,-0.44220207830284813,-0.1926062990418133,0.38027933723835483,0.8196346083844822,1.0599632906791243
38,-0.41249001325966467,-0.15857146239238404,0.3357031336784056,0.8578172160983717,1.0830952771234283
39,-0.45980880225602844,-0.22385718872279492,0.30438784248513934,0.8413869218247343,1.1207864114654305
40,-0.49543172736799057,-0.20034342160697416,0.429649771677139,0.9286785939415126,1.1244618956778345
41,-0.3986770796807031,-0.14479516896534217,0.38896442080294436,0.8844231508926482,1.1594870403714856
42,-0.37055161591860647,-0.14702631103064615,0.35599768584916475,0.8705034099496181,1.1411772762176637
43,-0.43077260425986025,-0.1866290632525831,0.35510351542548435,0.9083283289967788,1.1523106827584468
44,-0.32470705891178775,-0.09066395688631856,0.38775792451100216,0.931274691869843,1.176380241729526
45,-0.38157175340782845,-0.17816324000017292,0.3847229801962686,0.8885188450589784,1.1370512048159334
46,-0.47798501533396365,-0.20298696885986683,0.35712273063606315,0.9347303262711708,1.212190213586721
47,-0.4147459190366756,-0.1443723692273832,0.4129009624030775,0.9250063121989728,1.1740201076729904
48,-0.39212771761318826,-0.17946168723138495,0.30575784958871327,0.8547015073840366,1.0891035687958361
49,-0.4213039306322849,-0.15345521913888738,0.41131519163010344,0.9462345128540259,1.1404314974952534
50,-0.4612365971098776,-0.17068326543142093,0.3818202895380446,0.8451847296347123,1.0391779152608258
51,-0.33485259899776043,-0.11354357593243078,0.41299499509173865,0.9404847685888212,1.130234383029054
52,-0.4389577342372713,-0.16651441012251916,0.3255941604253815,0.9229826443825726,1.1213070325906196
53,-0.44736721108697125,-0.1997802140677168,0.34245144285804435,0.9941100524904256,1.1881288907852332
54,-0.4019033546246727,-0.18970146828922368,0.3783224796003436,0.8651436703796385,1.1014346485296793
55,-0.3743409913442138,-0.1289379288491795,0.3334430465709789,0.8637397798278983,1.0521667265493269
56,-0.4241227889306638,-0.18511364466826707,0.36983770081673045,0.9110941911800603,1.1923943247820936
57,-0.5073196025426483,-0.20593589459248923,0.37751977721012525,0.9264906744107094,1.175926708825196
58,-0.4691585927152255,-0.2196474757524412,0.27433349838770393,0.7942345712313787,1.0796340693965576
59,-0.4554605281242591,-0.18179572203442382,0.34589322734779304,0.8805722351303977,1.136631660476272
60,-0.5324985438029257,-0.2506869002625196,0.25679525176283513,0.8545319294616281,1.1022236230055626
