date,50.0% LB,60.0% LB,70.0% LB,80.0% LB,90.0% LB,90.0% UB,80.0% UB,70.0% UB,60.0% UB,50.0% UB,mean
2022-12-31,-0.6830478231863224,-0.6830478231865,-0.6830478231866777,-0.6830478231869885,-0.6830478231873882,-0.683047823184002,-0.6830478231844461,-0.6830478231847126,-0.6830478231849235,-0.6830478231851012,-0.6830478231857121
2023-03-31,-2.396613599018871,-3.1443372715427187,-4.1813238519115,-5.142268289876206,-6.726986352686359,10.155069348573974,7.884920896617076,6.361510074096199,5.398546258760084,4.542139760617792,1.2080444293962873
2023-06-30,-3.359603121252186,-3.949149459760193,-4.8728084723164695,-6.102163638654556,-8.257701210195002,9.372080428129959,7.760029711487659,6.153428390848936,5.061484368094438,4.13247213425989,0.6016260595385666
2023-09-30,-1.1794033287158445,-2.165677937327437,-3.0508897234223897,-4.309923570797903,-6.518585393801802,12.685302559878231,10.157798771914383,8.457700575631222,7.326935927657963,6.389770832812136,2.585585715829883
2023-12-31,-2.4453328934879615,-3.252369489766427,-4.1591637180952485,-5.426070645560365,-7.131604751973719,12.19026480865204,9.718710546655561,8.238742424146285,7.060512449216172,5.913822560270687,1.9840519724971803
2024-03-31,-3.395627722600436,-4.3625104151209015,-5.620663613645038,-7.062560570358989,-9.289855689526739,10.539665881569938,8.255169461691692,6.556868747668587,5.343634396423269,4.631331667995564,0.5248651179704028
2024-06-30,-3.6078088133706165,-4.640792385284853,-6.0048342485527595,-7.04862545934094,-8.70527829300668,9.576945883605381,7.404998369502591,6.28784510390108,5.0878888994894345,3.9101167811242066,0.03420360268236894
2024-09-30,-4.551874622760776,-5.522847318412016,-6.733807947195391,-8.636336082621954,-10.414846020343461,9.180974931145581,6.936311494979264,5.721662295092544,4.385257975199708,3.3334569441911155,-0.5837206934265642
2024-12-31,-4.241831231729498,-4.980323469668413,-6.281852868511539,-7.5123951794204835,-8.90409916476691,9.777595572315455,7.72041927275211,6.1058715939319,4.7594598338667415,3.774430995010114,-0.10725387315309953
2025-03-31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-06-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-09-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2025-12-31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-03-31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-06-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-09-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2026-12-31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2027-03-31,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2027-06-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2027-09-30,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
