date,50.0% LB,60.0% LB,70.0% LB,80.0% LB,90.0% LB,90.0% UB,80.0% UB,70.0% UB,60.0% UB,50.0% UB,mean
2003-06-30,-0.8039085626994931,-1.2440450618228223,-1.6278424138965226,-2.2077187274581505,-3.317132811958189,4.724858036121924,3.8775124496585143,3.3134288007871557,2.9610737501492257,2.463606778145974,0.80246050393186
2003-09-30,-1.7088730446356624,-2.0837525369308367,-2.590805767771926,-3.179655952626392,-4.218573422828855,4.290467570145939,3.265918629346336,2.605220351983585,2.134365042916853,1.7183938980243227,-0.03098282895406704
2003-12-31,-1.9447073395570023,-2.399513196312263,-2.822335880145103,-3.588992355252161,-4.771366618955618,4.012871716634222,2.808107540723252,2.23732392276608,1.8535222527182718,1.3463853457284127,-0.3455716491784115
2004-03-31,-2.0029881788907726,-2.382628872198103,-3.0752257194817125,-3.6179503064603082,-4.590103361972162,3.8583282424532026,2.9504371114651087,2.35988313972356,1.8477243362505191,1.4099309183862958,-0.3140661280510128
2004-06-30,-2.0405367963097043,-2.507134444541061,-2.8581970931792364,-3.4481077906446598,-4.198229700343734,3.74720214166704,2.852481213558721,2.198034336657272,1.6576557469908402,1.2779259308341868,-0.36119868267862054
2004-09-30,-1.9313799138515284,-2.3648663025168224,-2.9050023829436586,-3.5121797144226377,-4.279661476765828,3.9017582841976246,2.877944449663375,2.2965014645818367,1.8540533296620452,1.4130852684372672,-0.24979865691253678
2004-12-31,-1.9981508984364518,-2.4608013434108758,-2.9921389681526662,-3.494733685737465,-4.370786406840693,3.892843438246206,2.948932788248048,2.354444156718019,1.770284782017334,1.356606479065727,-0.308818766510933
2005-03-31,-1.7899504826106671,-2.148012535459067,-2.7076841777249276,-3.4987541538655598,-4.419287179919076,3.6314621749923583,2.915703917272756,2.397130809642718,1.8630440486405737,1.464675312587471,-0.24455733959939305
2005-06-30,-1.8285751713083498,-2.1787066333374314,-2.8663828713062216,-3.475510940487522,-4.294201625135875,4.069764208555059,3.250323984588063,2.6321352555690427,2.0135450894422218,1.581586694169788,-0.11821854526961344
2005-09-30,-1.761411422939444,-2.171364445701207,-2.5693472796404815,-3.1305339261263234,-4.002459934541403,4.148255864920216,3.1347091536787035,2.671154812038096,2.1473513276484715,1.7363223059999542,-0.05522679237035952
2005-12-31,-1.912007900143334,-2.346955205175887,-2.7667893975173143,-3.305328924352635,-4.123766164994495,4.247028832446537,3.2085270908301267,2.5184465853219278,1.9913530316575923,1.5222272394007135,-0.13383010029183767
