date,mean
2007-03-31,-5.88370257572293e-18
2007-06-30,-5.85651181511883e-18
2007-09-30,-5.8290814356004924e-18
2007-12-31,-5.801422281635277e-18
2008-03-31,-5.77354498084586e-18
2008-06-30,-5.7454599448431115e-18
2008-09-30,-5.717177370289211e-18
2008-12-31,-5.688707240173393e-18
2009-03-31,-5.6600593252796695e-18
2009-06-30,-5.6312431858313775e-18
2009-09-30,-5.602268173295217e-18
2009-12-31,-5.5731434323291785e-18
2010-03-31,-5.5438779028630864e-18
2010-06-30,-5.514480322295195e-18
2010-09-30,-5.484959227794782e-18
2010-12-31,-5.455322958699324e-18
2011-03-31,-5.425579658994901e-18
2011-06-30,-5.3957372798699975e-18
2011-09-30,-5.365803582334597e-18
2011-12-31,-5.335786139894277e-18
2012-03-31,-5.30569234127335e-18
2012-06-30,-5.275529393177199e-18
2012-09-30,-5.2453043230900444e-18
2012-12-31,-5.215023982098838e-18
2013-03-31,-5.18469504773926e-18
2013-06-30,-5.154324026857344e-18
2013-09-30,-5.123917258482696e-18
2013-12-31,-5.093480916707184e-18
2014-03-31,-5.063021013565984e-18
2014-06-30,-5.0325434019169666e-18
2014-09-30,-5.0020537783138915e-18
2014-12-31,-4.971557685870251e-18
2015-03-31,-4.9410605171123974e-18
2015-06-30,-4.910567516815656e-18
2015-09-30,-4.880083784824552e-18
2015-12-31,-4.849614278851973e-18
2016-03-31,-4.8191638172567155e-18
2016-06-30,-4.7887370817969066e-18
2016-09-30,-4.758338620357494e-18
2016-12-31,-4.727972849650078e-18
2017-03-31,-4.69764405788407e-18
2017-06-30,-4.667356407407592e-18
2017-09-30,-4.637113937317209e-18
2017-12-31,-4.606920566034495e-18
2018-03-31,-4.576780093850494e-18
2018-06-30,-4.546696205435115e-18
2018-09-30,-4.516672472312274e-18
2018-12-31,-4.486712355299816e-18
2019-03-31,-4.456819206913109e-18
2019-06-30,-4.426996273733272e-18
2019-09-30,-4.397246698737752e-18
2019-12-31,-4.367573523595212e-18
2020-03-31,-4.337979690922616e-18
2020-06-30,-4.308468046505942e-18
2020-09-30,-4.279041341483294e-18
2020-12-31,-4.249702234490875e-18
2021-03-31,-4.2204532937720775e-18
2021-06-30,-4.191296999249414e-18
2021-09-30,-4.162235744559674e-18
2021-12-31,-4.133271839052256e-18
2022-03-31,-4.1044075097509514e-18
2022-06-30,-4.075644903279671e-18
2022-09-30,-4.0469860877520305e-18
2022-12-31,-4.018433054625125e-18
2023-03-31,-3.989987720518108e-18
2023-06-30,-3.96165192899553e-18
2023-09-30,-3.933427452316328e-18
2023-12-31,-3.905315993147728e-18
2024-03-31,-3.8773191862463906e-18
2024-06-30,-3.849438600104975e-18
2024-09-30,-3.8216757385659744e-18
2024-12-31,-3.794032042403331e-18
2025-03-31,-3.7665088908709955e-18
2025-06-30,-3.739107603220287e-18
2025-09-30,-3.711829440186056e-18
2025-12-31,-3.6846756054412815e-18
2026-03-31,-3.6576472470220764e-18
2026-06-30,-3.6307454587221455e-18
2026-09-30,-3.603971281458276e-18
2026-12-31,-3.5773257046066936e-18
2027-03-31,-3.550809667310304e-18
2027-06-30,-3.524424059759456e-18
2027-09-30,-3.49816972444328e-18
2027-12-31,-3.472047457375206e-18
2028-03-31,-3.4460580092917767e-18
2028-06-30,-3.4202020868246223e-18
2028-09-30,-3.3944803536477644e-18
2028-12-31,-3.3688934315987764e-18
2029-03-31,-3.343441901776071e-18
2029-06-30,-3.318126305611421e-18
2029-09-30,-3.2929471459186552e-18
2029-12-31,-3.267904887919415e-18
2030-03-31,-3.2429999602454668e-18
2030-06-30,-3.218232755919085e-18
2030-09-30,-3.1936036333109902e-18
2030-12-31,-3.169112917076989e-18
2031-03-31,-3.1447608990733413e-18
2031-06-30,-3.1205478392511803e-18
2031-09-30,-3.0964739665311706e-18
2031-12-31,-3.0725394796576173e-18
2032-03-31,-3.0487445480334756e-18
2032-06-30,-3.025089312536146e-18
2032-09-30,-3.0015738863144638e-18
2032-12-31,-2.9781983555676252e-18
2033-03-31,-2.9549627803057662e-18
2033-06-30,-2.9318671950933123e-18
2033-09-30,-2.9089116097750387e-18
2033-12-31,-2.886096010185221e-18
2034-03-31,-2.8634203588402595e-18
2034-06-30,-2.8408845956153978e-18
2034-09-30,-2.8184886384054543e-18
2034-12-31,-2.7962323837701792e-18
2035-03-31,-2.7741157075643567e-18
2035-06-30,-2.752138465553425e-18
2035-09-30,-2.7303004940142592e-18
2035-12-31,-2.708601610322079e-18
2036-03-31,-2.687041613523317e-18
2036-06-30,-2.6656202848951127e-18
2036-09-30,-2.6443373884912694e-18
2036-12-31,-2.623192671675673e-18
2037-03-31,-2.6021858656426726e-18
2037-06-30,-2.5813166859250948e-18
2037-09-30,-2.5605848328904392e-18
2037-12-31,-2.53998999222487e-18
2038-03-31,-2.5195318354057754e-18
2038-06-30,-2.4992100201629018e-18
2038-09-30,-2.4790241909286796e-18
2038-12-31,-2.4589739792771996e-18
2039-03-31,-2.439059004353171e-18
2039-06-30,-2.4192788732901005e-18
2039-09-30,-2.399633181618557e-18
2039-12-31,-2.3801215136644588e-18
2040-03-31,-2.360743442937713e-18
2040-06-30,-2.3414985325113717e-18
