date,50.0% LB,50.0% UB,mean
1960-03-31,NaN,NaN,NaN
1960-06-30,NaN,NaN,NaN
1960-09-30,NaN,NaN,NaN
1960-12-31,NaN,NaN,NaN
1961-03-31,NaN,NaN,NaN
1961-06-30,NaN,NaN,NaN
1961-09-30,NaN,NaN,NaN
1961-12-31,NaN,NaN,NaN
1962-03-31,NaN,NaN,NaN
1962-06-30,NaN,NaN,NaN
1962-09-30,NaN,NaN,NaN
1962-12-31,NaN,NaN,NaN
1963-03-31,NaN,NaN,NaN
1963-06-30,NaN,NaN,NaN
1963-09-30,NaN,NaN,NaN
1963-12-31,NaN,NaN,NaN
1964-03-31,NaN,NaN,NaN
1964-06-30,NaN,NaN,NaN
1964-09-30,NaN,NaN,NaN
1964-12-31,NaN,NaN,NaN
1965-03-31,NaN,NaN,NaN
1965-06-30,NaN,NaN,NaN
1965-09-30,NaN,NaN,NaN
1965-12-31,NaN,NaN,NaN
1966-03-31,NaN,NaN,NaN
1966-06-30,NaN,NaN,NaN
1966-09-30,NaN,NaN,NaN
1966-12-31,NaN,NaN,NaN
1967-03-31,NaN,NaN,NaN
1967-06-30,NaN,NaN,NaN
1967-09-30,NaN,NaN,NaN
1967-12-31,NaN,NaN,NaN
1968-03-31,NaN,NaN,NaN
1968-06-30,NaN,NaN,NaN
1968-09-30,NaN,NaN,NaN
1968-12-31,NaN,NaN,NaN
1969-03-31,NaN,NaN,NaN
1969-06-30,NaN,NaN,NaN
1969-09-30,NaN,NaN,NaN
1969-12-31,NaN,NaN,NaN
1970-03-31,NaN,NaN,NaN
1970-06-30,NaN,NaN,NaN
1970-09-30,NaN,NaN,NaN
1970-12-31,NaN,NaN,NaN
1971-03-31,NaN,NaN,NaN
1971-06-30,NaN,NaN,NaN
1971-09-30,6.1028,6.1028,6.1028
1971-12-31,5.9677,5.9677,5.9677
1972-03-31,6.1792,6.1792,6.1792
1972-06-30,6.1242,6.1242,6.1242
1972-09-30,6.3412,6.3412,6.3412
1972-12-31,6.276,6.276,6.276
1973-03-31,6.5815,6.5815,6.5815
1973-06-30,6.669,6.669,6.669
1973-09-30,6.7629,6.7629,6.7629
1973-12-31,6.7377,6.7377,6.7377
1974-03-31,7.3419,7.3419,7.3419
1974-06-30,7.7173,7.7173,7.7173
1974-09-30,7.816,7.816,7.816
1974-12-31,7.1617,7.1617,7.1617
1975-03-31,7.444,7.444,7.444
1975-06-30,7.6212,7.6212,7.6212
1975-09-30,8.1502,8.1502,8.1502
1975-12-31,7.6472,7.6472,7.6472
1976-03-31,7.5139,7.5139,7.5139
1976-06-30,7.6571,7.6571,7.6571
1976-09-30,7.464,7.464,7.464
1976-12-31,6.7344,6.7344,6.7344
1977-03-31,7.3364,7.3364,7.3364
1977-06-30,7.1804,7.1804,7.1804
1977-09-30,7.2685,7.2685,7.2685
1977-12-31,7.6847,7.6847,7.6847
1978-03-31,7.9515,7.9515,7.9515
1978-06-30,8.3816,8.3816,8.3816
1978-09-30,8.2502,8.2502,8.2502
1978-12-31,8.7944,8.7944,8.7944
1979-03-31,8.786,8.786,8.786
