date,50.0% LB,50.0% UB,mean
1960-03-31,3.93,3.93,3.93
1960-06-30,3.7,3.7,3.7
1960-09-30,2.94,2.94,2.94
1960-12-31,2.3,2.3,2.3
1961-03-31,1.99,1.99,1.99
1961-06-30,1.73,1.73,1.73
1961-09-30,1.68,1.68,1.68
1961-12-31,2.4,2.4,2.4
1962-03-31,2.46,2.46,2.46
1962-06-30,2.61,2.61,2.61
1962-09-30,2.85,2.85,2.85
1962-12-31,2.92,2.92,2.92
1963-03-31,2.97,2.97,2.97
1963-06-30,2.96,2.96,2.96
1963-09-30,3.33,3.33,3.33
1963-12-31,3.45,3.45,3.45
1964-03-31,3.46,3.46,3.46
1964-06-30,3.49,3.49,3.49
1964-09-30,3.46,3.46,3.46
1964-12-31,3.58,3.58,3.58
1965-03-31,3.98,3.98,3.98
1965-06-30,4.08,4.08,4.08
1965-09-30,4.08,4.08,4.08
1965-12-31,4.17,4.17,4.17
1966-03-31,4.56,4.56,4.56
1966-06-30,4.91,4.91,4.91
1966-09-30,5.41,5.41,5.41
1966-12-31,5.56,5.56,5.56
1967-03-31,4.82,4.82,4.82
1967-06-30,3.99,3.99,3.99
1967-09-30,3.89,3.89,3.89
1967-12-31,4.17,4.17,4.17
1968-03-31,4.79,4.79,4.79
1968-06-30,5.98,5.98,5.98
1968-09-30,5.95,5.95,5.95
1968-12-31,5.92,5.92,5.92
1969-03-31,6.57,6.57,6.57
1969-06-30,8.33,8.33,8.33
1969-09-30,8.98,8.98,8.98
1969-12-31,8.94,8.94,8.94
1970-03-31,8.56,8.56,8.56
1970-06-30,7.88,7.88,7.88
1970-09-30,6.71,6.71,6.71
1970-12-31,5.57,5.57,5.57
1971-03-31,3.86,3.86,3.86
1971-06-30,4.57,4.57,4.57
1971-09-30,5.48,5.48,5.48
1971-12-31,4.75,4.75,4.75
1972-03-31,3.55,3.55,3.55
1972-06-30,4.3,4.3,4.3
1972-09-30,4.74,4.74,4.74
1972-12-31,5.15,5.15,5.15
1973-03-31,6.54,6.54,6.54
1973-06-30,7.82,7.82,7.82
1973-09-30,10.56,10.56,10.56
1973-12-31,10.0,10.0,10.0
1974-03-31,9.33,9.33,9.33
1974-06-30,11.25,11.25,11.25
1974-09-30,12.1,12.1,12.1
1974-12-31,9.34,9.34,9.34
1975-03-31,6.31,6.31,6.31
1975-06-30,5.42,5.42,5.42
1975-09-30,6.16,6.16,6.16
1975-12-31,5.41,5.41,5.41
1976-03-31,4.83,4.83,4.83
1976-06-30,5.2,5.2,5.2
1976-09-30,5.28,5.28,5.28
1976-12-31,4.87,4.87,4.87
1977-03-31,4.66,4.66,4.66
