date,50.0% LB,50.0% UB,mean
1960-03-31,-1.9503548288103447e-16,-1.9503548288103447e-16,-1.9503548288103447e-16
1960-06-30,-9.063160803696587e-17,-9.063160803696587e-17,-9.063160803696587e-17
1960-09-30,-8.84642830770844e-17,-8.84642830770844e-17,-8.84642830770844e-17
1960-12-31,-1.556198521704334e-16,-1.556198521704334e-16,-1.556198521704334e-16
1961-03-31,9.844088843010209e-17,9.844088843010209e-17,9.844088843010209e-17
1961-06-30,5.8672009725352e-17,5.8672009725352e-17,5.8672009725352e-17
1961-09-30,2.3225909204450528e-17,2.3225909204450528e-17,2.3225909204450528e-17
1961-12-31,2.2165222734383217e-17,2.2165222734383217e-17,2.2165222734383217e-17
1962-03-31,4.3200576813363246e-17,4.3200576813363246e-17,4.3200576813363246e-17
1962-06-30,-1.2510577652464737e-16,-1.2510577652464737e-16,-1.2510577652464737e-16
1962-09-30,-9.421958117637404e-17,-9.421958117637404e-17,-9.421958117637404e-17
1962-12-31,-1.7301392092207793e-16,-1.7301392092207793e-16,-1.7301392092207793e-16
1963-03-31,-2.993108293314645e-16,-2.993108293314645e-16,-2.993108293314645e-16
1963-06-30,-3.7927345323950584e-16,-3.7927345323950584e-16,-3.7927345323950584e-16
1963-09-30,-2.7290513419742334e-16,-2.7290513419742334e-16,-2.7290513419742334e-16
1963-12-31,-5.242441043781921e-16,-5.242441043781921e-16,-5.242441043781921e-16
1964-03-31,-6.699479153021903e-16,-6.699479153021903e-16,-6.699479153021903e-16
1964-06-30,-7.840956248576922e-16,-7.840956248576922e-16,-7.840956248576922e-16
1964-09-30,-7.020468547797525e-16,-7.020468547797525e-16,-7.020468547797525e-16
1964-12-31,-7.59012396426811e-16,-7.59012396426811e-16,-7.59012396426811e-16
1965-03-31,-6.550204194266922e-16,-6.550204194266922e-16,-6.550204194266922e-16
1965-06-30,-7.085714817039292e-16,-7.085714817039292e-16,-7.085714817039292e-16
1965-09-30,-7.422109468823982e-16,-7.422109468823982e-16,-7.422109468823982e-16
1965-12-31,-8.75952121560212e-16,-8.75952121560212e-16,-8.75952121560212e-16
1966-03-31,-6.283811099191139e-16,-6.283811099191139e-16,-6.283811099191139e-16
1966-06-30,-6.2700025812672e-16,-6.2700025812672e-16,-6.2700025812672e-16
1966-09-30,-6.986995971867908e-16,-6.986995971867908e-16,-6.986995971867908e-16
1966-12-31,-7.639392475645651e-16,-7.639392475645651e-16,-7.639392475645651e-16
1967-03-31,-6.898095006453738e-16,-6.898095006453738e-16,-6.898095006453738e-16
1967-06-30,-8.077967638049785e-16,-8.077967638049785e-16,-8.077967638049785e-16
1967-09-30,-5.775126914818607e-16,-5.775126914818607e-16,-5.775126914818607e-16
1967-12-31,-8.667233878828953e-16,-8.667233878828953e-16,-8.667233878828953e-16
1968-03-31,-7.640903205565956e-16,-7.640903205565956e-16,-7.640903205565956e-16
1968-06-30,-8.597929345925838e-16,-8.597929345925838e-16,-8.597929345925838e-16
1968-09-30,-8.900867879603647e-16,-8.900867879603647e-16,-8.900867879603647e-16
1968-12-31,-7.366153750925547e-16,-7.366153750925547e-16,-7.366153750925547e-16
1969-03-31,-5.714755977058645e-16,-5.714755977058645e-16,-5.714755977058645e-16
1969-06-30,-8.677971222216589e-16,-8.677971222216589e-16,-8.677971222216589e-16
1969-09-30,-1.0666011151612901e-15,-1.0666011151612901e-15,-1.0666011151612901e-15
1969-12-31,-1.1828813291206851e-15,-1.1828813291206851e-15,-1.1828813291206851e-15
1970-03-31,-1.1634297632428166e-15,-1.1634297632428166e-15,-1.1634297632428166e-15
1970-06-30,-8.692994355495592e-16,-8.692994355495592e-16,-8.692994355495592e-16
1970-09-30,-7.476408356345771e-16,-7.476408356345771e-16,-7.476408356345771e-16
1970-12-31,-4.551761286467858e-16,-4.551761286467858e-16,-4.551761286467858e-16
1971-03-31,-3.445238402217359e-16,-3.445238402217359e-16,-3.445238402217359e-16
1971-06-30,-2.7670409136678705e-16,-2.7670409136678705e-16,-2.7670409136678705e-16
1971-09-30,-1.267299467368821e-16,-1.267299467368821e-16,-1.267299467368821e-16
1971-12-31,-5.31663183436833e-16,-5.31663183436833e-16,-5.31663183436833e-16
1972-03-31,-5.134622773206409e-16,-5.134622773206409e-16,-5.134622773206409e-16
1972-06-30,-6.791238251785631e-16,-6.791238251785631e-16,-6.791238251785631e-16
1972-09-30,-6.574623131676499e-16,-6.574623131676499e-16,-6.574623131676499e-16
1972-12-31,-6.42132659667822e-16,-6.42132659667822e-16,-6.42132659667822e-16
1973-03-31,-4.25070524205128e-16,-4.25070524205128e-16,-4.25070524205128e-16
1973-06-30,-4.843746429147513e-16,-4.843746429147513e-16,-4.843746429147513e-16
1973-09-30,-7.560047033656223e-16,-7.560047033656223e-16,-7.560047033656223e-16
1973-12-31,-8.44662827325445e-16,-8.44662827325445e-16,-8.44662827325445e-16
1974-03-31,-9.426558914377506e-16,-9.426558914377506e-16,-9.426558914377506e-16
1974-06-30,-1.151382194798639e-15,-1.151382194798639e-15,-1.151382194798639e-15
1974-09-30,-1.2128427793330482e-15,-1.2128427793330482e-15,-1.2128427793330482e-15
1974-12-31,-7.292822642106994e-16,-7.292822642106994e-16,-7.292822642106994e-16
1975-03-31,-5.073837455353089e-16,-5.073837455353089e-16,-5.073837455353089e-16
1975-06-30,-2.3889133251775744e-16,-2.3889133251775744e-16,-2.3889133251775744e-16
1975-09-30,6.4286272613538354e-18,6.4286272613538354e-18,6.4286272613538354e-18
1975-12-31,3.27592283413346e-17,3.27592283413346e-17,3.27592283413346e-17
1976-03-31,1.4361636540315508e-18,1.4361636540315508e-18,1.4361636540315508e-18
1976-06-30,6.753651539897567e-17,6.753651539897567e-17,6.753651539897567e-17
1976-09-30,-6.471754037768818e-17,-6.471754037768818e-17,-6.471754037768818e-17
1976-12-31,-2.1768437842617212e-16,-2.1768437842617212e-16,-2.1768437842617212e-16
1977-03-31,-4.614336359306224e-17,-4.614336359306224e-17,-4.614336359306224e-17
1977-06-30,-3.155820577989412e-16,-3.155820577989412e-16,-3.155820577989412e-16
1977-09-30,-2.151227435477089e-16,-2.151227435477089e-16,-2.151227435477089e-16
1977-12-31,-6.657211292447386e-16,-6.657211292447386e-16,-6.657211292447386e-16
