date,g_sh,b_liqtil_sh,b_liqp_sh,b_safetil_sh,b_safep_sh,mu_sh,z_sh,lambda_f_sh,lambda_w_sh,rm_sh,sigma_omega_sh,mu_e_sh,gamma_sh,pi_star_sh,lr_sh,zp_sh,tfp_sh,gdpdef_sh,corepce_sh,gdp_sh,gdi_sh,BBB_sh,AAA_sh,rm_shl1,rm_shl2,rm_shl3,rm_shl4,rm_shl5,rm_shl6,dettrend,detrendedMean
2007-03-31,-2.170550101093424e-15,3.037550254805475e-17,-6.656516425393506e-15,5.289290274040966e-15,9.262985052255986e-16,1.4025119264556232e-17,-5.4901101294421345e-15,3.332637472010631e-15,1.3468826106403611e-14,7.288236932059049e-16,1.557454200055564e-14,0.0,0.0,-0.010740675644533185,0.0,8.759299532838423e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008894566334249317,-0.0018461093102491548
2007-06-30,-2.2029823084475637e-15,3.160654489224464e-17,-6.6264070625488515e-15,5.404494480472039e-15,8.951252288277291e-16,3.887398819193829e-17,-5.516506871620227e-15,3.307292005947347e-15,1.3250724451805983e-14,7.816309796878589e-16,1.521806073856308e-14,0.0,0.0,-0.017378266736416077,0.0,8.698381643167565e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00880562067090668,-0.008572646065475224
2007-09-30,-2.3198407818292664e-15,3.1221459482208916e-17,-6.602044919239623e-15,5.529842521705691e-15,8.665058734287353e-16,1.2569428747627202e-17,-5.33940790904203e-15,3.2800559829337195e-15,1.3021743854165287e-14,8.099759213006228e-16,1.4861472031311173e-14,0.0,0.0,-0.020644087899232548,0.0,8.680421797779865e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00871756446419747,-0.011926523435001361
2007-12-31,-2.361329791451809e-15,3.1855677963546794e-17,-6.622003018061766e-15,5.717778667347943e-15,8.396839404173683e-16,-1.3890234646850485e-17,-5.266060886455851e-15,3.25221677037934e-15,1.2829444092851634e-14,8.640318092895431e-16,1.4372060640114534e-14,0.0,0.0,-0.028222406829628604,0.0,8.672847199940939e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008630388819555353,-0.01959201801004005
2008-03-31,-2.448862790178879e-15,3.473764275653206e-17,-6.673629963528724e-15,5.933231427429202e-15,8.130214042104579e-16,-1.8404036495198644e-17,-5.119520768354932e-15,3.2341918934826657e-15,1.264231265631347e-14,9.586483883119384e-16,1.3736555802128282e-14,0.0,0.0,-0.04074684440081405,0.0,8.649773478481592e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.008544084931359658,-0.032202759469421784
2008-06-30,-2.516123625035069e-15,3.474544179226707e-17,-6.7650627090508716e-15,5.9459050538691155e-15,7.784642897290411e-16,-2.6759011035688372e-17,-5.0553040367963365e-15,3.2198544261870977e-15,1.2413489739134215e-14,1.0827355231109155e-15,1.3015125186333745e-14,0.0,0.0,-0.054256057024084606,0.0,8.650250962226106e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00845864408204592,-0.04579741294200705
2008-09-30,-2.4854159797519454e-15,3.7392804505941736e-17,-6.845159624827618e-15,5.9387108423100495e-15,7.456018154384859e-16,-4.296796453679523e-17,-4.923237665845335e-15,3.205609443755478e-15,1.219481826202766e-14,1.192661040183076e-15,1.2256731640960927e-14,0.0,0.0,-0.07883443906395042,0.0,8.659706308067378e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00837405764122532,-0.07046038142269428
2008-12-31,-2.390888483976623e-15,3.72497812345243e-17,-6.956582816573251e-15,5.744702884154804e-15,7.119589529868503e-16,4.678560608023143e-17,-4.590241971020048e-15,3.2290240357224205e-15,1.2004866701115082e-14,1.234200365101048e-15,1.1543640948046102e-14,0.0,0.0,-0.08236626285130952,0.0,8.660927758938691e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-6.1855152342807276e-18,-8.093857234349668e-19,-3.6209505450065463e-19,-1.0576991331575741e-19,-2.725308893907866e-19,-4.515405170917698e-19,0.008290317064812926,-0.07407594578646647
2009-03-31,-2.458378298394492e-15,3.3861451875946874e-17,-7.237760336023345e-15,5.069461370627451e-15,6.4694214130729805e-16,-1.0880990052286981e-16,-4.624764159743039e-15,3.2488351904071065e-15,1.1645663196600736e-14,1.2039524876272507e-15,1.0424799272575429e-14,0.0,0.0,-0.07998985601872996,0.0,8.69557757476983e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.930770688284653e-17,-1.3071134785157903e-17,1.2960051120654424e-17,2.200993861555693e-18,1.727558799334e-18,1.5956076711725894e-18,0.008207413894164657,-0.07178244212453799
2009-06-30,-2.539089487532523e-15,3.5535429088393876e-17,-7.442037266130156e-15,4.51286114412898e-15,5.8947220828474945e-16,-1.2034513096806485e-16,-4.6017288224187084e-15,3.2767926759464e-15,1.1467974962734289e-14,1.093703921863112e-15,9.074024418655589e-15,0.0,0.0,-0.09959911327136795,0.0,8.743941610115318e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.1905945703779775e-16,-3.975756782702194e-17,8.32534881797837e-18,-6.033880807880706e-18,1.544659467444595e-18,2.272322976429372e-18,0.008125339755222871,-0.0914737735161203
2009-09-30,-2.7447914311035532e-15,3.624970215854328e-17,-7.581337136301609e-15,4.056942673441347e-15,5.389395479865299e-16,-1.4157123896332773e-16,-4.436719536493996e-15,3.3077405206399566e-15,1.1290246362448875e-14,9.661749885165701e-16,7.817226687142067e-15,0.0,0.0,-0.12404770971702025,0.0,8.745740596346636e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6267971106522503e-16,-8.227963954678755e-17,-1.7848682467700583e-17,-2.6884553775002276e-17,-6.1650821014360415e-18,6.655280150270578e-19,0.008044086357670503,-0.11600362335932742
2009-12-31,-2.687762436883603e-15,3.9198017420247845e-17,-7.634260504958344e-15,3.861691362251388e-15,5.046293482417719e-16,-1.1467344663121035e-16,-4.389077340779482e-15,3.332774018067611e-15,1.1093348199355797e-14,8.327024624095841e-16,6.84025588910587e-15,0.0,0.0,-0.15516553627515597,0.0,8.718649099906547e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.1476226763361341e-16,-1.3486469059417716e-16,-6.96414409721252e-17,-6.655508265013899e-17,-2.6756153658357423e-17,-4.763808010903219e-18,0.007963645494093662,-0.14720189078104165
2010-03-31,-2.7644266444775375e-15,3.5536139752928246e-17,-7.67451566746522e-15,3.5003040615085542e-15,4.701422618301778e-16,-2.2173217111747037e-16,-4.132474486159612e-15,3.3631227844451413e-15,1.080845053576594e-14,6.876986716087771e-16,6.078288738052302e-15,0.0,0.0,-0.14936157552131862,0.0,8.633315733747594e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.725561853970797e-16,-1.9164972641579841e-16,-1.293441538438398e-16,-1.2488561810515482e-16,-6.051522521520385e-17,-2.0651796767855485e-17,0.007884009039152588,-0.14147756648214732
2010-06-30,-2.816893844331377e-15,3.4767393279297215e-17,-7.683653976397309e-15,3.2128055362995105e-15,4.4147893335937725e-16,-8.760553953734592e-17,-3.953715326367616e-15,3.3952631803271447e-15,1.0567956529288392e-14,5.780639908552383e-16,5.261913085634392e-15,0.0,0.0,-0.16000953953344899,0.0,8.593813866474193e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.0143736912869086e-16,-2.3226435495015356e-16,-1.8004755825231915e-16,-1.7501209928532564e-16,-1.0615849680199142e-16,-4.8856087455937535e-17,0.0078051689487609235,-0.15220437058467085
2010-09-30,-2.7932032973863503e-15,3.550243148053815e-17,-7.717757413435386e-15,2.9421580877323487e-15,4.077822294053744e-16,-1.7330658890716027e-16,-3.909049203426494e-15,3.4314806219072067e-15,1.0322728340290556e-14,5.020847604428185e-16,4.571279812785578e-15,0.0,0.0,-0.16146748287869794,0.0,8.555163255744058e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.04778082232124e-16,-2.358243423174732e-16,-1.9666822471434597e-16,-2.1086034645450226e-16,-1.523436306009769e-16,-9.297481525025744e-17,0.007727117259273177,-0.15374036561940913
2010-12-31,-2.9785184278551286e-15,3.59768880419148e-17,-7.777575257579455e-15,2.6732938918975913e-15,3.7366908301221176e-16,-1.2751086334652155e-16,-3.785439023869309e-15,3.4555121368528225e-15,1.0052314543741302e-14,4.2157975202975674e-16,3.72722310848946e-15,0.0,0.0,-0.17622913011970437,0.0,8.510392583949418e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.183736967560836e-16,-2.303095470572657e-16,-1.9893351418007685e-16,-2.3710842160842586e-16,-1.9483200674632795e-16,-1.3784833503693256e-16,0.007649846086680311,-0.16857928403301017
2011-03-31,-3.042255367076132e-15,3.3625662113016735e-17,-7.837113093796374e-15,2.3988998190476923e-15,3.4297198396960105e-16,-2.501199279630465e-16,-3.587317133612679e-15,3.4800758507648065e-15,9.850788937721379e-15,3.3800666142524767e-16,3.0324263042911802e-15,0.0,0.0,-0.1848667857391396,0.0,8.452220006621513e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.336181635826509e-16,-2.4741977089425344e-16,-2.1522480989240026e-16,-2.6264666093961336e-16,-2.291960917904445e-16,-1.8422689360642323e-16,0.007573347625813372,-0.17729343811331388
2011-06-30,-3.0376833281709758e-15,3.4513538975140714e-17,-7.855468590050737e-15,2.130508439370502e-15,3.14701581790412e-16,-2.1912030508853193e-16,-3.5644514362159615e-15,3.4889258717195764e-15,9.542187340469008e-15,2.6969440241236445e-16,2.2790708489641263e-15,0.0,0.0,-0.1899495058188676,0.0,8.360740557655617e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.525613001188647e-16,-2.807847152991302e-16,-2.5574270882874335e-16,-2.9196704575426406e-16,-2.612469215369825e-16,-2.2513046349824026e-16,0.007497614149555103,-0.18245189166930187
2011-09-30,-3.163629920756891e-15,3.308731377972943e-17,-7.901955158935844e-15,1.8948384357119577e-15,2.8861390646761833e-16,-1.2607372576602737e-16,-3.419614362453739e-15,3.5002656432564915e-15,9.247279734357884e-15,2.2117803424286398e-16,1.7020407342651642e-15,0.0,0.0,-0.2020938821639897,0.0,8.316898047056498e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.616430039203645e-16,-3.021530285421667e-16,-2.8234894723332373e-16,-3.2382020422457016e-16,-2.897783062949742e-16,-2.5188548698866787e-16,0.007422638008059417,-0.19467124415592096
