date,mean
2007-03-31,-3.386765020592812e-14
2007-06-30,-3.3834746909815676e-14
2007-09-30,-3.380186512705353e-14
2007-12-31,-3.3769005052054224e-14
2008-03-31,-3.373616687339149e-14
2008-06-30,-3.3703350773985804e-14
2008-09-30,-3.367055693128277e-14
2008-12-31,-3.363778551742433e-14
2009-03-31,-3.360503669941393e-14
2009-06-30,-3.3572310639275134e-14
2009-09-30,-3.3539607494204806e-14
2009-12-31,-3.350692741672092e-14
2010-03-31,-3.347427055480541e-14
2010-06-30,-3.344163705204185e-14
2010-09-30,-3.340902704774887e-14
2010-12-31,-3.337644067710975e-14
2011-03-31,-3.3343878071296676e-14
2011-06-30,-3.331133935759185e-14
2011-09-30,-3.327882465950517e-14
2011-12-31,-3.324633409688722e-14
2012-03-31,-3.321386778603928e-14
2012-06-30,-3.318142583982025e-14
2012-09-30,-3.3149008367749515e-14
2012-12-31,-3.3116615476107204e-14
2013-03-31,-3.3084247268031076e-14
2013-06-30,-3.305190384361077e-14
2013-09-30,-3.301958529997819e-14
2013-12-31,-3.298729173139626e-14
2014-03-31,-3.295502322934407e-14
2014-06-30,-3.2922779882599774e-14
2014-09-30,-3.289056177732033e-14
2014-12-31,-3.285836899711904e-14
2015-03-31,-3.2826201623141146e-14
2015-06-30,-3.279405973413618e-14
2015-09-30,-3.2761943406527995e-14
2015-12-31,-3.2729852714483115e-14
2016-03-31,-3.269778772997655e-14
2016-06-30,-3.266574852285545e-14
2016-09-30,-3.263373516090069e-14
2016-12-31,-3.260174770988619e-14
2017-03-31,-3.2569786233637175e-14
2017-06-30,-3.253785079408536e-14
2017-09-30,-3.250594145132307e-14
2017-12-31,-3.247405826365523e-14
2018-03-31,-3.2442201287649836e-14
2018-06-30,-3.2410370578186665e-14
2018-09-30,-3.237856618850453e-14
2018-12-31,-3.2346788170246634e-14
2019-03-31,-3.23150365735044e-14
2019-06-30,-3.2283311446861e-14
2019-09-30,-3.2251612837431357e-14
2019-12-31,-3.2219940790902716e-14
2020-03-31,-3.2188295351573164e-14
2020-06-30,-3.215667656238849e-14
2020-09-30,-3.21250844649787e-14
2020-12-31,-3.2093519099692514e-14
2021-03-31,-3.2061980505631165e-14
2021-06-30,-3.2030468720681274e-14
2021-09-30,-3.199898378154625e-14
2021-12-31,-3.196752572377694e-14
2022-03-31,-3.193609458180102e-14
2022-06-30,-3.1904690388951955e-14
2022-09-30,-3.187331317749639e-14
2022-12-31,-3.184196297866119e-14
2023-03-31,-3.1810639822659446e-14
2023-06-30,-3.177934373871552e-14
2023-09-30,-3.1748074755089445e-14
2023-12-31,-3.1716832899100694e-14
2024-03-31,-3.168561819715092e-14
2024-06-30,-3.165443067474613e-14
2024-09-30,-3.16232703565184e-14
2024-12-31,-3.159213726624625e-14
2025-03-31,-3.1561031426875264e-14
2025-06-30,-3.152995286053762e-14
2025-09-30,-3.1498901588570864e-14
2025-12-31,-3.14678776315362e-14
2026-03-31,-3.1436881009236983e-14
2026-06-30,-3.14059117407353e-14
2026-09-30,-3.1374969844369334e-14
2026-12-31,-3.134405533776932e-14
2027-03-31,-3.131316823787351e-14
2027-06-30,-3.128230856094366e-14
2027-09-30,-3.1251476322579814e-14
2027-12-31,-3.122067153773432e-14
2028-03-31,-3.1189894220727085e-14
2028-06-30,-3.1159144385258164e-14
2028-09-30,-3.112842204442106e-14
2028-12-31,-3.109772721071669e-14
2029-03-31,-3.1067059896064584e-14
2029-06-30,-3.103642011181567e-14
2029-09-30,-3.100580786876423e-14
2029-12-31,-3.097522317715908e-14
2030-03-31,-3.094466604671519e-14
2030-06-30,-3.0914136486623937e-14
2030-09-30,-3.088363450556426e-14
2030-12-31,-3.085316011171243e-14
2031-03-31,-3.0822713312752664e-14
2031-06-30,-3.079229411588625e-14
2031-09-30,-3.07619025278414e-14
2031-12-31,-3.0731538554882615e-14
2032-03-31,-3.070120220281898e-14
2032-06-30,-3.0670893477013726e-14
2032-09-30,-3.0640612382392214e-14
2032-12-31,-3.061035892345053e-14
2033-03-31,-3.0580133104263136e-14
2033-06-30,-3.054993492849136e-14
2033-09-30,-3.0519764399390536e-14
2033-12-31,-3.048962151981779e-14
2034-03-31,-3.045950629223908e-14
2034-06-30,-3.0429418718736623e-14
2034-09-30,-3.039935880101561e-14
2034-12-31,-3.0369326540410674e-14
2035-03-31,-3.033932193789348e-14
2035-06-30,-3.030934499407788e-14
2035-09-30,-3.027939570922683e-14
2035-12-31,-3.0249474083258895e-14
2036-03-31,-3.021958011575346e-14
2036-06-30,-3.018971380595709e-14
2036-09-30,-3.0159875152789046e-14
2036-12-31,-3.013006415484683e-14
2037-03-31,-3.0100280810411625e-14
2037-06-30,-3.00705251174538e-14
2037-09-30,-3.004079707363789e-14
2037-12-31,-3.001109667632769e-14
2038-03-31,-2.998142392259139e-14
2038-06-30,-2.9951778809206085e-14
2038-09-30,-2.9922161332663284e-14
2038-12-31,-2.9892571489172316e-14
2039-03-31,-2.986300927466601e-14
2039-06-30,-2.983347468480462e-14
