date,mean
2007-03-31,-144.04188410440477
2007-06-30,-143.9118344383221
2007-09-30,-143.7817648013162
2007-12-31,-143.65167746034655
2008-03-31,-143.52157463121353
2008-06-30,-143.39145848001766
2008-09-30,-143.2613311245735
2008-12-31,-143.1311946357793
2009-03-31,-143.0010510389457
2009-06-30,-142.87090231508174
2009-09-30,-142.7407504021422
2009-12-31,-142.61059719623626
2010-03-31,-142.48044455279742
2010-06-30,-142.35029428771807
2010-09-30,-142.22014817844794
2010-12-31,-142.09000796505845
2011-03-31,-141.95987535127315
2011-06-30,-141.82975200546608
2011-09-30,-141.69963956162817
2011-12-31,-141.56953962030312
2012-03-31,-141.4394537494935
2012-06-30,-141.30938348553767
2012-09-30,-141.1793303339596
2012-12-31,-141.04929577029017
2013-03-31,-140.91928124086334
2013-06-30,-140.78928816358584
2013-09-30,-140.6593179286834
2013-12-31,-140.52937189942122
2014-03-31,-140.3994514128034
2014-06-30,-140.26955778024822
2014-09-30,-140.1396922882428
2014-12-31,-140.00985619897625
2015-03-31,-139.8800507509533
2015-06-30,-139.7502771595873
2015-09-30,-139.62053661777506
2015-12-31,-139.4908302964534
2016-03-31,-139.3611593451378
2016-06-30,-139.2315248924443
2016-09-30,-139.1019280465948
2016-12-31,-138.97236989590607
2017-03-31,-138.84285150926476
2017-06-30,-138.7133739365859
2017-09-30,-138.58393820925846
2017-12-31,-138.4545453405766
2018-03-31,-138.32519632615782
2018-06-30,-138.19589214434782
2018-09-30,-138.066633756614
2018-12-31,-137.9374221079259
2019-03-31,-137.8082581271246
2019-06-30,-137.6791427272814
2019-09-30,-137.55007680604527
2019-12-31,-137.42106124597979
2020-03-31,-137.29209691489086
2020-06-30,-137.16318466614382
2020-09-30,-137.03432533897217
2020-12-31,-136.90551975877653
2021-03-31,-136.77676873741524
2021-06-30,-136.6480730734868
2021-09-30,-136.51943355260403
2021-12-31,-136.39085094765974
2022-03-31,-136.26232601908623
2022-06-30,-136.13385951510622
2022-09-30,-136.00545217197745
2022-12-31,-135.8771047142302
2023-03-31,-135.748817854898
2023-06-30,-135.62059229574248
2023-09-30,-135.4924287274717
2023-12-31,-135.36432782995252
2024-03-31,-135.23629027241753
2024-06-30,-135.10831671366594
2024-09-30,-134.98040780225935
2024-12-31,-134.85256417671226
2025-03-31,-134.72478646567788
2025-06-30,-134.59707528812805
2025-09-30,-134.46943125352982
2025-12-31,-134.3418549620164
2026-03-31,-134.21434700455418
2026-06-30,-134.0869079631052
2026-09-30,-133.95953841078565
2026-12-31,-133.83223891202059
2027-03-31,-133.70501002269415
2027-06-30,-133.57785229029645
2027-09-30,-133.450766254067
2027-12-31,-133.32375244513403
2028-03-31,-133.1968113866509
2028-06-30,-133.06994359392894
2028-09-30,-132.9431495745673
2028-12-31,-132.81642982857946
2029-03-31,-132.6897848485164
2029-06-30,-132.56321511958825
2029-09-30,-132.43672111978117
2029-12-31,-132.31030331997312
2030-03-31,-132.1839621840457
2030-06-30,-132.05769816899485
2030-09-30,-131.9315117250372
2030-12-31,-131.805403295716
2031-03-31,-131.6793733180029
2031-06-30,-131.55342222239892
2031-09-30,-131.4275504330322
2031-12-31,-131.3017583677539
2032-03-31,-131.1760464382323
2032-06-30,-131.05041505004453
2032-09-30,-130.92486460276672
2032-12-31,-130.79939549006144
2033-03-31,-130.67400809976436
2033-06-30,-130.54870281396845
2033-09-30,-130.42348000910638
2033-12-31,-130.29834005603178
2034-03-31,-130.17328332009805
2034-06-30,-130.04831016123666
2034-09-30,-129.92342093403232
2034-12-31,-129.79861598779877
2035-03-31,-129.67389566665088
2035-06-30,-129.54926030957677
2035-09-30,-129.42471025050816
2035-12-31,-129.30024581838939
2036-03-31,-129.17586733724485
2036-06-30,-129.0515751262454
2036-09-30,-128.92736949977373
2036-12-31,-128.80325076748787
2037-03-31,-128.6792192343845
2037-06-30,-128.5552752008601
2037-09-30,-128.4314189627714
2037-12-31,-128.30765081149525
2038-03-31,-128.18397103398644
2038-06-30,-128.06037991283526
2038-09-30,-127.93687772632383
2038-12-31,-127.81346474848134
2039-03-31,-127.69014124913842
2039-06-30,-127.56690749398072
