date,50.0% LB,50.0% UB,mean
1972-06-30,5.178646842661648e-14,5.178646842661648e-14,5.178646842661648e-14
1972-09-30,5.216840980998857e-14,5.216840980998857e-14,5.216840980998857e-14
1972-12-31,4.991897491302946e-14,4.991897491302946e-14,4.991897491302946e-14
1973-03-31,4.7653399197178425e-14,4.7653399197178425e-14,4.7653399197178425e-14
1973-06-30,4.897236468705358e-14,4.897236468705358e-14,4.897236468705358e-14
1973-09-30,4.805219194924849e-14,4.805219194924849e-14,4.805219194924849e-14
1973-12-31,4.759356752960732e-14,4.759356752960732e-14,4.759356752960732e-14
1974-03-31,4.8559886934164406e-14,4.8559886934164406e-14,4.8559886934164406e-14
1974-06-30,4.812306889715659e-14,4.812306889715659e-14,4.812306889715659e-14
1974-09-30,4.8361485074953265e-14,4.8361485074953265e-14,4.8361485074953265e-14
1974-12-31,4.770488816577606e-14,4.770488816577606e-14,4.770488816577606e-14
1975-03-31,4.9514572246066466e-14,4.9514572246066466e-14,4.9514572246066466e-14
1975-06-30,5.064540696538818e-14,5.064540696538818e-14,5.064540696538818e-14
1975-09-30,5.0108324797009024e-14,5.0108324797009024e-14,5.0108324797009024e-14
1975-12-31,5.001355038639663e-14,5.001355038639663e-14,5.001355038639663e-14
1976-03-31,5.069149650825459e-14,5.069149650825459e-14,5.069149650825459e-14
1976-06-30,4.974593528029907e-14,4.974593528029907e-14,4.974593528029907e-14
1976-09-30,4.814191711524611e-14,4.814191711524611e-14,4.814191711524611e-14
1976-12-31,4.9864203468817836e-14,4.9864203468817836e-14,4.9864203468817836e-14
1977-03-31,5.0440293023842666e-14,5.0440293023842666e-14,5.0440293023842666e-14
1977-06-30,5.1102554594570635e-14,5.1102554594570635e-14,5.1102554594570635e-14
1977-09-30,5.138845994932207e-14,5.138845994932207e-14,5.138845994932207e-14
1977-12-31,5.117759253492034e-14,5.117759253492034e-14,5.117759253492034e-14
1978-03-31,5.1052216222069784e-14,5.1052216222069784e-14,5.1052216222069784e-14
1978-06-30,5.147790635668018e-14,5.147790635668018e-14,5.147790635668018e-14
1978-09-30,5.0917665280112425e-14,5.0917665280112425e-14,5.0917665280112425e-14
1978-12-31,4.994719374200255e-14,4.994719374200255e-14,4.994719374200255e-14
1979-03-31,5.101646120871002e-14,5.101646120871002e-14,5.101646120871002e-14
1979-06-30,5.0872850740951117e-14,5.0872850740951117e-14,5.0872850740951117e-14
1979-09-30,4.829519878056322e-14,4.829519878056322e-14,4.829519878056322e-14
1979-12-31,4.907542978487685e-14,4.907542978487685e-14,4.907542978487685e-14
1980-03-31,5.0346494887559983e-14,5.0346494887559983e-14,5.0346494887559983e-14
1980-06-30,5.074009038060395e-14,5.074009038060395e-14,5.074009038060395e-14
1980-09-30,5.137127269899713e-14,5.137127269899713e-14,5.137127269899713e-14
1980-12-31,4.995685077645887e-14,4.995685077645887e-14,4.995685077645887e-14
1981-03-31,4.863857729820902e-14,4.863857729820902e-14,4.863857729820902e-14
1981-06-30,4.731291166722209e-14,4.731291166722209e-14,4.731291166722209e-14
1981-09-30,4.7224608622458576e-14,4.7224608622458576e-14,4.7224608622458576e-14
1981-12-31,5.1228072836033405e-14,5.1228072836033405e-14,5.1228072836033405e-14
1982-03-31,5.225786637617398e-14,5.225786637617398e-14,5.225786637617398e-14
1982-06-30,5.118605577086378e-14,5.118605577086378e-14,5.118605577086378e-14
1982-09-30,5.1222141702437073e-14,5.1222141702437073e-14,5.1222141702437073e-14
1982-12-31,5.177061162485078e-14,5.177061162485078e-14,5.177061162485078e-14
1983-03-31,5.240850503634502e-14,5.240850503634502e-14,5.240850503634502e-14
1983-06-30,5.0972071498886474e-14,5.0972071498886474e-14,5.0972071498886474e-14
1983-09-30,4.970193532668437e-14,4.970193532668437e-14,4.970193532668437e-14
1983-12-31,5.1734396498684816e-14,5.1734396498684816e-14,5.1734396498684816e-14
1984-03-31,5.350476505171059e-14,5.350476505171059e-14,5.350476505171059e-14
1984-06-30,5.276176996595332e-14,5.276176996595332e-14,5.276176996595332e-14
1984-09-30,5.151028675106923e-14,5.151028675106923e-14,5.151028675106923e-14
1984-12-31,4.945733145552742e-14,4.945733145552742e-14,4.945733145552742e-14
1985-03-31,5.152023023693822e-14,5.152023023693822e-14,5.152023023693822e-14
1985-06-30,5.1918022329593455e-14,5.1918022329593455e-14,5.1918022329593455e-14
1985-09-30,5.1423374654956255e-14,5.1423374654956255e-14,5.1423374654956255e-14
1985-12-31,5.27524534554119e-14,5.27524534554119e-14,5.27524534554119e-14
1986-03-31,5.2006861862985767e-14,5.2006861862985767e-14,5.2006861862985767e-14
1986-06-30,5.1826194234051934e-14,5.1826194234051934e-14,5.1826194234051934e-14
1986-09-30,5.2758333593901295e-14,5.2758333593901295e-14,5.2758333593901295e-14
1986-12-31,5.1568011006273426e-14,5.1568011006273426e-14,5.1568011006273426e-14
1987-03-31,4.9311818504047675e-14,4.9311818504047675e-14,4.9311818504047675e-14
1987-06-30,4.795263571885043e-14,4.795263571885043e-14,4.795263571885043e-14
1987-09-30,4.903805783024802e-14,4.903805783024802e-14,4.903805783024802e-14
1987-12-31,5.099906107303818e-14,5.099906107303818e-14,5.099906107303818e-14
1988-03-31,5.137979921346993e-14,5.137979921346993e-14,5.137979921346993e-14
1988-06-30,5.031005995010852e-14,5.031005995010852e-14,5.031005995010852e-14
1988-09-30,5.051113622971514e-14,5.051113622971514e-14,5.051113622971514e-14
1988-12-31,5.0849356721633593e-14,5.0849356721633593e-14,5.0849356721633593e-14
1989-03-31,5.00292480525143e-14,5.00292480525143e-14,5.00292480525143e-14
1989-06-30,5.015988905122825e-14,5.015988905122825e-14,5.015988905122825e-14
1989-09-30,5.085695131300862e-14,5.085695131300862e-14,5.085695131300862e-14
1989-12-31,4.9111341835607966e-14,4.9111341835607966e-14,4.9111341835607966e-14
1990-03-31,4.813849037609293e-14,4.813849037609293e-14,4.813849037609293e-14
1990-06-30,4.9625184575567534e-14,4.9625184575567534e-14,4.9625184575567534e-14
1990-09-30,5.0812725819132226e-14,5.0812725819132226e-14,5.0812725819132226e-14
1990-12-31,4.993709951284389e-14,4.993709951284389e-14,4.993709951284389e-14
1991-03-31,5.0516097830179834e-14,5.0516097830179834e-14,5.0516097830179834e-14
1991-06-30,5.0287461100015126e-14,5.0287461100015126e-14,5.0287461100015126e-14
1991-09-30,4.85919681761945e-14,4.85919681761945e-14,4.85919681761945e-14
1991-12-31,4.958020999823522e-14,4.958020999823522e-14,4.958020999823522e-14
1992-03-31,5.1085041514297454e-14,5.1085041514297454e-14,5.1085041514297454e-14
1992-06-30,5.1474666168915245e-14,5.1474666168915245e-14,5.1474666168915245e-14
1992-09-30,5.008737027112227e-14,5.008737027112227e-14,5.008737027112227e-14
1992-12-31,5.1460876127389086e-14,5.1460876127389086e-14,5.1460876127389086e-14
1993-03-31,5.3810190848920644e-14,5.3810190848920644e-14,5.3810190848920644e-14
1993-06-30,5.1303328391930306e-14,5.1303328391930306e-14,5.1303328391930306e-14
1993-09-30,5.2169335330599047e-14,5.2169335330599047e-14,5.2169335330599047e-14
1993-12-31,5.2968905724576645e-14,5.2968905724576645e-14,5.2968905724576645e-14
1994-03-31,5.1847667905401894e-14,5.1847667905401894e-14,5.1847667905401894e-14
1994-06-30,5.031441008840183e-14,5.031441008840183e-14,5.031441008840183e-14
1994-09-30,5.021713474781798e-14,5.021713474781798e-14,5.021713474781798e-14
1994-12-31,5.0408254136630174e-14,5.0408254136630174e-14,5.0408254136630174e-14
1995-03-31,5.08788035238764e-14,5.08788035238764e-14,5.08788035238764e-14
1995-06-30,5.222601655317355e-14,5.222601655317355e-14,5.222601655317355e-14
1995-09-30,5.243537648891352e-14,5.243537648891352e-14,5.243537648891352e-14
1995-12-31,5.197995827604084e-14,5.197995827604084e-14,5.197995827604084e-14
1996-03-31,5.169985712018741e-14,5.169985712018741e-14,5.169985712018741e-14
1996-06-30,5.238285301877177e-14,5.238285301877177e-14,5.238285301877177e-14
1996-09-30,5.065259244030111e-14,5.065259244030111e-14,5.065259244030111e-14
1996-12-31,5.0735390883205284e-14,5.0735390883205284e-14,5.0735390883205284e-14
1997-03-31,4.9894274516417836e-14,4.9894274516417836e-14,4.9894274516417836e-14
1997-06-30,4.968048862823171e-14,4.968048862823171e-14,4.968048862823171e-14
