date,50.0% LB,50.0% UB,mean
1972-06-30,-154.37659380451882,-154.37659380451882,-154.37659380451882
1972-09-30,-153.9026846788785,-153.9026846788785,-153.9026846788785
1972-12-31,-153.5373284380963,-153.5373284380963,-153.5373284380963
1973-03-31,-153.09653991200088,-153.09653991200088,-153.09653991200088
1973-06-30,-153.36444471002508,-153.36444471002508,-153.36444471002508
1973-09-30,-153.2041542871878,-153.2041542871878,-153.2041542871878
1973-12-31,-153.03296769148866,-153.03296769148866,-153.03296769148866
1974-03-31,-152.81915048027793,-152.81915048027793,-152.81915048027793
1974-06-30,-152.8969194057774,-152.8969194057774,-152.8969194057774
1974-09-30,-152.5575517078358,-152.5575517078358,-152.5575517078358
1974-12-31,-154.16285786760983,-154.16285786760983,-154.16285786760983
1975-03-31,-154.82184178156842,-154.82184178156842,-154.82184178156842
1975-06-30,-154.13174360213068,-154.13174360213068,-154.13174360213068
1975-09-30,-153.3614336126317,-153.3614336126317,-153.3614336126317
1975-12-31,-152.71453317984168,-152.71453317984168,-152.71453317984168
1976-03-31,-151.85236734592672,-151.85236734592672,-151.85236734592672
1976-06-30,-151.65818753415243,-151.65818753415243,-151.65818753415243
1976-09-30,-151.84352246641643,-151.84352246641643,-151.84352246641643
1976-12-31,-151.01803579242554,-151.01803579242554,-151.01803579242554
1977-03-31,-151.32162186614318,-151.32162186614318,-151.32162186614318
1977-06-30,-151.82523488511757,-151.82523488511757,-151.82523488511757
1977-09-30,-151.76308375543115,-151.76308375543115,-151.76308375543115
1977-12-31,-151.21326207954675,-151.21326207954675,-151.21326207954675
1978-03-31,-151.3004033694232,-151.3004033694232,-151.3004033694232
1978-06-30,-150.91945888390424,-150.91945888390424,-150.91945888390424
1978-09-30,-151.03157236586065,-151.03157236586065,-151.03157236586065
1978-12-31,-150.4920201774368,-150.4920201774368,-150.4920201774368
1979-03-31,-150.4787818545153,-150.4787818545153,-150.4787818545153
1979-06-30,-149.39080933206708,-149.39080933206708,-149.39080933206708
1979-09-30,-149.7976647706366,-149.7976647706366,-149.7976647706366
1979-12-31,-149.27228776806493,-149.27228776806493,-149.27228776806493
1980-03-31,-148.59118764134396,-148.59118764134396,-148.59118764134396
1980-06-30,-149.51764577409432,-149.51764577409432,-149.51764577409432
1980-09-30,-149.6083845204726,-149.6083845204726,-149.6083845204726
1980-12-31,-149.6548195132576,-149.6548195132576,-149.6548195132576
1981-03-31,-149.84451355901663,-149.84451355901663,-149.84451355901663
1981-06-30,-150.09413744704568,-150.09413744704568,-150.09413744704568
1981-09-30,-150.5316812950822,-150.5316812950822,-150.5316812950822
1981-12-31,-151.01282383591828,-151.01282383591828,-151.01282383591828
1982-03-31,-151.10993202585576,-151.10993202585576,-151.10993202585576
1982-06-30,-151.48851926192262,-151.48851926192262,-151.48851926192262
1982-09-30,-152.39295810445324,-152.39295810445324,-152.39295810445324
1982-12-31,-152.91330542658173,-152.91330542658173,-152.91330542658173
1983-03-31,-152.96828193842768,-152.96828193842768,-152.96828193842768
1983-06-30,-153.09426765533092,-153.09426765533092,-153.09426765533092
1983-09-30,-153.69261229123072,-153.69261229123072,-153.69261229123072
1983-12-31,-153.77409350023373,-153.77409350023373,-153.77409350023373
1984-03-31,-153.78995083665973,-153.78995083665973,-153.78995083665973
1984-06-30,-154.88670457066266,-154.88670457066266,-154.88670457066266
1984-09-30,-154.86491772060202,-154.86491772060202,-154.86491772060202
1984-12-31,-155.20626813625668,-155.20626813625668,-155.20626813625668
1985-03-31,-155.87534416900814,-155.87534416900814,-155.87534416900814
1985-06-30,-156.1746322651541,-156.1746322651541,-156.1746322651541
1985-09-30,-156.49302122892195,-156.49302122892195,-156.49302122892195
1985-12-31,-156.84266621292983,-156.84266621292983,-156.84266621292983
1986-03-31,-157.1518237323068,-157.1518237323068,-157.1518237323068
1986-06-30,-157.64029020015346,-157.64029020015346,-157.64029020015346
1986-09-30,-157.89561715087873,-157.89561715087873,-157.89561715087873
1986-12-31,-158.06846936764904,-158.06846936764904,-158.06846936764904
1987-03-31,-158.06160211173514,-158.06160211173514,-158.06160211173514
1987-06-30,-158.27060408507216,-158.27060408507216,-158.27060408507216
1987-09-30,-158.41792426700738,-158.41792426700738,-158.41792426700738
1987-12-31,-158.59574231949034,-158.59574231949034,-158.59574231949034
1988-03-31,-158.73770091441892,-158.73770091441892,-158.73770091441892
1988-06-30,-158.92283503918247,-158.92283503918247,-158.92283503918247
1988-09-30,-159.11278241471138,-159.11278241471138,-159.11278241471138
1988-12-31,-159.23456049596118,-159.23456049596118,-159.23456049596118
1989-03-31,-159.38498638794695,-159.38498638794695,-159.38498638794695
1989-06-30,-159.54969098988866,-159.54969098988866,-159.54969098988866
1989-09-30,-159.8023245311224,-159.8023245311224,-159.8023245311224
1989-12-31,-160.18544982051392,-160.18544982051392,-160.18544982051392
1990-03-31,-160.60413915201613,-160.60413915201613,-160.60413915201613
1990-06-30,-160.78934255395566,-160.78934255395566,-160.78934255395566
1990-09-30,-160.87146522097697,-160.87146522097697,-160.87146522097697
1990-12-31,-160.79247429561823,-160.79247429561823,-160.79247429561823
1991-03-31,-160.5956570872861,-160.5956570872861,-160.5956570872861
1991-06-30,-160.4387740845309,-160.4387740845309,-160.4387740845309
1991-09-30,-160.33720882736878,-160.33720882736878,-160.33720882736878
1991-12-31,-160.48606282518233,-160.48606282518233,-160.48606282518233
1992-03-31,-160.79386182786305,-160.79386182786305,-160.79386182786305
1992-06-30,-160.89004862898926,-160.89004862898926,-160.89004862898926
1992-09-30,-160.99151182706095,-160.99151182706095,-160.99151182706095
1992-12-31,-161.06623305135074,-161.06623305135074,-161.06623305135074
1993-03-31,-161.11897866919725,-161.11897866919725,-161.11897866919725
1993-06-30,-161.24364726384385,-161.24364726384385,-161.24364726384385
1993-09-30,-161.38615848587267,-161.38615848587267,-161.38615848587267
1993-12-31,-161.53112253313196,-161.53112253313196,-161.53112253313196
1994-03-31,-161.7625129609877,-161.7625129609877,-161.7625129609877
1994-06-30,-161.99530644065143,-161.99530644065143,-161.99530644065143
1994-09-30,-162.2586887539151,-162.2586887539151,-162.2586887539151
1994-12-31,-162.53475669802475,-162.53475669802475,-162.53475669802475
1995-03-31,-162.7651779523088,-162.7651779523088,-162.7651779523088
1995-06-30,-162.91237020829493,-162.91237020829493,-162.91237020829493
1995-09-30,-163.13152706034978,-163.13152706034978,-163.13152706034978
1995-12-31,-163.28156387782147,-163.28156387782147,-163.28156387782147
1996-03-31,-163.53409522298887,-163.53409522298887,-163.53409522298887
1996-06-30,-163.92645224754745,-163.92645224754745,-163.92645224754745
1996-09-30,-163.77163528424774,-163.77163528424774,-163.77163528424774
1996-12-31,-163.80372258747042,-163.80372258747042,-163.80372258747042
1997-03-31,-164.19479334018078,-164.19479334018078,-164.19479334018078
1997-06-30,-164.21297073634537,-164.21297073634537,-164.21297073634537
1997-09-30,-164.09556657217573,-164.09556657217573,-164.09556657217573
1997-12-31,-164.18564633959798,-164.18564633959798,-164.18564633959798
1998-03-31,-164.35438345875107,-164.35438345875107,-164.35438345875107
1998-06-30,-164.1276984315259,-164.1276984315259,-164.1276984315259
1998-09-30,-164.01452797730042,-164.01452797730042,-164.01452797730042
1998-12-31,-164.34747537349955,-164.34747537349955,-164.34747537349955
1999-03-31,-164.41252603915765,-164.41252603915765,-164.41252603915765
1999-06-30,-163.65891583986001,-163.65891583986001,-163.65891583986001
1999-09-30,-164.24563710581003,-164.24563710581003,-164.24563710581003
1999-12-31,-164.09340096796998,-164.09340096796998,-164.09340096796998
2000-03-31,-164.14048680768272,-164.14048680768272,-164.14048680768272
2000-06-30,-164.3290272985209,-164.3290272985209,-164.3290272985209
2000-09-30,-164.39393909780964,-164.39393909780964,-164.39393909780964
