date,g_sh,b_liqtil_sh,b_liqp_sh,b_safetil_sh,b_safep_sh,mu_sh,z_sh,lambda_f_sh,lambda_w_sh,rm_sh,sigma_omega_sh,mu_e_sh,gamma_sh,pi_star_sh,lr_sh,zp_sh,tfp_sh,gdpdef_sh,corepce_sh,gdp_sh,gdi_sh,BBB_sh,AAA_sh,rm_shl1,rm_shl2,rm_shl3,rm_shl4,rm_shl5,rm_shl6,dettrend,detrendedMean
2007-03-31,-0.0001182401700101187,5.521837206566644e-5,-0.2988093531374905,6.4403191593839665e-6,-0.851355141202932,-0.0008986829499451639,8.805096094896812e-7,-2.6343747936966765e-15,2.0611790516463438e-16,-2.597426781865038e-15,-0.0026818861069623254,0.0,0.0,7.386951631967567e-14,0.0,0.0012116514565400107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7765520656354024,-0.3760370472744924
2007-06-30,-0.00010743910926426066,4.469828605724403e-5,-0.34544486840200456,8.291822373428492e-6,-0.8179367014682439,-0.0031475398444186222,-5.125637256714615e-6,-2.9044452051642083e-15,2.418866011172661e-16,-2.383073001489166e-15,0.00032724029520368134,0.0,0.0,6.711786092060512e-14,0.0,0.0012026031302144467,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7715288372800178,-0.39353000364725754
2007-09-30,-0.00011240194135398528,1.820813797078572e-5,-0.38995845611195185,8.163263197326524e-6,-0.7701136656145796,0.008466077326253138,3.5448682349198468e-6,-2.7648881382243043e-15,2.541426885810108e-16,-1.3130876594452137e-15,-9.470665171818742e-5,0.0,0.0,5.152560016122706e-14,0.0,0.0010808650423365731,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7665530734862203,-0.3841492981953415
2007-12-31,-8.935276186674399e-5,5.219509183822012e-6,-0.5394955692604089,9.517278023296041e-6,-0.817706763719572,0.015944441481146997,1.7040241183248854e-6,-2.510373041736601e-15,3.064546389718748e-16,-1.5851072588893126e-15,-0.0009798146869015156,0.0,0.0,5.4719248733468205e-14,0.0,0.0011406716680674822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7616243068372821,-0.5795456396308754
2008-03-31,-8.7340603969947e-5,-1.6509065890974613e-5,-0.5582564792630282,8.703963129205796e-6,-0.7987702789458361,0.03137682581207987,-2.4319458159930883e-6,-2.239989277894283e-15,4.068836790240681e-16,-2.6092201485815766e-15,0.0012908016711670543,0.0,0.0,3.988705799303949e-14,0.0,0.0010006517775551307,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7567420744198646,-0.5667139821807091
2008-06-30,-6.991415296097515e-5,-1.6446584577869325e-5,-0.5985947115591423,9.426206789485725e-6,-0.8336649873720252,0.028523765261840986,3.8144810917174833e-6,-2.6181056908761518e-15,3.4887553910776314e-16,-1.2491519224445808e-15,0.0009820730957803168,0.0,0.0,4.3875179376246346e-14,0.0,0.000591360142408038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7519059177850622,-0.6503297026956928
2008-09-30,-3.188276953057737e-5,-4.080031864470983e-5,-0.5938858106477761,8.768558535208816e-6,-0.7925627205802367,0.0443832907839979,-2.7468859496379652e-5,-2.9120413389937697e-15,5.836432591594842e-16,-4.555416183176023e-16,0.0027609843434273263,0.0,0.0,2.617651526484875e-14,0.0,0.00011271839004688569,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7471153829096127,-0.5921675381900411
2008-12-31,-1.9927961677186724e-5,-0.00011470540489396042,-0.8037627101659269,4.584447280050567e-6,-0.840455823361474,0.11087419819597057,-3.9088946752307617e-5,-2.7697699370146222e-15,4.753271428028075e-16,-2.8886561680113438e-15,0.0071736976101695,0.0,0.0,1.249297582559379e-14,0.0,-0.0011040720802351753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9495241176608608e-15,-7.9144912857475e-17,5.289198955584308e-17,-3.3470795330749685e-16,-2.5740281213093536e-16,-2.651896320741267e-16,0.7423700201572905,-0.7850738275102449
2009-03-31,4.7442092853105844e-5,-0.00011679656331554225,-0.7710286851716381,1.6332276587845673e-6,-0.9148101484147375,0.10463680287737939,1.0419041164035511e-5,-3.308580289479717e-15,2.360616156394931e-16,-8.393654185637283e-15,0.009084400351960132,0.0,0.0,2.147879733057043e-14,0.0,-0.0019385153901554121,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.343965287524e-15,4.072089091116278e-16,1.4115522350513056e-16,-1.772738513017176e-16,-1.3886340098669798e-16,-2.0439632870514902e-16,0.7376693842404771,-0.8364440637083457
2009-06-30,4.831590746021255e-5,-8.688084989079216e-5,-0.5987548922048584,5.497738929459632e-7,-0.9456666507608347,0.08377392799253676,5.18654940215033e-6,-3.831141574832164e-15,1.174267824212209e-16,-8.471215923168043e-15,0.007223559678326278,0.0,0.0,2.6183725084540702e-14,0.0,-0.001352228399743298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.6113153422937493e-15,5.880126986268359e-16,1.2607332218166737e-16,-8.042035819467516e-18,-2.3576806361136863e-16,-2.246872689935753e-16,0.7330130341819225,-0.7217960781317747
