date,g_sh,b_liqtil_sh,b_liqp_sh,b_safetil_sh,b_safep_sh,mu_sh,z_sh,lambda_f_sh,lambda_w_sh,rm_sh,sigma_omega_sh,mu_e_sh,gamma_sh,pi_star_sh,lr_sh,zp_sh,tfp_sh,gdpdef_sh,corepce_sh,gdp_sh,gdi_sh,BBB_sh,AAA_sh,rm_shl1,rm_shl2,rm_shl3,rm_shl4,rm_shl5,rm_shl6,dettrend,detrendedMean
2007-03-31,7.096357846720435e-18,7.369790404882456e-17,-3.06503443470048e-17,-2.703599215843946e-16,-2.600319248197947e-16,-1.0223243612291744e-13,1.5171419021727138e-17,3.7607274505393734e-19,-1.11893092948159e-16,0.010332458860176728,-1.0965048534626112e-15,0.0,0.0,-1.5405565131171718e-16,0.0,-1.2956009476523612e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2401917261929665e-12,0.010332458858832322
2007-06-30,-6.013320053288979e-18,1.9239516696311422e-16,-4.72740988266734e-18,-4.888046661259418e-16,-2.8331430255417125e-16,-1.0532719464184705e-13,-2.3494802947973522e-17,-2.0209043888582236e-19,-9.64824812393463e-17,0.008698199710494892,-9.077309029071075e-16,0.0,0.0,-1.5488021903335393e-16,0.0,-1.7619566861829114e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.23984650306599e-12,0.008698199709147762
2007-09-30,-7.076841103550043e-19,3.4412510176768073e-16,4.90685954123408e-18,-5.22145038059557e-16,-3.333183025781907e-16,-1.0534471538408692e-13,-7.911667199447207e-18,-6.091806078955254e-18,-1.176295782302623e-16,0.040689110344985034,-7.827369687817032e-16,0.0,0.0,-1.880790429143068e-16,0.0,-1.9992392236846744e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2395013470507983e-12,0.040689110343638396
2007-12-31,-1.8218180988477985e-18,4.0751442476275125e-16,3.77016574713671e-17,-6.458189545036057e-16,-3.322443828201133e-16,-1.0286515690412587e-13,1.7186862036625964e-17,-6.444945914482192e-18,-1.1398984993644143e-16,-0.012017308790756638,-7.965017863387106e-16,0.0,0.0,-1.8260493040011614e-16,0.0,-2.274860828373238e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.239156258619501e-12,-0.012017308792100525
2008-03-31,-4.492862915158725e-20,4.1771407117575877e-16,2.5408524021455472e-17,-4.535001401986502e-16,-3.299228457192872e-16,-9.879749429851416e-14,-3.3396721485110603e-17,-7.663954823887432e-18,-1.0619557020928226e-16,-0.0837699333250473,-4.914607436141416e-16,0.0,0.0,-2.0253736964623366e-16,0.0,-2.4041877776643416e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2388112382321178e-12,-0.08376993332638635
2008-06-30,-2.129177170339662e-18,3.0103750993628406e-16,2.1288954700450834e-17,-3.50557675857475e-16,-2.895675969744233e-16,-9.78465467288666e-14,-1.602228972731819e-17,-2.1558791456626625e-17,-1.9171672207876138e-16,0.021021272039870968,-2.6780744811885983e-16,0.0,0.0,-1.8330937727211357e-16,0.0,-2.1659186624906786e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2384662863369707e-12,0.021021272038533552
2008-09-30,3.796506517597689e-19,2.4940496174001166e-16,-1.47908719122232e-17,-6.862962465134817e-17,-2.8357901446614957e-16,-9.558165919373928e-14,-1.811956322904635e-17,-2.825919446202251e-17,-7.983118636202785e-17,0.03873456162802583,4.4031291751233405e-18,0.0,0.0,-1.9527006204156895e-16,0.0,-1.8103913581368048e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.2381214033710704e-12,0.038734561626691484
2008-12-31,1.060746660753792e-17,4.772383725773663e-16,-1.2881813490301584e-18,5.487662322151503e-16,-2.571439571953194e-16,-7.706361025755773e-14,-3.076291522349912e-17,-3.3213918752083935e-17,-2.2462687494961075e-16,-0.14515184531518274,5.34321528972009e-16,0.0,0.0,-1.9911741610856554e-16,0.0,-9.391251102497672e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.8707757307431802e-16,1.9518955470474592e-19,9.751090726322666e-19,1.192672786118883e-17,9.524433311111626e-18,1.5458859185519655e-17,-1.2377765897604779e-12,-0.14515184531649705
2009-03-31,1.5694250453509778e-17,3.1835652960914816e-16,-2.3628360216781748e-17,1.0218582485177541e-15,-2.314358861063652e-16,-6.534619093997966e-14,-3.111559279577341e-17,-4.9724043739289176e-17,-2.1139229631724867e-16,-0.22458315290930458,1.303327231131105e-15,0.0,0.0,-1.8687484556733322e-16,0.0,-3.1379258214501436e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2751093839630618,1.7746169880717478e-17,3.147457892225409e-17,3.849808480552044e-17,2.816796128138661e-17,4.0553077039898986e-17,-1.2374318459206515e-12,-0.49969253687366744
2009-06-30,3.1250505266665404e-17,4.1277910778857985e-17,-6.220978917202455e-17,1.414614738446114e-15,-1.9614270871348713e-16,-6.26188233744606e-14,6.482177803907578e-18,-6.331922305413563e-17,-1.4308059039943308e-16,-0.11093629955368518,1.650266818179619e-15,0.0,0.0,-1.5115619285807922e-16,0.0,-2.88688313647966e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.09199924675054764,0.00030575847159476047,3.435987109345824e-17,4.901764548936332e-17,3.8578679955449376e-17,3.8655284713317175e-17,-1.2370871722567772e-12,-0.20262978783393482
2009-09-30,2.6261817993118952e-17,-3.3699734785958995e-16,-1.578747431633786e-16,1.6962343084271803e-15,-1.9715614177130632e-16,-7.526680849236309e-14,-6.536034016702905e-18,-5.831093648383512e-17,-1.163585856824976e-16,-0.08117462293912905,1.5513303386044818e-15,0.0,0.0,-1.3834487789972492e-16,0.0,8.624354375318904e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.07882576825253983,0.027527580729587123,0.0016729527071056413,4.499970043079897e-17,4.661153967864461e-17,2.495676794136035e-17,-1.2367425691640886e-12,-0.1307998577562856
2009-12-31,2.2956495613663616e-17,-5.996886834852166e-16,-2.0603866775713326e-16,1.5865603150021357e-15,-1.7260447953634618e-16,-8.688151120668011e-14,-1.1923733129835601e-17,-5.30647865428957e-17,-9.535418497821664e-17,-0.07045342022802656,1.466551601727082e-15,0.0,0.0,-8.199197299127256e-17,0.0,1.0264530276018545e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.061324042432780244,-0.008903514694950408,0.052237596404338685,0.030154782962189194,4.723255149836923e-17,3.255157694157347e-17,-1.236398037028169e-12,-0.058288597990550736
2010-03-31,2.6430223612727613e-17,-8.011461172889088e-16,-2.5046396707158257e-16,1.2953002264194794e-15,-1.7439464448641278e-16,-9.187232441671687e-14,6.245203358340744e-17,-4.6139993518531297e-17,-1.4355035740117904e-16,-0.06400725110740423,1.3035733706657035e-15,0.0,0.0,-5.107528250552679e-17,0.0,2.700038510863326e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05897275626561381,-0.03367932272886711,0.0025111151895063468,0.06302935427041088,0.03347842677919029,3.457685416551951e-17,-1.2360535762252461e-12,-0.05764043386410392
2010-06-30,2.160306999009106e-17,-6.731387070710851e-16,-2.1987778721559485e-16,1.22014935230818e-15,-1.673843710635711e-16,-8.713062205868752e-14,5.429606186769294e-17,-2.4205023542119928e-17,-1.2033791443047973e-16,-0.06439508383210968,1.0911571108975826e-15,0.0,0.0,-3.652436526783024e-17,0.0,4.208760934654867e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05017753601563226,-0.029763064449337986,-0.02269290270136172,0.010904734413133844,0.06428411549995491,0.035362799983481616,-1.2357091871224717e-12,-0.0564769371031925
2010-09-30,2.785176760364478e-17,-4.566746858357706e-16,-1.7618730179780986e-16,1.1543840216809905e-15,-1.7779515938387166e-16,-6.663857191245157e-14,-6.501085020765169e-17,8.330084435667665e-18,-1.356676044194682e-16,-0.057842392282280324,1.39800605661194e-15,0.0,0.0,-4.1574852874418134e-17,0.0,5.075187217776597e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05406597195879221,-0.005230508555772888,0.0025468854749990098,-0.004376518313398841,0.023440229736878485,0.07139693657603352,-1.2353648700781937e-12,-0.02413133932363334
2010-12-31,2.4418767363030316e-17,-3.368403990188684e-16,-1.2022154918003902e-16,9.897806556317235e-16,-1.798966839358051e-16,-5.996888470160811e-14,-1.9841417498523178e-17,1.6075123916849792e-17,-9.892674617338898e-17,-0.021282228474322915,1.5282775032133236e-15,0.0,0.0,-2.6956604640829395e-17,0.0,5.224320421672312e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0337712261837354,-0.025964939863787152,0.024139582061207032,0.020977398891624466,0.005057553405141239,0.029883305132872955,-1.2350206254422162e-12,-0.0009605550322924414
2011-03-31,1.829108882567977e-17,-3.335893437435957e-16,-1.219950585474009e-16,9.501357582999364e-16,-2.2330115284492267e-16,-6.360457564749845e-14,-5.3449373998966035e-18,3.552288889821527e-17,-5.455701532321338e-17,0.0013688354258742045,1.36944625982973e-15,0.0,0.0,-4.189871651966475e-17,0.0,4.873027754153623e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02434182439807265,-0.02167514113850993,-0.02464930630838959,0.020140224424249738,0.013328887002994156,-0.005824845153518555,-1.2346764535560496e-12,-0.04165317014666892
2011-06-30,9.116682064493533e-18,-4.1032549329730485e-16,-1.2370964591633142e-16,9.203518977200079e-16,-2.3256255214161887e-16,-7.481212846328878e-14,4.936947697764673e-18,4.1362690206650827e-17,-5.1732742167810146e-17,0.004058882530374303,1.1114638236033526e-15,0.0,0.0,-3.583326539840997e-17,0.0,4.3235190475793243e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01079641805613994,-0.0046157361180159395,0.0038009283160301693,-0.010380908506902478,0.027978514758147287,0.018099042592781237,-1.234332354753154e-12,0.049737141627247204
2011-09-30,1.1479768811735286e-17,-4.763622028031501e-16,-1.2616360322792611e-16,9.77912285607885e-16,-2.1398741125491103e-16,-8.098627762618318e-14,-8.201123187639985e-19,4.100785659031073e-17,-9.936325136346826e-17,-0.01633876554393688,1.042252911869422e-15,0.0,0.0,-2.7061511074375026e-17,0.0,3.8233941206904383e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00861717733089159,0.004680799864111098,-0.001631071883688596,0.007336350718087953,-0.010551172246865382,0.02340377611324699,-1.2339883293591747e-12,0.0155170943505334
2011-12-31,1.1705430856538594e-17,-4.452105823223702e-16,-1.0907319572384815e-16,1.0818484903763682e-15,-1.9043712714327394e-16,-8.230050547968581e-14,1.674399443803679e-17,3.925237767248286e-17,-7.046228480140908e-17,-0.021175924998673688,9.712242402063377e-16,0.0,0.0,-1.8586175883243193e-17,0.0,3.387158418952962e-16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020093284486370676,0.006390408096878598,-0.00513433511279943,-0.003333824025661186,0.00535819483126472,-0.01275261886248451,-1.233644377692166e-12,-0.05074138455916054
