date,g_sh,b_liqtil_sh,b_liqp_sh,b_safetil_sh,b_safep_sh,mu_sh,z_sh,lambda_f_sh,lambda_w_sh,rm_sh,sigma_omega_sh,mu_e_sh,gamma_sh,pi_star_sh,lr_sh,zp_sh,tfp_sh,gdpdef_sh,corepce_sh,gdp_sh,gdi_sh,BBB_sh,AAA_sh,rm_shl1,rm_shl2,rm_shl3,rm_shl4,rm_shl5,rm_shl6,dettrend,detrendedMean
2007-03-31,5.5513289070500514e-18,8.775242180857932e-17,1.6355254254108e-17,-2.360529296844359e-16,1.0087374614468723e-16,-9.612882985540785e-15,-1.9134472513009054e-17,1.112661650467306e-17,4.864248243390911e-17,-8.952263554459993e-17,2.194886848764982e-17,0.0,0.0,2.9836176086500017e-17,0.0,-3.664608687638528e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0546074121068663e-13,-1.1509991194802712e-13
2007-06-30,-1.1248009274133545e-18,6.713585169168983e-17,1.338051406655044e-17,-2.364910100851662e-16,1.0739872560566252e-16,-8.932076300687008e-15,2.794863228764676e-17,6.9180146474767115e-18,4.5038153426376513e-17,-5.57263725330484e-17,-1.125044201238043e-16,0.0,0.0,2.7679422343796084e-17,0.0,-1.3182278907493284e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0543041410209322e-13,-1.1447415592026805e-13
2007-09-30,-5.102057096621755e-18,5.883908664271138e-17,1.9211415995764662e-17,-2.8931612683611487e-16,1.1569807724459421e-16,-1.1568914925971044e-14,8.067901542371722e-18,1.603041525844679e-17,5.5073902760857234e-17,-3.8760182802715276e-17,-2.049610494647946e-16,0.0,0.0,2.963794083764302e-17,0.0,-1.0050143458560321e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0540010382247982e-13,-1.1721464956782415e-13
2007-12-31,-3.3756212063810514e-18,6.703306080363614e-17,2.119874792264979e-17,-3.5245354437093356e-16,1.0450373040698052e-16,-1.262790119888216e-14,1.9403454256332343e-17,1.5308690379527395e-17,5.373144791904639e-17,-2.0327880753965565e-17,-2.091970989309191e-16,0.0,0.0,2.890481476090047e-17,0.0,-6.164967536756759e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0536981026750515e-13,-1.1827914663273434e-13
2008-03-31,-4.111157356067817e-18,1.0107165263460773e-16,2.2717950664463902e-17,-4.465369236568005e-16,8.38722406295436e-17,-1.6381891148638745e-14,9.718532188097063e-18,1.4678174454549074e-17,5.704320500585361e-17,1.5899682744549616e-17,-1.1210625816505596e-16,0.0,0.0,1.1066066040920957e-17,0.0,-1.4007906745315926e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0533953333438353e-13,-1.2198211922457997e-13
2008-06-30,-7.699040723224552e-19,1.4694121479531242e-16,4.4421364630047473e-17,-5.2090020467753625e-16,8.513521374453694e-17,-1.2454530670513402e-14,2.3885868010549437e-17,1.4008395613993863e-17,6.00778242515955e-17,1.7666469403739383e-17,-1.4271116720503198e-16,0.0,0.0,1.659668539654487e-17,0.0,-1.9860255131866218e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.053092729218546e-13,-1.1803931208760566e-13
2008-09-30,-4.967354159668943e-18,1.9225215865384402e-16,5.21401042815723e-17,-5.951517985231494e-16,7.93289725283724e-17,-1.418595220636075e-14,5.746768768911458e-17,2.0469519761456995e-17,4.752979735679156e-17,-9.829851419390629e-18,-2.4264816480147565e-16,0.0,0.0,-1.8309122995224487e-18,0.0,-2.0716864507204747e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0527902893015369e-13,-1.198909378419508e-13
2008-12-31,-1.6880810898050547e-18,1.8621777273909001e-16,5.779758493703834e-17,-7.370337010590066e-16,8.218538955920307e-17,-2.2465149101528778e-14,1.0364337622595382e-17,2.1190467919278984e-17,6.814792016149832e-17,1.9316029585985067e-17,-2.5267379566658927e-16,0.0,0.0,3.692718516626699e-18,0.0,-3.0732665343188165e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.62603796371338e-17,-2.1165868131096756e-20,-8.517114215134677e-20,0.030154782962189104,2.2649567020326426e-18,7.668084913452209e-19,-1.0524880126098137e-13,0.030154782962060832
2009-03-31,-1.2524442223671731e-18,2.04452869602892e-16,5.292876568561325e-17,-8.089714185161157e-16,6.546197376010262e-17,-2.0000093680307693e-14,-2.6183282928676644e-18,1.4675271941150304e-17,3.925598629609692e-17,6.770706965340217e-17,-2.895392932414213e-16,0.0,0.0,-1.145946564272904e-17,0.0,-8.886207590401546e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.2049277005574365e-17,-1.921499724242781e-18,-2.6912068110346368e-18,0.0494907107418282,0.0334784267791902,1.0229586665331685e-18,-1.0521858981747512e-13,0.08296913752089283
2009-06-30,-8.95979939043883e-19,3.4881858351405607e-16,7.717529374079431e-17,-6.881834796578384e-16,6.775189345005998e-17,-1.2937494364217457e-14,-2.2702934372728213e-17,1.4950319923981535e-17,3.629469123396115e-17,2.7620927930149084e-17,-3.626224523863237e-17,0.0,0.0,-2.6749186604072965e-17,0.0,2.6871355624652712e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.075543583414209e-17,-7.317286826992497e-19,-6.774636893710172e-19,-0.017393660583567734,0.04925325002731853,0.03536279998348155,-1.0518839450418135e-13,0.067222389427114
2009-09-30,1.2176271645251282e-17,4.182788390829516e-16,9.174616609985896e-17,-5.445984601976992e-16,8.791622197809265e-17,1.0504084629620795e-14,-1.1915624675681706e-16,1.0634652732556323e-17,3.732614104555639e-17,-5.374937056877421e-17,3.770007930000148e-16,0.0,0.0,-2.5715993858473806e-17,0.0,3.093829844608965e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0826168462280379e-16,1.0626347045188463e-17,1.541999465767386e-17,-0.009272435229080299,-0.005421517515469687,0.055520040902493295,-1.0515821522702623e-13,0.04082608815784884
2009-12-31,8.431230811281855e-18,3.91958668889337e-16,7.429224771214415e-17,-3.8658905634163163e-16,9.502360703207517e-17,1.2784755184254686e-14,-1.757780251312162e-17,-4.933375361233287e-19,3.068104019883599e-17,-8.87182428598443e-17,5.167043902324632e-16,0.0,0.0,-2.425067884959824e-17,0.0,3.1728710059781455e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.194096149708889e-16,1.0936186316569439e-17,1.749953897972494e-17,0.022942331665828687,-0.0054664458898826505,-0.002171897338581405,-1.0512805189329003e-13,0.015303988437272792
2010-03-31,4.358318019146627e-18,3.055256796777357e-16,3.085036951532037e-17,-1.74950811248132e-16,9.132237225065807e-17,8.634003863624516e-15,-1.2304630961522419e-17,-9.382042531810298e-18,2.3547898444046138e-17,-9.734676451302615e-17,4.2826656265378437e-16,0.0,0.0,-3.242080538016224e-17,0.0,1.421892014656255e-17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.3199956104699543e-16,-2.6346363495074514e-18,1.0485814501386032e-17,0.010721966428272842,0.01105818876036936,-0.01924160282533219,-1.0509790441157712e-13,0.002538552363213981
2010-06-30,2.852018224277275e-18,2.2091597750870568e-16,7.287880530698415e-18,-7.515554544734097e-17,1.0758033671081977e-16,-1.0765362130010298e-15,5.42283180190293e-18,-1.873954011716301e-17,1.3364550462194934e-17,-1.0708633587916982e-16,4.05261643528472e-16,0.0,0.0,-2.2186340469609485e-17,0.0,7.557232358298896e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.4079773890840305e-16,-1.2757878094441417e-17,1.1286902039684092e-17,-0.01942329887686359,0.021994221984673646,0.0207142330997586,-1.0506777269179197e-13,0.02328515620746304
2010-09-30,2.936600230002611e-18,1.3417555188949397e-16,-1.5528660532290925e-17,-4.065574266382892e-17,1.2327736133411862e-16,-5.288911983811867e-15,-8.535804323514515e-18,-2.901581874139476e-17,1.3470316964360424e-17,-1.1532870988888754e-16,3.0408927484288534e-16,0.0,0.0,-1.7226215563470734e-17,0.0,1.5778661444791806e-18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.473355118499459e-16,-1.3848182419023724e-17,1.6203429329024434e-17,0.011997084637281146,-0.023112732986490102,0.015277818576774346,-1.0503765664511148e-13,0.004162170227455362
