date,g_sh,b_liqtil_sh,b_liqp_sh,b_safetil_sh,b_safep_sh,mu_sh,z_sh,lambda_f_sh,lambda_w_sh,rm_sh,sigma_omega_sh,mu_e_sh,gamma_sh,pi_star_sh,lr_sh,zp_sh,tfp_sh,gdpdef_sh,corepce_sh,gdp_sh,gdi_sh,BBB_sh,AAA_sh,rm_shl1,rm_shl2,rm_shl3,rm_shl4,rm_shl5,rm_shl6,dettrend,detrendedMean
2007-03-31,0.3000377774739889,-0.05453601609925808,-0.3578614786572695,3.919048142521725,-1.7288521305767897,-24.543961508620214,-0.06162766142097165,-0.1280858819504817,-0.02261289304275895,0.36506607499660465,-0.4378125025344288,0.0,0.0,-0.8646750960400718,0.0,-0.16893369581031675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-416.01598066857093,-439.8007875383226
2007-06-30,0.11554738164328075,-0.23662109240014984,-0.390283357664097,4.831758417901574,-1.621284449552842,-25.265338384152557,-0.057783004601017804,-0.13805017542033285,-0.026413506516787828,0.27429311600601647,-0.5279409608756539,0.0,0.0,-0.812991174113453,0.0,-0.1788284495590605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-415.9113948337948,-439.94533047309136
2007-09-30,0.11645424801138299,-0.6559916410945086,-0.38954813888508794,5.122538354653737,-1.4027741475609325,-25.665917203079946,0.01447355381642027,-0.14606903784632583,-0.02988088304176572,0.08671093901332089,-0.5375364439873712,0.0,0.0,-0.6413133434970002,0.0,-0.18344267377862739,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-415.80670918179203,-440.1190055990601
2007-12-31,-0.0650374292271557,-1.0967192792889267,-0.5930552308833282,5.958810183337318,-1.4477735467021957,-25.978636143080877,-0.048569523970545855,-0.15758762325592923,-0.031483574333417724,0.1086286971711759,-0.45557643190576164,0.0,0.0,-0.6309828042230331,0.0,-0.17426757629266926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-415.7019251507294,-440.3141754333762
2008-03-31,-0.0336091708967738,-1.5242706794008178,-0.619988663729532,5.946402016109348,-1.3611400682162582,-25.973074602091337,-0.11662715585282427,-0.17789844429189536,-0.030975239308982938,0.37427698363314876,-0.5983957169601888,0.0,0.0,-0.4856129449630735,0.0,-0.1619766025465742,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-415.59704416062806,-440.359934449135
2008-06-30,-0.1379494832727319,-1.649417163382259,-0.6882563318724529,6.247084287882543,-1.4257251602396794,-26.231191249851726,-0.07971972797006832,-0.16662872601653445,-0.03434540580363895,0.239771830191262,-0.6771082744097645,0.0,0.0,-0.49590070425698984,0.0,-0.13723441356897723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-415.4920676136431,-440.7286881362053
2008-09-30,-0.32259065024555916,-1.8967101488255083,-0.6140120149398259,5.986905049818252,-1.2867223883551884,-26.078033711307935,-0.21501169907902445,-0.12948942529824292,-0.029999722337885275,0.06533674974593512,-0.8986094380659045,0.0,0.0,-0.3297543126586936,0.0,-0.08352186605524436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-415.3869968943437,-441.2192104719397
2008-12-31,-0.25763269623781154,-3.060919179990293,-0.7926880559829386,4.007880309647182,-1.3450739976453103,-24.257996478592016,0.04778642326331981,-0.0941460541784556,-0.03401068986729736,0.5505924038369646,-1.384860195925382,0.0,0.0,-0.1750345967614852,0.0,-0.005947655122400042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8841146187501987,-0.0009137046792028105,-0.004632709454721091,-0.07713463219388864,-0.07887214050677893,-0.0765227338647929,-415.28183336998455,-441.4378451354806
2009-03-31,-0.5775134887231307,-3.2845521477350847,-0.8234002227515593,2.550225476223583,-1.5347293164016744,-23.18736465294534,0.5026416819537041,-0.029495606748924277,-0.037198207089315746,1.2370479883692724,-1.838620769058075,0.0,0.0,-0.19179180207136937,0.0,0.12398830471751657,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.1494234543215056,-0.08314899025186606,-0.14918046215498537,-0.23692175409264865,-0.22916221662876696,-0.23015999373625554,-415.1765783907764,-442.04649111557035
2009-06-30,-0.3754013759237441,-2.773988891245412,-0.6159627977586023,1.2342235636753096,-1.6162493775937263,-22.81703287282308,0.18266610050448998,0.06008281715656379,-0.033885939544457434,1.4309023386595707,-2.061802111175843,0.0,0.0,-0.20842225715063672,0.0,0.2778983464366011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3025493954274425,-0.05422236175699416,-0.15289732221386917,-0.26427026563113143,-0.285049251941567,-0.2962045834792766,-415.07123329014905,-442.138300136518
2009-09-30,-0.17876836070875463,-1.7922170117261933,-0.17574361880820905,-0.3277115067681774,-1.5756482831228225,-23.219283831460626,0.06357595058035188,0.1473488235229492,-0.027002052230367068,1.4953067666031579,-2.068039733723317,0.0,0.0,-0.1602612009528359,0.0,0.36845627637358064,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3608192170914206,0.044029526134141156,-0.093958210868816,-0.2615158352142105,-0.306040071931988,-0.2937714314534732,-414.9657993850136,-441.96622397366843
2009-12-31,-0.14451882682713646,-1.0103015791537935,0.025339612155105374,-0.755243371691392,-1.7389096434751679,-23.80743936676513,0.0036201680875770376,0.23348373972883968,-0.019590562368084822,1.5144912231416625,-2.099246323213426,0.0,0.0,-0.2607535206294318,0.0,0.3974149409158914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3905688478070821,0.13805648368668133,-0.10850130635963798,-0.3284209472750721,-0.35243431085929244,-0.35015092562510464,-414.86027797601776,-442.13281364472806
2010-03-31,-0.11622621991889096,-0.3405500053935995,0.2187707896453407,-0.7220645778025302,-1.8439037747939362,-24.260263830773596,0.002687107793550846,0.3123094071077678,-0.014986671311441059,1.509364830523264,-2.1604731906655954,0.0,0.0,-0.32879533340874023,0.0,0.3769358500162817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3820724328239462,0.16037970479046484,-0.1605020343808859,-0.38153402084053634,-0.43543421066284016,-0.4193823579455504,-414.75467034779643,-441.9762664529846
