date,mean
2007-03-31,-2.718900641567249e-14
2007-06-30,-2.7165326509590016e-14
2007-09-30,-2.7141649022311004e-14
2007-12-31,-2.711797417506367e-14
2008-03-31,-2.70943021859938e-14
2008-06-30,-2.707063327021668e-14
2008-09-30,-2.704696763986762e-14
2008-12-31,-2.702330550415216e-14
2009-03-31,-2.699964706939566e-14
2009-06-30,-2.6975992539091328e-14
2009-09-30,-2.6952342113948123e-14
2009-12-31,-2.6928695991937523e-14
2010-03-31,-2.690505436833872e-14
2010-06-30,-2.6881417435783916e-14
2010-09-30,-2.6857785384301977e-14
2010-12-31,-2.683415840136124e-14
2011-03-31,-2.681053667191174e-14
2011-06-30,-2.6786920378425482e-14
2011-09-30,-2.676330970093713e-14
2011-12-31,-2.6739704817082553e-14
2012-03-31,-2.6716105902137058e-14
2012-06-30,-2.6692513129052917e-14
2012-09-30,-2.666892666849556e-14
2012-12-31,-2.6645346688879034e-14
2013-03-31,-2.6621773356400498e-14
2013-06-30,-2.659820683507413e-14
2013-09-30,-2.6574647286764328e-14
2013-12-31,-2.6551094871217917e-14
2014-03-31,-2.652754974609553e-14
2014-06-30,-2.650401206700255e-14
2014-09-30,-2.6480481987519015e-14
2014-12-31,-2.645695965922916e-14
2015-03-31,-2.6433445231750104e-14
2015-06-30,-2.6409938852760096e-14
2015-09-30,-2.6386440668025788e-14
2015-12-31,-2.6362950821429466e-14
2016-03-31,-2.6339469454994973e-14
2016-06-30,-2.6315996708913683e-14
2016-09-30,-2.629253272156994e-14
2016-12-31,-2.6269077629565573e-14
2017-03-31,-2.624563156774413e-14
2017-06-30,-2.622219466921479e-14
2017-09-30,-2.6198767065375676e-14
2017-12-31,-2.6175348885936065e-14
2018-03-31,-2.6151940258939454e-14
2018-06-30,-2.6128541310785693e-14
2018-09-30,-2.6105152166251764e-14
2018-12-31,-2.608177294851347e-14
2019-03-31,-2.605840377916587e-14
2019-06-30,-2.603504477824442e-14
2019-09-30,-2.6011696064244086e-14
2019-12-31,-2.5988357754139193e-14
2020-03-31,-2.5965029963403326e-14
2020-06-30,-2.5941712806028045e-14
2020-09-30,-2.5918406394540945e-14
2020-12-31,-2.58951108400251e-14
2021-03-31,-2.587182625213607e-14
2021-06-30,-2.584855273912068e-14
2021-09-30,-2.582529040783339e-14
2021-12-31,-2.5802039363754072e-14
2022-03-31,-2.57787997110049e-14
2022-06-30,-2.5755571552367043e-14
2022-09-30,-2.57323549892967e-14
2022-12-31,-2.570915012194129e-14
2023-03-31,-2.5685957049155458e-14
2023-06-30,-2.5662775868516388e-14
2023-09-30,-2.5639606676339625e-14
2023-12-31,-2.5616449567693506e-14
2024-03-31,-2.5593304636414813e-14
2024-06-30,-2.5570171975123056e-14
2024-09-30,-2.554705167523461e-14
2024-12-31,-2.5523943826977817e-14
2025-03-31,-2.5500848519405707e-14
2025-06-30,-2.5477765840411385e-14
2025-09-30,-2.5454695876740185e-14
2025-12-31,-2.543163871400424e-14
2026-03-31,-2.5408594436694733e-14
2026-06-30,-2.5385563128195776e-14
2026-09-30,-2.5362544870796907e-14
2026-12-31,-2.533953974570533e-14
2027-03-31,-2.5316547833059175e-14
2027-06-30,-2.5293569211939258e-14
2027-09-30,-2.5270603960381895e-14
2027-12-31,-2.524765215538986e-14
2028-03-31,-2.522471387294485e-14
2028-06-30,-2.5201789188019436e-14
2028-09-30,-2.5178878174587966e-14
2028-12-31,-2.5155980905638082e-14
2029-03-31,-2.5133097453181882e-14
2029-06-30,-2.5110227888267366e-14
2029-09-30,-2.5087372280988885e-14
2029-12-31,-2.5064530700497753e-14
2030-03-31,-2.5041703215013673e-14
2030-06-30,-2.5018889891834392e-14
2030-09-30,-2.4996090797346257e-14
2030-12-31,-2.497330599703479e-14
2031-03-31,-2.4950535555494208e-14
2031-06-30,-2.4927779536437933e-14
2031-09-30,-2.4905038002708013e-14
2031-12-31,-2.488231101628502e-14
2032-03-31,-2.4859598638297572e-14
2032-06-30,-2.4836900929031742e-14
2032-09-30,-2.4814217947940606e-14
2032-12-31,-2.4791549753653055e-14
2033-03-31,-2.4768896403983392e-14
2033-06-30,-2.474625795594012e-14
2033-09-30,-2.4723634465734823e-14
2033-12-31,-2.4701025988791012e-14
2034-03-31,-2.4678432579752746e-14
2034-06-30,-2.4655854292493156e-14
2034-09-30,-2.4633291180122973e-14
2034-12-31,-2.4610743294999162e-14
2035-03-31,-2.4588210688732693e-14
2035-06-30,-2.4565693412197022e-14
2035-09-30,-2.45431915155361e-14
2035-12-31,-2.452070504817265e-14
2036-03-31,-2.4498234058815158e-14
2036-06-30,-2.447577859546693e-14
2036-09-30,-2.44533387054327e-14
2036-12-31,-2.4430914435326936e-14
2037-03-31,-2.440850583108111e-14
2037-06-30,-2.4386112937950732e-14
2037-09-30,-2.436373580052384e-14
2037-12-31,-2.4341374462727075e-14
2038-03-31,-2.431902896783328e-14
2038-06-30,-2.429669935846889e-14
2038-09-30,-2.427438567662068e-14
2038-12-31,-2.42520879636426e-14
2039-03-31,-2.4229806260263093e-14
2039-06-30,-2.4207540606591078e-14
