date,g_sh,b_liqtil_sh,b_liqp_sh,b_safetil_sh,b_safep_sh,mu_sh,z_sh,lambda_f_sh,lambda_w_sh,rm_sh,sigma_omega_sh,mu_e_sh,gamma_sh,pi_star_sh,lr_sh,zp_sh,tfp_sh,gdpdef_sh,corepce_sh,gdp_sh,gdi_sh,BBB_sh,AAA_sh,rm_shl1,rm_shl2,rm_shl3,rm_shl4,rm_shl5,rm_shl6,dettrend,detrendedMean,trend,Hist,Hist Check,r*,1999Q1-2019Q4,-3.20,2021Q1-2024Q3,1.69
3/31/1990,0.022857106,-1.27E-08,1.891249413,-0.02240701,1.387163435,0.319281173,0.000353265,5.80E-15,-9.16E-15,-9.76E-15,0.04102846,0,0,4.44E-15,0,0.034888619,0,0,0,0,0,0,0,0,0,0,0,0,0,0.741378841,4.415793291,1.050802178,5.466595469,5.466595469,cy,,-2.51,,1.79
6/30/1990,0.031388765,-2.87E-08,1.857792348,-0.058292627,1.363383316,0.270787157,0.000332979,5.58E-15,-9.41E-15,-8.80E-15,-0.017738699,0,0,6.06E-15,0,0.029167752,0,0,0,0,0,0,0,0,0,0,0,0,0,0.729880432,4.206701396,,5.257503574,5.257503574,Other,,-0.70,,-0.10
9/30/1990,0.03536748,-1.68E-08,1.881540435,-0.041551059,1.395883262,0.26835115,0.000644586,4.59E-15,-1.06E-14,-1.01E-14,-0.009066652,0,0,7.54E-15,0,0.027730932,0,0,0,0,0,0,0,0,0,0,0,0,0,0.718582313,4.277482431,,5.328284609,5.328284609,,,,,
12/31/1990,0.027450198,1.94E-09,1.934790556,-0.009395425,1.449520881,0.26681506,0.000452644,4.99E-15,-9.40E-15,-1.13E-14,-0.013731569,0,0,8.62E-15,0,0.02128952,0,0,0,0,0,0,0,0,0,0,0,0,0,0.707480442,4.384672309,,5.435474487,5.435474487,,,,,
3/31/1991,0.032044802,4.07E-10,1.860048797,-0.009680132,1.407657738,0.22860568,0.000272482,4.93E-15,-1.51E-14,-1.12E-14,-0.034196845,0,0,1.01E-14,0,0.014500433,0,0,0,0,0,0,0,0,0,0,0,0,0,0.696570878,4.195823833,,5.246626011,5.246626011,,,,,
6/30/1991,0.024927776,-5.73E-09,1.802982202,-0.009385326,1.380481301,0.238109976,0.00015603,4.77E-15,-1.31E-14,-8.87E-15,-0.024326299,0,0,1.14E-14,0,0.011425074,0,0,0,0,0,0,0,0,0,0,0,0,0,0.685849786,4.110220514,,5.161022692,5.161022692,,,,,
9/30/1991,0.027345833,-1.20E-08,1.79108488,-0.007158818,1.38386976,0.239028826,-0.000379032,4.60E-15,-1.52E-14,-1.01E-14,-0.023942685,0,0,1.30E-14,0,0.007818855,0,0,0,0,0,0,0,0,0,0,0,0,0,0.675313424,4.092981031,,5.143783209,5.143783209,,,,,
12/31/1991,0.020169641,6.41E-09,1.763717393,0.024213456,1.385654231,0.221213787,-0.000296182,4.59E-15,-1.93E-14,-1.00E-14,-0.035113723,0,0,1.44E-14,0,0.018473286,0,0,0,0,0,0,0,0,0,0,0,0,0,0.664958144,4.06299004,,5.113792218,5.113792218,,,,,
3/31/1992,0.02430367,-3.99E-09,1.691599177,0.027012828,1.350690767,0.18707553,0.000929633,3.85E-15,-1.71E-14,-1.15E-14,0.001484126,0,0,1.60E-14,0,0.025856657,0,0,0,0,0,0,0,0,0,0,0,0,0,0.654780386,3.963732771,,5.014534949,5.014534949,,,,,
6/30/1992,0.014569147,-2.73E-09,1.67215911,0.03398723,1.348483984,0.11650581,0.000303804,3.66E-15,-1.93E-14,-1.25E-14,-0.052781583,0,0,1.77E-14,0,0.008948714,0,0,0,0,0,0,0,0,0,0,0,0,0,0.644776677,3.786952889,,4.837755067,4.837755067,,,,,
