variable,mean,min,median,max,nmissing,eltype
x1,0.5202741462892312,-0.10032179668875399,0.5793594381086585,0.9062282212419226,0,Float64
x2,0.5069192747653924,-0.2611172877067788,0.5394323480336842,0.8666706719232483,0,Float64
x3,0.49595128206335537,-0.09578397997035293,0.5200215699523276,0.880667790865405,0,Float64
x4,0.5361458682439966,0.07806844424172202,0.5447696599460368,0.8672321755328658,0,Float64
x5,0.4851879210331951,-0.0557337367744269,0.5044056933160047,0.8918567236658453,0,Float64
x6,0.4753504715417878,-0.1376297248858438,0.5399654518723305,0.8667105069687879,0,Float64
x7,0.5402284871529711,-0.41145808185589355,0.5418092733093692,0.862111061064033,0,Float64
x8,0.5084510083683977,-0.19662619046691052,0.536317372952766,0.8673808392308341,0,Float64
x9,0.48806898755228373,-0.04309285196352593,0.527071569162767,0.8752541809594875,0,Float64
x10,0.5091312663517545,-0.42660012576053696,0.5297602323607113,0.8721187885039409,0,Float64
x11,0.46271768236642363,-0.18425830392020237,0.4853592237389967,0.8463515333128672,0,Float64
x12,0.5133820202425169,-0.0792753958904601,0.5228549280013269,0.8747350014552747,0,Float64
x13,0.4954032882230602,-0.27029045206916313,0.5311509942427695,0.8954504275731823,0,Float64
x14,0.4735301154724976,-0.10437785211117541,0.5208709352504379,0.8840963752068313,0,Float64
x15,0.5186883142875977,-0.4541644287615609,0.564546683966662,0.8509092175197855,0,Float64
x16,0.5131991387121282,-0.3091464271511992,0.5425344293967331,0.8757357328151075,0,Float64
x17,0.45306844753409825,-0.14742775630604163,0.4698929303680972,0.8444721751227254,0,Float64
x18,0.48566816853745565,-0.17992772140367863,0.5052105010071166,0.857453950988498,0,Float64
x19,0.49293777334733657,-0.21848388182315526,0.5171736645325351,0.8775988401310257,0,Float64
x20,0.5125724069917067,-0.3771545302730577,0.5263747035565052,0.8639755973073805,0,Float64
x21,0.450712570702541,-0.22567164272462892,0.504243566423977,0.8997027833016503,0,Float64
x22,0.5093051365428031,-0.12709970982886845,0.5430677746877699,0.8601106251375141,0,Float64
x23,0.4403476883465316,-0.274626391304786,0.43746786477812594,0.8793364545432573,0,Float64
x24,0.5136907226153025,-0.15200698424440984,0.5404523986640859,0.885878712658085,0,Float64
x25,0.5121265951244801,-0.27601477080336634,0.5457216742914792,0.8543986054489577,0,Float64
x26,0.5124826197201598,-0.31249867864513786,0.5648032108352805,0.8400933442779802,0,Float64
x27,0.47235030544564993,-0.1725784443772585,0.4641959402662811,0.8648786058734974,0,Float64
x28,0.45033668974290486,-0.27183015695486495,0.48966633240329627,0.9195345035074056,0,Float64
x29,0.5104103651739397,0.1050727108245814,0.5149196442811723,0.9067377274188464,0,Float64
x30,0.4805309469347814,-0.1398754453702497,0.49540937452712297,0.8839122543250938,0,Float64
x31,0.49437137537766546,-0.04433304733626763,0.498235990783644,0.8258520945049491,0,Float64
x32,0.4723970254586092,-0.21779235518534867,0.4943614764625125,0.8648327930330699,0,Float64
x33,0.48796069900876893,-0.2627079666753692,0.48436255853298404,0.896672958584882,0,Float64
x34,0.4787433648911611,-0.21886222576119638,0.5133252230504947,0.8789957112103197,0,Float64
x35,0.5133640467661637,0.09622347612305573,0.5254178511175362,0.8768002541348674,0,Float64
x36,0.49915945975743214,-0.3324295320725263,0.5196826093326039,0.8756586391079426,0,Float64
x37,0.48829432844196946,-0.32542266847395135,0.5407811261336823,0.8709041856477385,0,Float64
x38,0.5065214732984309,-0.11592147829880925,0.5411060461271981,0.8995032756181899,0,Float64
x39,0.5281380743483339,-0.3099478737118198,0.5647339843188731,0.8871698475853679,0,Float64
x40,0.4636408325925053,-0.32422376841318234,0.5231571894650979,0.8713230764154082,0,Float64
x41,0.48328433252135655,-0.32434468269783934,0.5101895835301213,0.8986389703860205,0,Float64
x42,0.5316962217849719,-0.20127044420305568,0.5958179256083217,0.8818037936217429,0,Float64
x43,0.49995974625174633,-0.059315395931276285,0.5031082223932497,0.8815470823278102,0,Float64
x44,0.488087483323522,-0.42891196685378685,0.521284505358702,0.8876319284746509,0,Float64
x45,0.5161686434651426,-0.028239629494042125,0.5286418351856246,0.8869550390942476,0,Float64
x46,0.5126368280913781,-0.04513349526514283,0.5326209339935737,0.8620459759008401,0,Float64
x47,0.5004263957394243,-0.10698324229304522,0.5220529414276113,0.8758341230791485,0,Float64
x48,0.5373466697002577,-0.014365720682315876,0.5650046027111202,0.8717494645502066,0,Float64
